"","wgEncodeBroadHistoneDnd41CtcfPk.broadPeak","wgEncodeBroadHistoneDnd41Ezh239875Pk.broadPeak","wgEncodeBroadHistoneDnd41H2azPk.broadPeak","wgEncodeBroadHistoneDnd41H3k04me1Pk.broadPeak","wgEncodeBroadHistoneDnd41H3k04me2Pk.broadPeak","wgEncodeBroadHistoneDnd41H3k04me3Pk.broadPeak","wgEncodeBroadHistoneDnd41H3k09acPk.broadPeak","wgEncodeBroadHistoneDnd41H3k09me3Pk.broadPeak","wgEncodeBroadHistoneDnd41H3k27acPk.broadPeak","wgEncodeBroadHistoneDnd41H3k27me3Pk.broadPeak","wgEncodeBroadHistoneDnd41H3k36me3Pk.broadPeak","wgEncodeBroadHistoneDnd41H3k79me2Pk.broadPeak","wgEncodeBroadHistoneDnd41H4k20me1Pk.broadPeak"
"wgEncodeBroadHistoneDnd41CtcfPk.broadPeak",1,0.0658336467316479,0.0941263140361369,0.133625388414241,0.13630697720075,0.129518116657968,0.138046057623764,0.0358007740396095,0.112087527606397,0.0549149351587485,0.0818619028328533,0.089483894213478,0.0841934892460376
"wgEncodeBroadHistoneDnd41Ezh239875Pk.broadPeak",0.0658336467316479,1,0.118819146497154,0.0629910308434859,0.043646785163096,0.0374472908821428,0.0446333201738379,0.0791184684847559,0.0752831981921076,0.643941687999839,0.0510694522208993,0.0427883260755844,0.231209336995565
"wgEncodeBroadHistoneDnd41H2azPk.broadPeak",0.0941263140361369,0.118819146497154,1,0.204090115008967,0.141958882387862,0.132037325218265,0.153287170262816,0.145493141634848,0.243587977449115,0.0885587754183883,0.0755928725401528,0.0825601758215167,0.0724602692444152
"wgEncodeBroadHistoneDnd41H3k04me1Pk.broadPeak",0.133625388414241,0.0629910308434859,0.204090115008967,1,0.449152379849867,0.32489322365432,0.409822542354554,0.0505948204730317,0.357136043590727,0.0391695457110577,0.186117297142304,0.268749362034761,0.146798353713909
"wgEncodeBroadHistoneDnd41H3k04me2Pk.broadPeak",0.13630697720075,0.043646785163096,0.141958882387862,0.449152379849867,1,0.592322662044044,0.541404553785763,0.022067663966925,0.221653845136637,0.0257825110627747,0.128360445644673,0.213847047224969,0.102471720345507
"wgEncodeBroadHistoneDnd41H3k04me3Pk.broadPeak",0.129518116657968,0.0374472908821428,0.132037325218265,0.32489322365432,0.592322662044044,1,0.517353187359611,0.0240995910381743,0.179030080295463,0.0204443790397613,0.097833081844689,0.159308098580238,0.073176341080445
"wgEncodeBroadHistoneDnd41H3k09acPk.broadPeak",0.138046057623764,0.0446333201738379,0.153287170262816,0.409822542354554,0.541404553785763,0.517353187359611,1,0.0248985831783182,0.251907511880188,0.0250690624900742,0.134430739300774,0.20772319515237,0.101790351095423
"wgEncodeBroadHistoneDnd41H3k09me3Pk.broadPeak",0.0358007740396095,0.0791184684847559,0.145493141634848,0.0505948204730317,0.022067663966925,0.0240995910381743,0.0248985831783182,1,0.0859243191294864,0.0758724764402408,0.0656570827919962,0.0459831732721349,0.0418062712109298
"wgEncodeBroadHistoneDnd41H3k27acPk.broadPeak",0.112087527606397,0.0752831981921076,0.243587977449115,0.357136043590727,0.221653845136637,0.179030080295463,0.251907511880188,0.0859243191294864,1,0.0493505523203936,0.298570953957965,0.303629522407084,0.218766119271574
"wgEncodeBroadHistoneDnd41H3k27me3Pk.broadPeak",0.0549149351587485,0.643941687999839,0.0885587754183883,0.0391695457110577,0.0257825110627747,0.0204443790397613,0.0250690624900742,0.0758724764402408,0.0493505523203936,1,0.0411629025829671,0.0313791742921064,0.209322460489752
"wgEncodeBroadHistoneDnd41H3k36me3Pk.broadPeak",0.0818619028328533,0.0510694522208993,0.0755928725401528,0.186117297142304,0.128360445644673,0.097833081844689,0.134430739300774,0.0656570827919962,0.298570953957965,0.0411629025829671,1,0.451105357837993,0.350151866052944
"wgEncodeBroadHistoneDnd41H3k79me2Pk.broadPeak",0.089483894213478,0.0427883260755844,0.0825601758215167,0.268749362034761,0.213847047224969,0.159308098580238,0.20772319515237,0.0459831732721349,0.303629522407084,0.0313791742921064,0.451105357837993,1,0.347845157308812
"wgEncodeBroadHistoneDnd41H4k20me1Pk.broadPeak",0.0841934892460376,0.231209336995565,0.0724602692444152,0.146798353713909,0.102471720345507,0.073176341080445,0.101790351095423,0.0418062712109298,0.218766119271574,0.209322460489752,0.350151866052944,0.347845157308812,1
