,infomap,walktrap,edge_betweenness,fast_greedy,label_prop,leading_eigen,louvain
Ezh239875Pk,5,5,1,4,1,1,1
H3k27acStdPk,1,3,2,3,2,2,2
H3k27me3StdPk,5,5,1,4,1,1,1
H3k36me3StdPk,2,4,3,5,3,3,3
H3k4me1StdPk,1,3,2,3,2,2,2
H3k4me2StdPk,1,3,2,3,2,2,2
H3k4me3StdPk,1,3,2,3,2,2,2
H3k79me2Pk,2,4,3,5,3,3,3
H3k9acStdPk,1,3,2,3,2,2,2
H3k9me1StdPk,2,4,3,5,3,3,3
H4k20me1StdPk,2,4,3,5,3,3,3
Pol24h8V0416101PkRep1,3,1,4,1,4,4,4
Pol2Pcr1xPkRep1,3,1,4,1,4,4,4
CfosUcdPk,4,2,5,2,5,5,5
CjunStdPk,4,2,5,2,5,5,5
Gata2UcdPk,4,2,5,2,5,5,5
Pol2StdPk,3,1,4,1,4,4,4
