"","wgEncodeBroadHistoneHuvecCtcfStdPk.broadPeak","wgEncodeBroadHistoneHuvecEzh239875Pk.broadPeak","wgEncodeBroadHistoneHuvecH2azPk.broadPeak","wgEncodeBroadHistoneHuvecH3k09me3Pk.broadPeak","wgEncodeBroadHistoneHuvecH3k27acStdPk.broadPeak","wgEncodeBroadHistoneHuvecH3k27me3StdPk.broadPeak","wgEncodeBroadHistoneHuvecH3k36me3StdPk.broadPeak","wgEncodeBroadHistoneHuvecH3k4me1StdPk.broadPeak","wgEncodeBroadHistoneHuvecH3k4me2StdPk.broadPeak","wgEncodeBroadHistoneHuvecH3k4me3StdPk.broadPeak","wgEncodeBroadHistoneHuvecH3k79me2Pk.broadPeak","wgEncodeBroadHistoneHuvecH3k9acStdPk.broadPeak","wgEncodeBroadHistoneHuvecH3k9me1StdPk.broadPeak","wgEncodeBroadHistoneHuvecH4k20me1StdPk.broadPeak","wgEncodeHaibTfbsHuvecPol24h8V0416101PkRep1.broadPeak","wgEncodeHaibTfbsHuvecPol2Pcr1xPkRep1.broadPeak","wgEncodeSydhTfbsHuvecCfosUcdPk.narrowPeak","wgEncodeSydhTfbsHuvecCjunStdPk.narrowPeak","wgEncodeSydhTfbsHuvecGata2UcdPk.narrowPeak","wgEncodeSydhTfbsHuvecMaxStdPk.narrowPeak","wgEncodeSydhTfbsHuvecPol2StdPk.narrowPeak"
"wgEncodeBroadHistoneHuvecCtcfStdPk.broadPeak",1,0.0590175616867036,0.0681798198735764,0.00992793825632109,0.116488580389225,0.0323817003173679,0.0533379550854449,0.102649461796915,0.113595684686827,0.130958505756251,0.0635074163908241,0.130923796053035,0.0412074481498746,0.0444336968746359,0.0928396274713599,0.0753109911161176,0.0366392323910305,0.015625164460205,0.0318797083915971,0.0165379939743377,0.0423713670407847
"wgEncodeBroadHistoneHuvecEzh239875Pk.broadPeak",0.0590175616867036,1,0.166177117932315,0.0229078840890413,0.0837506292021074,0.338250553166736,0.108712352788726,0.132126903048481,0.11847645046732,0.0800227055768817,0.0914719496252066,0.0739523455240311,0.216316313620937,0.192178082758353,0.0239849995768185,0.0150590413021543,0.017159892712026,0.00599555083378481,0.013185871032983,0.00303840792708053,0.00785158628327066
"wgEncodeBroadHistoneHuvecH2azPk.broadPeak",0.0681798198735764,0.166177117932315,1,0.0137152938208089,0.17986798452782,0.0949548906323063,0.0806022842157917,0.232776532542424,0.224456119058028,0.148840527577819,0.0834144593814913,0.154639784650354,0.188777976081352,0.0862504327732917,0.0509243628802333,0.0325264979892315,0.0404233312562846,0.0145691056311948,0.0302516690042854,0.00665869323578438,0.0147195803209553
"wgEncodeBroadHistoneHuvecH3k09me3Pk.broadPeak",0.00992793825632109,0.0229078840890413,0.0137152938208089,1,0.00719928543383782,0.0192534490872506,0.01391963166763,0.0088254154940105,0.00822325190480988,0.00868250400899286,0.00713427812984794,0.0051337111673402,0.0228097173292927,0.0295163330855318,0.00105099409961124,0.000550355993107722,0.00166490799914826,0.000403982572564476,0.00100045992171195,0.000248412297226053,0.000228066001990929
"wgEncodeBroadHistoneHuvecH3k27acStdPk.broadPeak",0.116488580389225,0.0837506292021074,0.17986798452782,0.00719928543383782,1,0.0190823702829488,0.138895801966154,0.442351939061893,0.440671907499778,0.319194245302239,0.196309979463595,0.467732361102889,0.105212915472367,0.0935309337950416,0.178860489787873,0.110133165116982,0.113759308067671,0.0518940172488711,0.0893698208688658,0.0180053165982956,0.0523543392300883
"wgEncodeBroadHistoneHuvecH3k27me3StdPk.broadPeak",0.0323817003173679,0.338250553166736,0.0949548906323063,0.0192534490872506,0.0190823702829488,1,0.0337739929514321,0.0440739242381267,0.0444792036959494,0.0318598386292463,0.0223256924240212,0.0203146858689472,0.16858568420395,0.154096976684142,0.00496506446709061,0.00296499568701011,0.006050755267426,0.00143592173073109,0.00377933694599072,0.00083147654165534,0.00129270920762093
"wgEncodeBroadHistoneHuvecH3k36me3StdPk.broadPeak",0.0533379550854449,0.108712352788726,0.0806022842157917,0.01391963166763,0.138895801966154,0.0337739929514321,1,0.184151453334862,0.145356985748086,0.0922525443601465,0.432547566800633,0.104083363323643,0.343853133780101,0.358755870498874,0.0366222240571858,0.0230648489237842,0.0169877931203164,0.00607903858676944,0.0122138352368912,0.00308206433965306,0.010689452842662
"wgEncodeBroadHistoneHuvecH3k4me1StdPk.broadPeak",0.102649461796915,0.132126903048481,0.232776532542424,0.0088254154940105,0.442351939061893,0.0440739242381267,0.184151453334862,1,0.436064084798936,0.243167785190006,0.236635080522161,0.309924649619343,0.168055714968812,0.142254676979425,0.100623555546801,0.0556050989401016,0.0874536047945183,0.0333190577996239,0.0662367461325728,0.00845163307249817,0.0259506810959518
"wgEncodeBroadHistoneHuvecH3k4me2StdPk.broadPeak",0.113595684686827,0.11847645046732,0.224456119058028,0.00822325190480988,0.440671907499778,0.0444792036959494,0.145356985748086,0.436064084798936,1,0.368754508045124,0.204038599216892,0.396836367832217,0.127995646674115,0.11355926752556,0.139277603350464,0.0859247232815891,0.0973925476523398,0.0408595709324757,0.0767032049912069,0.0146343603797471,0.0402491125747158
"wgEncodeBroadHistoneHuvecH3k4me3StdPk.broadPeak",0.130958505756251,0.0800227055768817,0.148840527577819,0.00868250400899286,0.319194245302239,0.0318598386292463,0.0922525443601465,0.243167785190006,0.368754508045124,1,0.141639537383792,0.427238568899955,0.0668870352033951,0.0737606928437619,0.185314530829212,0.1384692817152,0.0820576615332127,0.0411019293058914,0.0708542388171828,0.0255073986334555,0.0699722279451086
"wgEncodeBroadHistoneHuvecH3k79me2Pk.broadPeak",0.0635074163908241,0.0914719496252066,0.0834144593814913,0.00713427812984794,0.196309979463595,0.0223256924240212,0.432547566800633,0.236635080522161,0.204038599216892,0.141639537383792,1,0.160144305045615,0.26394067982138,0.365273334138114,0.0568246623028523,0.0384654235357362,0.0219177270521082,0.00763459126337567,0.0160050076453935,0.00572782279832094,0.0188229545275502
"wgEncodeBroadHistoneHuvecH3k9acStdPk.broadPeak",0.130923796053035,0.0739523455240311,0.154639784650354,0.0051337111673402,0.467732361102889,0.0203146858689472,0.104083363323643,0.309924649619343,0.396836367832217,0.427238568899955,0.160144305045615,1,0.0773087353265024,0.0731585436822771,0.209055505326868,0.142635942752702,0.105819142808057,0.0542821393479895,0.0883651080571708,0.0245637805702214,0.0699007260887523
"wgEncodeBroadHistoneHuvecH3k9me1StdPk.broadPeak",0.0412074481498746,0.216316313620937,0.188777976081352,0.0228097173292927,0.105212915472367,0.16858568420395,0.343853133780101,0.168055714968812,0.127995646674115,0.0668870352033951,0.26394067982138,0.0773087353265024,1,0.381993556758519,0.0233945972975122,0.0136009430406062,0.0171154100687402,0.00596460560986683,0.0124954394868202,0.0019823689177063,0.00636333673258201
"wgEncodeBroadHistoneHuvecH4k20me1StdPk.broadPeak",0.0444336968746359,0.192178082758353,0.0862504327732917,0.0295163330855318,0.0935309337950416,0.154096976684142,0.358755870498874,0.142254676979425,0.11355926752556,0.0737606928437619,0.365273334138114,0.0731585436822771,0.381993556758519,1,0.0244116910834706,0.014948058536921,0.0128482081215207,0.00384101336526126,0.00879356902547945,0.00218196610553834,0.00750967524709564
"wgEncodeHaibTfbsHuvecPol24h8V0416101PkRep1.broadPeak",0.0928396274713599,0.0239849995768185,0.0509243628802333,0.00105099409961124,0.178860489787873,0.00496506446709061,0.0366222240571858,0.100623555546801,0.139277603350464,0.185314530829212,0.0568246623028523,0.209055505326868,0.0233945972975122,0.0244116910834706,1,0.509956407234593,0.220722919803796,0.155660428950642,0.197028143847697,0.0691881927029669,0.181173909050955
"wgEncodeHaibTfbsHuvecPol2Pcr1xPkRep1.broadPeak",0.0753109911161176,0.0150590413021543,0.0325264979892315,0.000550355993107722,0.110133165116982,0.00296499568701011,0.0230648489237842,0.0556050989401016,0.0859247232815891,0.1384692817152,0.0384654235357362,0.142635942752702,0.0136009430406062,0.014948058536921,0.509956407234593,1,0.124674703122119,0.104287375810379,0.116142668547137,0.0965294730181366,0.253193236328134
"wgEncodeSydhTfbsHuvecCfosUcdPk.narrowPeak",0.0366392323910305,0.017159892712026,0.0404233312562846,0.00166490799914826,0.113759308067671,0.006050755267426,0.0169877931203164,0.0874536047945183,0.0973925476523398,0.0820576615332127,0.0219177270521082,0.105819142808057,0.0171154100687402,0.0128482081215207,0.220722919803796,0.124674703122119,1,0.27413195696774,0.283307121351031,0.0246896443734451,0.0488567736445487
"wgEncodeSydhTfbsHuvecCjunStdPk.narrowPeak",0.015625164460205,0.00599555083378481,0.0145691056311948,0.000403982572564476,0.0518940172488711,0.00143592173073109,0.00607903858676944,0.0333190577996239,0.0408595709324757,0.0411019293058914,0.00763459126337567,0.0542821393479895,0.00596460560986683,0.00384101336526126,0.155660428950642,0.104287375810379,0.27413195696774,1,0.218743972254434,0.0257176109723438,0.0479471875622278
"wgEncodeSydhTfbsHuvecGata2UcdPk.narrowPeak",0.0318797083915971,0.013185871032983,0.0302516690042854,0.00100045992171195,0.0893698208688658,0.00377933694599072,0.0122138352368912,0.0662367461325728,0.0767032049912069,0.0708542388171828,0.0160050076453935,0.0883651080571708,0.0124954394868202,0.00879356902547945,0.197028143847697,0.116142668547137,0.283307121351031,0.218743972254434,1,0.0181978090413504,0.0478626600264054
