"","wgEncodeHaibTfbsSknshElf1V0422111PkRep1.broadPeak","wgEncodeHaibTfbsSknshFosl2V0422111PkRep1.broadPeak","wgEncodeHaibTfbsSknshFoxm1sc502V0422111PkRep1.broadPeak","wgEncodeHaibTfbsSknshGabpV0422111PkRep1.broadPeak","wgEncodeHaibTfbsSknshGata3V0422111PkRep1.broadPeak","wgEncodeHaibTfbsSknshJundV0422111PkRep1.broadPeak","wgEncodeHaibTfbsSknshMaxV0422111PkRep1.broadPeak","wgEncodeHaibTfbsSknshMef2aV0422111PkRep1.broadPeak","wgEncodeHaibTfbsSknshNficsc81335V0422111PkRep1.broadPeak","wgEncodeHaibTfbsSknshNrsfPcr2xPkRep1.broadPeak","wgEncodeHaibTfbsSknshNrsfV0416101PkRep1.broadPeak","wgEncodeHaibTfbsSknshP300V0422111PkRep1.broadPeak","wgEncodeHaibTfbsSknshPbx3V0422111PkRep1.broadPeak","wgEncodeHaibTfbsSknshPol24h8V0416101PkRep1.broadPeak","wgEncodeHaibTfbsSknshraCtcfV0416102PkRep1.broadPeak","wgEncodeHaibTfbsSknshraP300V0416102PkRep1.broadPeak","wgEncodeHaibTfbsSknshraRad21V0416102PkRep1.broadPeak","wgEncodeHaibTfbsSknshraUsf1sc8983V0416102PkRep1.broadPeak","wgEncodeHaibTfbsSknshraYy1sc281V0416102PkRep1.broadPeak","wgEncodeHaibTfbsSknshRxraV0422111PkRep1.broadPeak","wgEncodeHaibTfbsSknshSin3ak20V0416101PkRep1.broadPeak","wgEncodeHaibTfbsSknshTaf1V0416101PkRep1.broadPeak","wgEncodeHaibTfbsSknshTcf12V0422111PkRep1.broadPeak","wgEncodeHaibTfbsSknshTead4sc101184V0422111PkRep1.broadPeak","wgEncodeHaibTfbsSknshUsf1V0422111PkRep1.broadPeak","wgEncodeHaibTfbsSknshYy1sc281V0422111PkRep1.broadPeak","wgEncodeHaibTfbsSknshZbtb33V0422111PkRep1.broadPeak","wgEncodeSydhTfbsSknshCtcfbIggrabPk.narrowPeak","wgEncodeSydhTfbsSknshJundIggrabPk.narrowPeak","wgEncodeSydhTfbsSknshMxi1IggrabPk.narrowPeak","wgEncodeSydhTfbsSknshNrf1IggrabPk.narrowPeak","wgEncodeSydhTfbsSknshP300bIggrabPk.narrowPeak","wgEncodeSydhTfbsSknshRad21IggrabPk.narrowPeak","wgEncodeSydhTfbsSknshRfx5IggrabPk.narrowPeak","wgEncodeSydhTfbsSknshSmc3IggrabPk.narrowPeak"
"wgEncodeHaibTfbsSknshElf1V0422111PkRep1.broadPeak",1,0.0229505209655944,0.0269270684469828,0.284810393884261,0.0116817464166817,0.0263997931085242,0.0988946998169319,0.0331925984207716,0.0195893791783164,0.00113939733743207,0.0753996784617858,0.0315478682587753,0.0326282254409867,0.0986245274819713,0.0132029175006221,0.0264334269162805,0.0235894383277607,0.0681839207625029,0.124721489134335,0.0342772594098995,0.092131220603897,0.159610780078241,0.0130574552393721,0.039821251605671,0.0648318968139881,0.112440505229938,0.11380928549302,0.0112494190242244,0.0208263053189692,0.0380447489306109,0.0732634753856446,0.00377101528704299,0.00580738045162487,0.0173014717473159,0.00611340527291518
"wgEncodeHaibTfbsSknshFosl2V0422111PkRep1.broadPeak",0.0229505209655944,1,0.0652057065282498,0.0100283069860948,0.292360153053284,0.521878149834867,0.159340907234402,0.137333598216798,0.356789103365487,0.000171699667898207,0.0808963997298424,0.400400673375395,0.377475496141723,0.0766846513802184,0.00986832512494251,0.199272031642399,0.0873170586288825,0.0296948742959287,0.0414025442055336,0.255150176578589,0.0138961242447329,0.0153798197351429,0.355537969542676,0.229081989620513,0.0101949274993441,0.0106818748674129,0.0478904750877054,0.0152400492081898,0.27879187652377,0.0211599547569503,0.00920830426427547,0.0439490667205267,0.0146040726663391,0.00706867641176847,0.014781662868221
"wgEncodeHaibTfbsSknshFoxm1sc502V0422111PkRep1.broadPeak",0.0269270684469828,0.0652057065282498,1,0.00418880314706602,0.0427254190952679,0.0955029827415419,0.032350163785503,0.173083638129654,0.0688200294950248,0,0.025855393935486,0.0871121318417461,0.054648929504634,0.037287832806584,0.00173066537799945,0.04532108704574,0.0168220733307037,0.00879022714001695,0.018170486288409,0.142530847350488,0.0188335016662928,0.0120512072841515,0.0467094335022341,0.156457177696675,0.00824390387924519,0.011359982377426,0.114585070158473,0.00119430951002249,0.0471752546341446,0.00349144957047477,0.00226277303604125,0.0270438616337028,0.00168382813836673,0.00431329214209156,0.00176209961658468
"wgEncodeHaibTfbsSknshGabpV0422111PkRep1.broadPeak",0.284810393884261,0.0100283069860948,0.00418880314706602,1,0.00363774842321926,0.00644795136030432,0.156774483592631,0.00761232041776111,0.00873457966055366,0.00112788873036933,0.0990785727119704,0.0249789286243213,0.0340943087392539,0.148721153133563,0.01692633376943,0.0264792608464135,0.0299033068388472,0.0915799915163536,0.200898533108021,0.0132182278059513,0.0972408235082241,0.221587859959344,0.00464331029172934,0.0258909400098582,0.0700619787779472,0.174614662435159,0.0910945391229269,0.0188143402334196,0.014497495439817,0.0727345120509287,0.121945863249067,0.00208526820764356,0.00835600548622566,0.0253388439102064,0.0088505764009603
"wgEncodeHaibTfbsSknshGata3V0422111PkRep1.broadPeak",0.0116817464166817,0.292360153053284,0.0427254190952679,0.00363774842321926,1,0.295939967737166,0.0877586054705047,0.0799777040857014,0.362066133834389,0.000124563436359246,0.0424811081755786,0.342751089130921,0.389653786473059,0.0597208201772512,0.00807539278017664,0.248885367053054,0.0893007346651292,0.0185140962492834,0.031797902088171,0.143908487645667,0.00678778419169259,0.00730344656158382,0.511311755784569,0.144453245735773,0.00429737339537667,0.00539241734352193,0.0250674243088828,0.0158443503272752,0.142119805323342,0.0354234016172851,0.0034466331234992,0.127660730246372,0.0227200561749047,0.00712327754016633,0.0173049221290699
"wgEncodeHaibTfbsSknshJundV0422111PkRep1.broadPeak",0.0263997931085242,0.521878149834867,0.0955029827415419,0.00644795136030432,0.295939967737166,1,0.138045256675834,0.170275953070024,0.384667165557954,9.97927861710318e-05,0.0764496910086834,0.446452628896506,0.37408160441458,0.0922846374995529,0.00502726051528492,0.208881131756211,0.0773386017074595,0.0249710562168707,0.0365778217345858,0.298614712152729,0.0146514240076023,0.011328228014505,0.343897387445562,0.282131816914753,0.00848368118813369,0.00835357575360006,0.062327061099587,0.00755234529117042,0.267490709032594,0.0136357380302622,0.0041581853795783,0.0535240428305463,0.00866408338507236,0.00622051768786696,0.00824113926505952
"wgEncodeHaibTfbsSknshMaxV0422111PkRep1.broadPeak",0.0988946998169319,0.159340907234402,0.032350163785503,0.156774483592631,0.0877586054705047,0.138045256675834,1,0.0687286347811308,0.144694029092505,0.00207566270682409,0.202552330426665,0.205077986426203,0.191342520616142,0.308015014976614,0.047767824833951,0.14752013581976,0.16345170101664,0.142800766050958,0.289118897620074,0.149582732060479,0.0739427674075018,0.169312156938184,0.114330662949215,0.171858600793765,0.0629818061219629,0.139300201139476,0.0937971474708662,0.0716573967547399,0.117378936835595,0.203176387527327,0.185684545378738,0.0279550900812053,0.0459517134824294,0.0414957463886621,0.0490884738913026
"wgEncodeHaibTfbsSknshMef2aV0422111PkRep1.broadPeak",0.0331925984207716,0.137333598216798,0.173083638129654,0.00761232041776111,0.0799777040857014,0.170275953070024,0.0687286347811308,1,0.122437568016295,0.00026590711650565,0.0550972734913299,0.159824736629465,0.108515128332044,0.055350647452607,0.00434735068000407,0.0813589774720422,0.0357731610103155,0.0216831419488187,0.0312985780248688,0.234525484832602,0.023128578542925,0.0208661090211148,0.0893506662124983,0.211653533734435,0.0150824677105819,0.0114220222099621,0.122734489885264,0.00426559062635006,0.0852133031323146,0.00736637553827804,0.00610942856703614,0.028564119764003,0.00463509307353833,0.00564489233163205,0.00476417301400445
"wgEncodeHaibTfbsSknshNficsc81335V0422111PkRep1.broadPeak",0.0195893791783164,0.356789103365487,0.0688200294950248,0.00873457966055366,0.362066133834389,0.384667165557954,0.144694029092505,0.122437568016295,1,0.000195240151688131,0.0732813918424561,0.446824781770689,0.39623052716673,0.0872446501117296,0.0114984415406663,0.236107255960276,0.10297752199414,0.0278543233122088,0.0475543961448973,0.237979526111916,0.0128126331544677,0.0152325191261098,0.427591822999535,0.230212220335957,0.00952861152038652,0.0114718877840887,0.0421323671819914,0.0200075235241258,0.173395355098997,0.0348281369890829,0.00918764968625627,0.0792870914892077,0.0216217188268312,0.00833139808851839,0.0205147511125101
"wgEncodeHaibTfbsSknshNrsfPcr2xPkRep1.broadPeak",0.00113939733743207,0.000171699667898207,0,0.00112788873036933,0.000124563436359246,9.97927861710318e-05,0.00207566270682409,0.00026590711650565,0.000195240151688131,1,0.0347744658013817,0.000398964445547662,0.000398048070276815,0.000481470794777473,0.00123300104988795,0.000489652447950024,0.00175154288376421,0.00166487729110131,0.00241408898494986,0.000133661593727881,0.00881908504201879,0.000688792672665951,0.0001808866674113,0.000407232105463645,0.000629326031153512,0.000944120611566078,0.000614691846341263,0.000754083719380223,0.000352185118541859,0.00189667533940809,0.00230379528088424,0.000385219223927086,0.000712707949575913,0.0013991591757966,0.000687842424347427
