,infomap,walktrap,edge_betweenness,fast_greedy,label_prop,leading_eigen,louvain
Elf1V0422111PkRep1,4,4,1,3,1,1,1
Fosl2V0422111PkRep1,1,2,2,1,2,2,3
GabpV0422111PkRep1,4,4,1,3,1,1,1
Gata3V0422111PkRep1,1,2,2,1,2,2,3
JundV0422111PkRep1,1,2,2,1,2,2,3
MaxV0422111PkRep1,3,1,3,2,3,3,2
Nficsc81335V0422111PkRep1,1,2,2,1,2,2,3
P300V0422111PkRep1,1,2,2,1,2,2,3
Pbx3V0422111PkRep1,1,2,2,1,2,2,3
Pol24h8V0416101PkRep1,3,1,3,2,3,3,2
raCtcfV0416102PkRep1,2,3,4,4,4,4,4
raP300V0416102PkRep1,1,2,2,1,2,2,3
raRad21V0416102PkRep1,2,3,4,4,4,4,4
raYy1sc281V0416102PkRep1,3,1,3,2,3,3,2
RxraV0422111PkRep1,1,2,2,1,2,2,3
Taf1V0416101PkRep1,3,1,3,2,3,3,2
Tcf12V0422111PkRep1,1,2,2,1,2,2,3
Tead4sc101184V0422111PkRep1,1,2,2,1,2,2,3
Yy1sc281V0422111PkRep1,3,1,3,2,3,3,2
CtcfbIggrabPk,2,3,4,4,4,4,4
JundIggrabPk,1,2,2,1,2,2,3
Rad21IggrabPk,2,3,4,4,4,4,4
Smc3IggrabPk,2,3,4,4,4,4,4
