"","wgEncodeBroadHistoneHmecCtcfStdPk.broadPeak","wgEncodeBroadHistoneHmecEzh239875Pk.broadPeak","wgEncodeBroadHistoneHmecH2azPk.broadPeak","wgEncodeBroadHistoneHmecH3k09me3Pk.broadPeak","wgEncodeBroadHistoneHmecH3k27acStdPk.broadPeak","wgEncodeBroadHistoneHmecH3k27me3StdPk.broadPeak","wgEncodeBroadHistoneHmecH3k36me3StdPk.broadPeak","wgEncodeBroadHistoneHmecH3k4me1StdPk.broadPeak","wgEncodeBroadHistoneHmecH3k4me2StdPk.broadPeak","wgEncodeBroadHistoneHmecH3k4me3StdPk.broadPeak","wgEncodeBroadHistoneHmecH3k79me2Pk.broadPeak","wgEncodeBroadHistoneHmecH3k9acStdPk.broadPeak","wgEncodeBroadHistoneHmecH4k20me1StdPk.broadPeak","wgEncodeUwHistoneHmecH3k4me3StdPkRep1.narrowPeak"
"wgEncodeBroadHistoneHmecCtcfStdPk.broadPeak",1,0.0779769231536346,0.105185070391115,0.0253936914134195,0.0770822780834433,0.0564562090866419,0.0797594849208752,0.0942565547624774,0.0763676176677939,0.0518808791862735,0.0736679632478299,0.0891210887848698,0.0769568394006346,0.00853730599016803
"wgEncodeBroadHistoneHmecEzh239875Pk.broadPeak",0.0779769231536346,1,0.1539349973557,0.0755119738925005,0.0862920652628263,0.326760584196255,0.135130870825697,0.175061203455221,0.115741376072872,0.0494874519671013,0.10796784796156,0.107035648351695,0.282743044309767,0.00623172660580749
"wgEncodeBroadHistoneHmecH2azPk.broadPeak",0.105185070391115,0.1539349973557,1,0.0388698890357326,0.220917153630973,0.0513142759318338,0.0716187788529222,0.27189666930334,0.267309742841151,0.168351605836276,0.0811880465109262,0.195696897405635,0.0595487216216245,0.0258679264635354
"wgEncodeBroadHistoneHmecH3k09me3Pk.broadPeak",0.0253936914134195,0.0755119738925005,0.0388698890357326,1,0.0191358707941569,0.0461207703360294,0.026469704500742,0.030397751574298,0.0207635394574722,0.0119887292009665,0.019520326537869,0.0219707191326854,0.0437827045311576,0.00096859679955591
"wgEncodeBroadHistoneHmecH3k27acStdPk.broadPeak",0.0770822780834433,0.0862920652628263,0.220917153630973,0.0191358707941569,1,0.011669828029291,0.131459244335077,0.351668468849181,0.397332927975959,0.266675318321891,0.193157837923907,0.367805973667704,0.0579226491661834,0.0403223500523945
"wgEncodeBroadHistoneHmecH3k27me3StdPk.broadPeak",0.0564562090866419,0.326760584196255,0.0513142759318338,0.0461207703360294,0.011669828029291,1,0.024788043791355,0.042902520551105,0.0327395033621381,0.015927299643444,0.013676515858131,0.0299008971418735,0.288473487819576,0.00215863426405745
"wgEncodeBroadHistoneHmecH3k36me3StdPk.broadPeak",0.0797594849208752,0.135130870825697,0.0716187788529222,0.026469704500742,0.131459244335077,0.024788043791355,1,0.17285280134688,0.131789781804121,0.0663631439733232,0.422710102246451,0.122640138847035,0.248380540613752,0.0073342329442094
"wgEncodeBroadHistoneHmecH3k4me1StdPk.broadPeak",0.0942565547624774,0.175061203455221,0.27189666930334,0.030397751574298,0.351668468849181,0.042902520551105,0.17285280134688,1,0.374028744385026,0.156400902211051,0.218471648462869,0.248762437080862,0.106846125638449,0.0190255224002216
"wgEncodeBroadHistoneHmecH3k4me2StdPk.broadPeak",0.0763676176677939,0.115741376072872,0.267309742841151,0.0207635394574722,0.397332927975959,0.0327395033621381,0.131789781804121,0.374028744385026,1,0.328558355390123,0.198015589072979,0.310617099958351,0.0757256139010655,0.0428517195673853
"wgEncodeBroadHistoneHmecH3k4me3StdPk.broadPeak",0.0518808791862735,0.0494874519671013,0.168351605836276,0.0119887292009665,0.266675318321891,0.015927299643444,0.0663631439733232,0.156400902211051,0.328558355390123,1,0.122120819063439,0.286939098642982,0.0347179051613654,0.10899575109932
"wgEncodeBroadHistoneHmecH3k79me2Pk.broadPeak",0.0736679632478299,0.10796784796156,0.0811880465109262,0.019520326537869,0.193157837923907,0.013676515858131,0.422710102246451,0.218471648462869,0.198015589072979,0.122120819063439,1,0.176274277644371,0.206909627595799,0.0154870186953361
"wgEncodeBroadHistoneHmecH3k9acStdPk.broadPeak",0.0891210887848698,0.107035648351695,0.195696897405635,0.0219707191326854,0.367805973667704,0.0299008971418735,0.122640138847035,0.248762437080862,0.310617099958351,0.286939098642982,0.176274277644371,1,0.0668115098826198,0.0430795316468396
"wgEncodeBroadHistoneHmecH4k20me1StdPk.broadPeak",0.0769568394006346,0.282743044309767,0.0595487216216245,0.0437827045311576,0.0579226491661834,0.288473487819576,0.248380540613752,0.106846125638449,0.0757256139010655,0.0347179051613654,0.206909627595799,0.0668115098826198,1,0.00417818124586543
"wgEncodeUwHistoneHmecH3k4me3StdPkRep1.narrowPeak",0.00853730599016803,0.00623172660580749,0.0258679264635354,0.00096859679955591,0.0403223500523945,0.00215863426405745,0.0073342329442094,0.0190255224002216,0.0428517195673853,0.10899575109932,0.0154870186953361,0.0430795316468396,0.00417818124586543,1
