"","bed1","bed2","jaccard","distance"
"30","wgEncodeSydhTfbsImr90CtcfbIggrabPk.narrowPeak","wgEncodeSydhTfbsImr90Mazab85725IggrabPk.narrowPeak",0.100948413036439,"0.899051586963561"
"31","wgEncodeSydhTfbsImr90CtcfbIggrabPk.narrowPeak","wgEncodeSydhTfbsImr90Mxi1IggrabPk.narrowPeak",0.0738097659312461,"0.926190234068754"
"32","wgEncodeSydhTfbsImr90CtcfbIggrabPk.narrowPeak","wgEncodeSydhTfbsImr90Pol2IggrabPk.narrowPeak",0.0735518246344673,"0.926448175365533"
"33","wgEncodeSydhTfbsImr90CtcfbIggrabPk.narrowPeak","wgEncodeSydhTfbsImr90Rad21IggrabPk.narrowPeak",0.467293119125126,"0.532706880874874"
"34","wgEncodeSydhTfbsImr90CtcfbIggrabPk.narrowPeak","wgEncodeSydhTfbsImr90Rfx5IggrabPk.narrowPeak",0.0076694796462512,"0.992330520353749"
"35","wgEncodeSydhTfbsImr90MafkIggrabPk.narrowPeak","wgEncodeSydhTfbsImr90MafkIggrabPk.narrowPeak",1,"0"
"36","wgEncodeSydhTfbsImr90MafkIggrabPk.narrowPeak","wgEncodeSydhTfbsImr90Mazab85725IggrabPk.narrowPeak",0.0471487703201075,"0.952851229679893"
"37","wgEncodeSydhTfbsImr90MafkIggrabPk.narrowPeak","wgEncodeSydhTfbsImr90Mxi1IggrabPk.narrowPeak",0.0458724639191159,"0.954127536080884"
"38","wgEncodeSydhTfbsImr90MafkIggrabPk.narrowPeak","wgEncodeSydhTfbsImr90Pol2IggrabPk.narrowPeak",0.0667371687751551,"0.933262831224845"
"39","wgEncodeSydhTfbsImr90MafkIggrabPk.narrowPeak","wgEncodeSydhTfbsImr90Rad21IggrabPk.narrowPeak",0.0952197926445211,"0.904780207355479"
"40","wgEncodeSydhTfbsImr90MafkIggrabPk.narrowPeak","wgEncodeSydhTfbsImr90Rfx5IggrabPk.narrowPeak",0.00814881331341386,"0.991851186686586"
"41","wgEncodeSydhTfbsImr90Mazab85725IggrabPk.narrowPeak","wgEncodeSydhTfbsImr90Mazab85725IggrabPk.narrowPeak",1,"0"
"42","wgEncodeSydhTfbsImr90Mazab85725IggrabPk.narrowPeak","wgEncodeSydhTfbsImr90Mxi1IggrabPk.narrowPeak",0.353873961109382,"0.646126038890618"
"43","wgEncodeSydhTfbsImr90Mazab85725IggrabPk.narrowPeak","wgEncodeSydhTfbsImr90Pol2IggrabPk.narrowPeak",0.304131317809046,"0.695868682190954"
"44","wgEncodeSydhTfbsImr90Mazab85725IggrabPk.narrowPeak","wgEncodeSydhTfbsImr90Rad21IggrabPk.narrowPeak",0.191032912216106,"0.808967087783894"
"45","wgEncodeSydhTfbsImr90Mazab85725IggrabPk.narrowPeak","wgEncodeSydhTfbsImr90Rfx5IggrabPk.narrowPeak",0.0201182664414692,"0.979881733558531"
"46","wgEncodeSydhTfbsImr90Mxi1IggrabPk.narrowPeak","wgEncodeSydhTfbsImr90Mxi1IggrabPk.narrowPeak",1,"0"
"47","wgEncodeSydhTfbsImr90Mxi1IggrabPk.narrowPeak","wgEncodeSydhTfbsImr90Pol2IggrabPk.narrowPeak",0.272314002011423,"0.727685997988577"
"48","wgEncodeSydhTfbsImr90Mxi1IggrabPk.narrowPeak","wgEncodeSydhTfbsImr90Rad21IggrabPk.narrowPeak",0.153962884724976,"0.846037115275024"
"49","wgEncodeSydhTfbsImr90Mxi1IggrabPk.narrowPeak","wgEncodeSydhTfbsImr90Rfx5IggrabPk.narrowPeak",0.0202236525877892,"0.979776347412211"
"50","wgEncodeSydhTfbsImr90Pol2IggrabPk.narrowPeak","wgEncodeSydhTfbsImr90Pol2IggrabPk.narrowPeak",1,"0"
"51","wgEncodeSydhTfbsImr90Pol2IggrabPk.narrowPeak","wgEncodeSydhTfbsImr90Rad21IggrabPk.narrowPeak",0.187495939640131,"0.812504060359869"
"52","wgEncodeSydhTfbsImr90Pol2IggrabPk.narrowPeak","wgEncodeSydhTfbsImr90Rfx5IggrabPk.narrowPeak",0.0180366002304675,"0.981963399769533"
"53","wgEncodeSydhTfbsImr90Rad21IggrabPk.narrowPeak","wgEncodeSydhTfbsImr90Rad21IggrabPk.narrowPeak",1,"0"
"54","wgEncodeSydhTfbsImr90Rad21IggrabPk.narrowPeak","wgEncodeSydhTfbsImr90Rfx5IggrabPk.narrowPeak",0.0119727609625982,"0.988027239037402"
"55","wgEncodeSydhTfbsImr90Rfx5IggrabPk.narrowPeak","wgEncodeSydhTfbsImr90Rfx5IggrabPk.narrowPeak",1,"0"
