"","wgEncodeSydhTfbsImr90CebpbIggrabPk.narrowPeak","wgEncodeSydhTfbsImr90Chd1nb10060411IggrabPk.narrowPeak","wgEncodeSydhTfbsImr90Corestsc30189IggrabPk.narrowPeak","wgEncodeSydhTfbsImr90CtcfbIggrabPk.narrowPeak","wgEncodeSydhTfbsImr90MafkIggrabPk.narrowPeak","wgEncodeSydhTfbsImr90Mazab85725IggrabPk.narrowPeak","wgEncodeSydhTfbsImr90Mxi1IggrabPk.narrowPeak","wgEncodeSydhTfbsImr90Pol2IggrabPk.narrowPeak","wgEncodeSydhTfbsImr90Rad21IggrabPk.narrowPeak","wgEncodeSydhTfbsImr90Rfx5IggrabPk.narrowPeak"
"wgEncodeSydhTfbsImr90CebpbIggrabPk.narrowPeak",1,0.0324469339633938,0.060236656467746,0.0346561103551378,0.102038488674168,0.0594128965413134,0.0566248976316825,0.0744112042533384,0.0952528369811899,0.00831848539244277
"wgEncodeSydhTfbsImr90Chd1nb10060411IggrabPk.narrowPeak",0.0324469339633938,1,0.0651179212382502,0.0682807480703402,0.0312930363680281,0.186094294555015,0.169761671622335,0.216024358827447,0.116095145847316,0.0202780974524042
"wgEncodeSydhTfbsImr90Corestsc30189IggrabPk.narrowPeak",0.060236656467746,0.0651179212382502,1,0.0355247872115389,0.055177384030102,0.116170860214555,0.0931526102968713,0.0676252101652615,0.0803691206384609,0.011915512904283
"wgEncodeSydhTfbsImr90CtcfbIggrabPk.narrowPeak",0.0346561103551378,0.0682807480703402,0.0355247872115389,1,0.0338750275830002,0.100948413036439,0.0738097659312461,0.0735518246344673,0.467293119125126,0.0076694796462512
"wgEncodeSydhTfbsImr90MafkIggrabPk.narrowPeak",0.102038488674168,0.0312930363680281,0.055177384030102,0.0338750275830002,1,0.0471487703201075,0.0458724639191159,0.0667371687751551,0.0952197926445211,0.00814881331341386
"wgEncodeSydhTfbsImr90Mazab85725IggrabPk.narrowPeak",0.0594128965413134,0.186094294555015,0.116170860214555,0.100948413036439,0.0471487703201075,1,0.353873961109382,0.304131317809046,0.191032912216106,0.0201182664414692
"wgEncodeSydhTfbsImr90Mxi1IggrabPk.narrowPeak",0.0566248976316825,0.169761671622335,0.0931526102968713,0.0738097659312461,0.0458724639191159,0.353873961109382,1,0.272314002011423,0.153962884724976,0.0202236525877892
"wgEncodeSydhTfbsImr90Pol2IggrabPk.narrowPeak",0.0744112042533384,0.216024358827447,0.0676252101652615,0.0735518246344673,0.0667371687751551,0.304131317809046,0.272314002011423,1,0.187495939640131,0.0180366002304675
"wgEncodeSydhTfbsImr90Rad21IggrabPk.narrowPeak",0.0952528369811899,0.116095145847316,0.0803691206384609,0.467293119125126,0.0952197926445211,0.191032912216106,0.153962884724976,0.187495939640131,1,0.0119727609625982
"wgEncodeSydhTfbsImr90Rfx5IggrabPk.narrowPeak",0.00831848539244277,0.0202780974524042,0.011915512904283,0.0076694796462512,0.00814881331341386,0.0201182664414692,0.0202236525877892,0.0180366002304675,0.0119727609625982,1
