,infomap,walktrap,edge_betweenness,fast_greedy,label_prop,leading_eigen,louvain
Ezh239875Pk,12,13,1,11,1,1,1
H3k04me1StdPk,3,2,2,2,2,2,2
H3k27acStdPk,3,2,2,2,2,2,2
H3k27me3StdPk,12,13,1,11,1,1,1
H3k36me3StdPk,7,5,3,2,3,2,2
H3k4me2StdPk,3,2,2,2,2,2,2
H3k4me3StdPk,3,2,2,2,2,2,2
H3k79me2StdPk,7,5,3,2,3,2,2
H3k9acStdPk,3,2,2,2,2,2,2
H4k20me1StdPk,7,5,3,2,3,2,2
Bhlhe40V0416101PkRep1,2,6,4,3,4,3,7
Cebpbsc150V0416101PkRep1,8,12,5,7,5,4,8
Cebpdsc636V0416101PkRep1,1,1,6,1,6,5,6
Creb1sc240V0422111PkRep1,1,1,6,1,6,5,6
Ctcfsc5916V0416101PkRep1,5,7,7,9,7,10,5
Elf1sc631V0416101PkRep1,1,1,6,1,6,5,6
Foxa1sc101058V0416101PkRep1,4,3,8,8,6,11,3
Foxa1sc6553V0416101PkRep1,4,3,9,8,6,11,3
GabpPcr2xPkRep1,1,1,10,1,6,5,6
Hdac2sc6296V0416101PkRep1,1,1,6,8,6,11,3
Hnf4asc8987V0416101PkRep1,4,3,8,8,6,11,3
Hnf4gsc6558V0416101PkRep1,4,3,8,8,6,11,3
JundPcr1xPkRep1,2,4,4,3,4,3,7
MaxV0422111PkRep1,1,1,6,1,6,5,6
Mbd4sc271530V0422111PkRep1,1,1,11,8,6,11,3
Mybl2sc81192V0422111PkRep1,1,1,6,8,6,11,3
Nficsc81335V0422111PkRep1,1,1,6,8,6,11,3
NrsfPcr2xPkRep1,9,11,12,5,8,6,4
NrsfV0416101PkRep1,9,11,12,5,8,6,4
P300V0416101PkRep1,4,3,8,8,6,11,3
Pol24h8V0416102PkRep1,1,1,6,1,6,5,6
Pol2Pcr2xPkRep1,1,1,6,1,6,5,6
Rad21V0416101PkRep1,5,7,7,9,7,10,5
RxraPcr1xPkRep1,2,4,4,3,4,3,7
Sin3ak20Pcr1xPkRep1,2,6,4,3,4,3,7
Sp1Pcr1xPkRep1,4,3,8,8,6,11,3
Taf1Pcr2xPkRep1,1,1,6,1,6,5,6
Tcf12Pcr1xPkRep1,2,4,4,3,4,3,7
Tead4sc101184V0422111PkRep1,4,3,13,8,6,11,3
Yy1sc281V0416101PkRep1,1,1,6,1,6,5,6
Zbtb33Pcr1xPkRep1,2,6,4,3,4,3,7
Arid3anb100279IggrabPk,1,1,6,8,6,11,3
Bhlhe40cIggrabPk,1,1,6,1,6,5,6
Brca1a300IggrabPk,1,1,14,1,6,5,6
CebpbForsklnStdPk,8,12,5,7,5,4,8
Chd2ab68301IggrabPk,1,1,6,1,6,5,6
CjunIggrabPk,10,10,15,4,9,7,9
Corestsc30189IggrabPk,1,1,6,1,6,5,6
Hnf4aForsklnStdPk,4,3,8,8,6,11,3
JundIggrabPk,10,10,15,4,9,7,9
Maffm8194IggrabPk,6,8,16,10,10,8,10
Mafkab50322IggrabPk,6,8,16,10,10,8,10
Mafksc477IggrabPk,6,8,16,10,10,8,10
MaxIggrabPk,1,1,6,1,6,5,6
Mazab85725IggrabPk,1,1,6,1,6,5,6
Mxi1StdPk,1,1,6,1,6,5,6
P300sc582IggrabPk,1,1,6,8,6,11,3
Pol2ForsklnStdPk,1,1,6,1,6,5,6
Pol2IggrabPk,1,1,6,1,6,5,6
Pol2s2IggrabPk,1,1,17,1,6,5,6
Rad21IggrabPk,5,7,7,9,7,10,5
Rfx5200401194IggrabPk,1,1,6,1,6,5,6
Smc3ab9263IggrabPk,5,7,7,9,7,10,5
Srebp1PravastStdPk,11,9,18,6,11,9,11
Srebp2PravastStdPk,11,9,18,6,11,9,11
TbpIggrabPk,1,1,6,1,6,5,6
