"","wgEncodeBroadHistoneHepg2CtcfStdPk.broadPeak","wgEncodeBroadHistoneHepg2Ezh239875Pk.broadPeak","wgEncodeBroadHistoneHepg2H2azStdPk.broadPeak","wgEncodeBroadHistoneHepg2H3k04me1StdPk.broadPeak","wgEncodeBroadHistoneHepg2H3k09me3Pk.broadPeak","wgEncodeBroadHistoneHepg2H3k27acStdPk.broadPeak","wgEncodeBroadHistoneHepg2H3k27me3StdPk.broadPeak","wgEncodeBroadHistoneHepg2H3k36me3StdPk.broadPeak","wgEncodeBroadHistoneHepg2H3k4me2StdPk.broadPeak","wgEncodeBroadHistoneHepg2H3k4me3StdPk.broadPeak","wgEncodeBroadHistoneHepg2H3k79me2StdPk.broadPeak","wgEncodeBroadHistoneHepg2H3k9acStdPk.broadPeak","wgEncodeBroadHistoneHepg2H4k20me1StdPk.broadPeak","wgEncodeHaibTfbsHepg2Atf3V0416101PkRep1.broadPeak","wgEncodeHaibTfbsHepg2Bhlhe40V0416101PkRep1.broadPeak","wgEncodeHaibTfbsHepg2Cebpbsc150V0416101PkRep1.broadPeak","wgEncodeHaibTfbsHepg2Cebpdsc636V0416101PkRep1.broadPeak","wgEncodeHaibTfbsHepg2Creb1sc240V0422111PkRep1.broadPeak","wgEncodeHaibTfbsHepg2Ctcfsc5916V0416101PkRep1.broadPeak","wgEncodeHaibTfbsHepg2Elf1sc631V0416101PkRep1.broadPeak","wgEncodeHaibTfbsHepg2Fosl2V0416101PkRep1.broadPeak","wgEncodeHaibTfbsHepg2Foxa1sc101058V0416101PkRep1.broadPeak","wgEncodeHaibTfbsHepg2Foxa1sc6553V0416101PkRep1.broadPeak","wgEncodeHaibTfbsHepg2Foxa2sc6554V0416101PkRep1.broadPeak","wgEncodeHaibTfbsHepg2GabpPcr2xPkRep1.broadPeak","wgEncodeHaibTfbsHepg2Hdac2sc6296V0416101PkRep1.broadPeak","wgEncodeHaibTfbsHepg2Hnf4asc8987V0416101PkRep1.broadPeak","wgEncodeHaibTfbsHepg2Hnf4gsc6558V0416101PkRep1.broadPeak","wgEncodeHaibTfbsHepg2JundPcr1xPkRep1.broadPeak","wgEncodeHaibTfbsHepg2MaxV0422111PkRep1.broadPeak","wgEncodeHaibTfbsHepg2Mbd4sc271530V0422111PkRep1.broadPeak","wgEncodeHaibTfbsHepg2Mybl2sc81192V0422111PkRep1.broadPeak","wgEncodeHaibTfbsHepg2Nficsc81335V0422111PkRep1.broadPeak","wgEncodeHaibTfbsHepg2Nr2f2sc271940V0422111PkRep1.broadPeak","wgEncodeHaibTfbsHepg2NrsfPcr2xPkRep1.broadPeak","wgEncodeHaibTfbsHepg2NrsfV0416101PkRep1.broadPeak","wgEncodeHaibTfbsHepg2P300V0416101PkRep1.broadPeak","wgEncodeHaibTfbsHepg2Pol24h8V0416102PkRep1.broadPeak","wgEncodeHaibTfbsHepg2Pol2Pcr2xPkRep1.broadPeak","wgEncodeHaibTfbsHepg2Rad21V0416101PkRep1.broadPeak","wgEncodeHaibTfbsHepg2RxraPcr1xPkRep1.broadPeak","wgEncodeHaibTfbsHepg2Sin3ak20Pcr1xPkRep1.broadPeak","wgEncodeHaibTfbsHepg2Sp1Pcr1xPkRep1.broadPeak","wgEncodeHaibTfbsHepg2Sp2V0422111PkRep1.broadPeak","wgEncodeHaibTfbsHepg2SrfV0416101PkRep1.broadPeak","wgEncodeHaibTfbsHepg2Taf1Pcr2xPkRep1.broadPeak","wgEncodeHaibTfbsHepg2Tcf12Pcr1xPkRep1.broadPeak","wgEncodeHaibTfbsHepg2Tead4sc101184V0422111PkRep1.broadPeak","wgEncodeHaibTfbsHepg2Usf1Pcr1xPkRep1.broadPeak","wgEncodeHaibTfbsHepg2Yy1sc281V0416101PkRep1.broadPeak","wgEncodeHaibTfbsHepg2Zbtb33Pcr1xPkRep1.broadPeak","wgEncodeHaibTfbsHepg2Zbtb33V0416101PkRep1.broadPeak","wgEncodeHaibTfbsHepg2Zbtb7aV0416101PkRep1.broadPeak","wgEncodeHaibTfbsHepg2Zeb1V0422111PkRep1.broadPeak","wgEncodeSydhTfbsHepg2Arid3anb100279IggrabPk.narrowPeak","wgEncodeSydhTfbsHepg2Bhlhe40cIggrabPk.narrowPeak","wgEncodeSydhTfbsHepg2Brca1a300IggrabPk.narrowPeak","wgEncodeSydhTfbsHepg2CebpbForsklnStdPk.narrowPeak","wgEncodeSydhTfbsHepg2CebpbIggrabPk.narrowPeak","wgEncodeSydhTfbsHepg2CebpzIggrabPk.narrowPeak","wgEncodeSydhTfbsHepg2Chd2ab68301IggrabPk.narrowPeak","wgEncodeSydhTfbsHepg2CjunIggrabPk.narrowPeak","wgEncodeSydhTfbsHepg2Corestsc30189IggrabPk.narrowPeak","wgEncodeSydhTfbsHepg2ErraForsklnStdPk.narrowPeak","wgEncodeSydhTfbsHepg2Grp20ForsklnStdPk.narrowPeak","wgEncodeSydhTfbsHepg2Hnf4aForsklnStdPk.narrowPeak","wgEncodeSydhTfbsHepg2Hsf1ForsklnStdPk.narrowPeak","wgEncodeSydhTfbsHepg2Irf3IggrabPk.narrowPeak","wgEncodeSydhTfbsHepg2JundIggrabPk.narrowPeak","wgEncodeSydhTfbsHepg2Maffm8194IggrabPk.narrowPeak","wgEncodeSydhTfbsHepg2Mafkab50322IggrabPk.narrowPeak","wgEncodeSydhTfbsHepg2Mafksc477IggrabPk.narrowPeak","wgEncodeSydhTfbsHepg2MaxIggrabPk.narrowPeak","wgEncodeSydhTfbsHepg2Mazab85725IggrabPk.narrowPeak","wgEncodeSydhTfbsHepg2Mxi1StdPk.narrowPeak","wgEncodeSydhTfbsHepg2Nrf1IggrabPk.narrowPeak","wgEncodeSydhTfbsHepg2P300sc582IggrabPk.narrowPeak","wgEncodeSydhTfbsHepg2Pgc1aForsklnStdPk.narrowPeak","wgEncodeSydhTfbsHepg2Pol2ForsklnStdPk.narrowPeak","wgEncodeSydhTfbsHepg2Pol2IggrabPk.narrowPeak","wgEncodeSydhTfbsHepg2Pol2PravastStdPk.narrowPeak","wgEncodeSydhTfbsHepg2Pol2s2IggrabPk.narrowPeak","wgEncodeSydhTfbsHepg2Rad21IggrabPk.narrowPeak","wgEncodeSydhTfbsHepg2Rfx5200401194IggrabPk.narrowPeak","wgEncodeSydhTfbsHepg2Smc3ab9263IggrabPk.narrowPeak","wgEncodeSydhTfbsHepg2Srebp1InslnStdPk.narrowPeak","wgEncodeSydhTfbsHepg2Srebp1PravastStdPk.narrowPeak","wgEncodeSydhTfbsHepg2Srebp2PravastStdPk.narrowPeak","wgEncodeSydhTfbsHepg2TbpIggrabPk.narrowPeak","wgEncodeSydhTfbsHepg2Tcf7l2UcdPk.narrowPeak","wgEncodeSydhTfbsHepg2Tr4UcdPk.narrowPeak","wgEncodeSydhTfbsHepg2Usf2IggrabPk.narrowPeak","wgEncodeSydhTfbsHepg2Znf274UcdPk.narrowPeak"
"wgEncodeBroadHistoneHepg2CtcfStdPk.broadPeak",1,0.0556432925307269,0.0419578718879333,0.0667667803719418,0.0214276275095561,0.0728131083055602,0.0394732549216476,0.0440691922279258,0.0918456420661319,0.095689165795234,0.0658183561765452,0.0944583284859603,0.0493740897878722,0.00459744633891366,0.00875345528686996,0.0106996315413813,0.0287582360025968,0.031061302097026,0.176407080332108,0.0304977381648832,0.036701634983958,0.0266018029830829,0.030656352943228,0.0119180701890549,0.00949480584227233,0.0486639029417393,0.0202049020457534,0.0232674758946065,0.0158446732994023,0.0406894827453454,0.0342766426528696,0.0621347735406846,0.0440860839496525,0.00441392846958112,0.00142236826847307,0.0043378015339951,0.0187870693925891,0.0427313940914903,0.0262129495715541,0.192277531519905,0.0154154398329686,0.0157331765368562,0.0341473706328862,0.00330954151735691,0.0021169698285016,0.0191462057538437,0.0130955608579151,0.0459350651521745,0.0132880052264475,0.0583390240025557,0.00956667751396541,0.00183743241326767,0.0160596177615098,0.00647896035134512,0.0766459293404842,0.0406778007638792,0.0273216059447378,0.0158810439472662,0.0349925600353165,0.00431834491308188,0.0440134720104145,0.011189232086026,0.0718247854735645,0.000869834298415301,0.000277171703596307,0.0137128734191567,0.00129429272159992,0.00193912004233052,0.0354079046213508,0.0310085014618785,0.0318230471802184,0.0308919814906193,0.0535138853815024,0.0681882129062004,0.0593896790872474,0.0042529972092729,0.0444864223137425,0.000111641512360364,0.0342713687966192,0.0582259188851744,0.0110368958486897,0.0422039361065024,0.207887960214053,0.0482985118057629,0.176432731419703,0.00157087790649755,0.000171777960831092,0.000127605946504953,0.0386228929256021,0.0115943189054518,0.00280425053874483,0.0221197201480329,0.00265958240991124
"wgEncodeBroadHistoneHepg2Ezh239875Pk.broadPeak",0.0556432925307269,1,0.215841739996008,0.159908093467555,0.0467912744412956,0.0524937952964526,0.594213282550279,0.0614838176698572,0.1053113330484,0.0719168075809879,0.0677788803292185,0.0865107496062646,0.220506776619287,0.000753733576405234,0.0012949781649459,0.00308678806907581,0.00625952090557495,0.00807703248823431,0.0108976753253357,0.00583231092133266,0.0111512432357807,0.0108032573280008,0.0143698159121875,0.00591064042700378,0.00207918104432994,0.0121356620190761,0.00667344382239564,0.00657609660977415,0.00345864616507016,0.0116978202109815,0.0077080260294603,0.0143590589666977,0.00986717224338087,0.00224969097375869,0.000795446326037292,0.00179961204419336,0.00725005500230184,0.0111672600326001,0.00573980579303651,0.0139010939945994,0.00257101308424575,0.00246302570788775,0.0100225886719744,0.000565153455894792,0.000507972705466598,0.00429450401623496,0.0025412481650046,0.0120300831836938,0.00266701592584877,0.0116148328900798,0.00129228046153752,0.000350992140757871,0.00261038846480109,0.00170091584590017,0.0162305228444807,0.00991150044936075,0.00384320466868822,0.00423219968141918,0.0219596820685718,0.000660488920052699,0.00861831553599396,0.00525134360065662,0.0140911872606684,0.000145211116813737,5.63410936269743e-05,0.00309202688390008,0.000270787276102956,0.000287747731436552,0.0142230708806301,0.0130602640753701,0.0177429505392615,0.0144159394569259,0.0127552777307198,0.0138926295185493,0.0142832187247519,0.000645082456030497,0.00979305473518492,3.32137047941626e-05,0.0084969213891535,0.0194285016574641,0.00239608250299475,0.0159918693216031,0.0146377031486929,0.00935814695218064,0.014551123152582,0.000325559146577873,3.90292311610986e-05,2.80896109635717e-05,0.00939968741124172,0.00361858875974763,0.000579837311507447,0.00465401441882412,0.000305506941085801
"wgEncodeBroadHistoneHepg2H2azStdPk.broadPeak",0.0419578718879333,0.215841739996008,1,0.1562761424016,0.133534730172421,0.0728850168845866,0.189361711162354,0.0869080743455879,0.097816981735614,0.0682672297093496,0.0934269011130808,0.0880096833741432,0.131216577371965,0.000859254998000882,0.00109675562584789,0.00294436000937941,0.00702184493246523,0.0098962062954474,0.00719186046351846,0.00704595948427884,0.00927132995280769,0.011294843169834,0.0156376279676433,0.00642054446512913,0.00262578312276914,0.0129558694317156,0.00690481752596845,0.00695086629453712,0.00304209930027464,0.0118683662880928,0.00843054282853307,0.0163742278748724,0.0112775826229721,0.00200162832172636,0.000247219929757385,0.000965823382475987,0.00807612479627728,0.0118911012774879,0.00672704332337204,0.00991678890393195,0.00212533148970581,0.00276147328072939,0.0108672056815702,0.000809527508061898,0.00054043613895175,0.00553707407481701,0.00233003225207556,0.0135594325107527,0.00232031470390054,0.0123596348004573,0.00111845442889924,0.000454729855718293,0.00240144273760215,0.00153289960717211,0.0180923248358908,0.00963763885231952,0.0041042964616736,0.0042744881110244,0.0227345684698306,0.000616646088238447,0.00916104570189068,0.00541709622534684,0.0140525154706643,0.000129077051605004,8.3842176663776e-05,0.00316783521018292,0.000281619934868059,0.000335516539212727,0.0140961130434846,0.0144236983643052,0.0205365205366259,0.0158036181339356,0.0127756793279299,0.0140139068301764,0.0162368372849501,0.000832775007445003,0.010657219538756,2.82940032425126e-05,0.00968140056256551,0.0209722544609169,0.00279474033965527,0.014749532625344,0.0117474755984361,0.00971420613400151,0.0121512103977303,0.000395475791397954,4.42626347635685e-05,3.68955579829575e-05,0.0116055845612371,0.00409197206719731,0.000788750902416105,0.004255386944244,0.000258285564124546
"wgEncodeBroadHistoneHepg2H3k04me1StdPk.broadPeak",0.0667667803719418,0.159908093467555,0.1562761424016,1,0.0185079372056332,0.259416301982644,0.123475686648128,0.214510116393248,0.338678772930406,0.204038173270254,0.283723324602604,0.254239055717663,0.17446964067279,0.00158973943192726,0.0021042805337594,0.01016377796247,0.0158925149041482,0.0193513254135243,0.0158470151595611,0.0139726399676696,0.0304622869872668,0.0398587358820098,0.0567056495179287,0.0235081077991576,0.00371605795978394,0.0364709670183906,0.0247459648900006,0.0232431869893533,0.00884977628524875,0.0276176854454006,0.023336945060981,0.0426021492445042,0.0289191468325363,0.00795441122164559,0.000551186159965012,0.00228422733755484,0.0270707214164711,0.0335960558302228,0.0143715955729277,0.023496940352326,0.00544295603618188,0.00441477526425672,0.0314736844929379,0.00107150417029994,0.00138068790889125,0.00918065374340971,0.00648709040602933,0.0425945451367389,0.00515651973961235,0.025506764735049,0.00147969390126651,0.000661375296601529,0.00692636151935218,0.00459020878398072,0.0509282704384067,0.0243910129443197,0.00767794853053779,0.0131833039831308,0.0468383146273224,0.0012033662825002,0.0190439022220172,0.0132333499360637,0.0338433076493028,0.000442147781959599,9.46817226414587e-05,0.00990486252768763,0.000647742168289488,0.000548124508848359,0.0312734767828629,0.025863446009609,0.0304549465320154,0.0267883942348693,0.0282643718827128,0.0312936840368477,0.0370713713947687,0.00122099888738983,0.0268382859844964,6.93959570447018e-05,0.0204068321268494,0.0589318275246194,0.00562309675129219,0.0566034429691157,0.0275696061589152,0.0209736281721649,0.0310262934715112,0.000854746399412604,0.000117375822325827,9.14443226609918e-05,0.0238466520712722,0.0102246172504778,0.0012146510753198,0.00924970590871483,0.000324614504962126
"wgEncodeBroadHistoneHepg2H3k09me3Pk.broadPeak",0.0214276275095561,0.0467912744412956,0.133534730172421,0.0185079372056332,1,0.0100189008896991,0.0386828363590422,0.0232850966692436,0.0108703848411007,0.00884301403264293,0.0233504714347282,0.0136312995257168,0.0289856555160866,0.000148153462382573,0.00170411455476355,0.000526400273694338,0.000375213658957842,0.000480650094474972,0.00157732341027295,0.000496299398588693,0.0040723497651769,0.00411375639688276,0.00278074510631493,0.00108601533508473,0.000251108141362653,0.000884842218532214,0.000927310616094685,0.000749751937863266,0.00163882462950474,0.000496038773147785,0.000807218491377175,0.00114608224553414,0.00089531385056987,0.000375382844771652,0.000176257026110466,0.000327622727908469,0.00118966819749599,0.00156994809342543,0.000402551284935015,0.00193220633424951,0.00372046177675973,0.00247356235204731,0.00493445645254262,5.21292290283438e-05,9.55817736452962e-05,0.000290515546284232,0.00180052746610791,0.00145944659118698,0.00217637821910192,0.000634835955382749,0.00231702959929844,6.36507741607164e-05,0.000151168292936038,9.48048688724489e-05,0.00220321674988663,0.000736574887639322,0.000714949003243385,0.000461488452768097,0.0111097362074418,0.000464358320328299,0.00102371447592662,0.0022517994516833,0.00138609489468479,1.63276963362305e-05,6.68466052815256e-06,0.000260542403607762,1.04301635396017e-05,0.00016716175896965,0.00589065599073043,0.0072675068626799,0.0127258400702311,0.00840463321571137,0.00155357269349283,0.00197258314011892,0.000800690249107253,0.000265933413223977,0.00108214685314987,1.03910203184652e-05,0.00042116880587344,0.0013371662404552,0.000118845571851014,0.00191275449448707,0.00222762604645047,0.00135725146360517,0.0020360705807555,1.3257638430644e-05,4.69272943857213e-06,3.83793310569871e-06,0.000655959493874112,0.00230985625233672,4.31271381819009e-05,0.00158181780959345,0.000841795054148483
"wgEncodeBroadHistoneHepg2H3k27acStdPk.broadPeak",0.0728131083055602,0.0524937952964526,0.0728850168845866,0.259416301982644,0.0100189008896991,1,0.0370079234667291,0.141692631573976,0.357434404735058,0.338118149250197,0.243088397677282,0.370358752903836,0.0947008526771767,0.00630926433794572,0.00574711590820651,0.0214246827470687,0.0603711738893219,0.0801070420157469,0.0188619151364322,0.051524736445642,0.0582250541415533,0.0656559689148781,0.0881857390758892,0.0468778933518513,0.0199437534711935,0.101149382318927,0.0517608761473087,0.0553448838977899,0.0229695447798235,0.0889973119346499,0.0690939580459863,0.131856420079658,0.0917707182151868,0.0162345285189545,0.000939011050592808,0.00546135164080304,0.0622008820877178,0.104533739904634,0.0595486818190234,0.0355934606856535,0.0120570050433832,0.017876460363022,0.0787645180693354,0.00613359428847725,0.0038256658231816,0.0491908314277916,0.0182158550460498,0.105180160646919,0.0111979362733041,0.0914852689743676,0.00402637168707106,0.00338644202460685,0.0204486071179839,0.0110556632840063,0.117420965315008,0.067184029709548,0.0286289724528398,0.0313735602635291,0.0643461728371629,0.00339671217958982,0.067610385055955,0.0245895493437193,0.096729730610093,0.00127718144232683,0.000636023858374612,0.0277405594130774,0.0019608698249074,0.00221335285070801,0.0568813470279884,0.0458630795524873,0.0480280553527542,0.0453929169523123,0.0889076959736546,0.0950972704391739,0.126931325927362,0.00568138878395905,0.0820005786361396,0.000241401462897166,0.0849081856423816,0.178950368499966,0.0251503824979493,0.105935030194668,0.0458232914105639,0.0646622292770468,0.0534129889353006,0.00343307415342525,0.000418416918161724,0.000364570687028437,0.0932090039005399,0.022486440128355,0.00623956755679385,0.0223465680875506,0.000921953470943891
"wgEncodeBroadHistoneHepg2H3k27me3StdPk.broadPeak",0.0394732549216476,0.594213282550279,0.189361711162354,0.123475686648128,0.0386828363590422,0.0370079234667291,1,0.0507236216712799,0.0850690594478604,0.0609344675373029,0.0531811044388172,0.0687093714787232,0.215846959333208,0.000751312147145007,0.00103552148858732,0.00201819308155215,0.00621566015354184,0.00944384204313806,0.00868497697087073,0.00584484028531905,0.00877544963372246,0.0069400428934827,0.00926764307074514,0.00309769176966074,0.00233017707086816,0.00962256797100199,0.0041509920231828,0.00434627735110641,0.00259578699037812,0.0120507267624123,0.00577100700712791,0.0124730862707201,0.00817548229102337,0.00115817195685867,0.000683691509788838,0.00150947954647,0.00384948575812977,0.0104236210969309,0.00619407584362787,0.0108835592645598,0.00191584856815015,0.00258960091900835,0.00692073192528784,0.000672607768190677,0.000403318582836439,0.00531279295834405,0.00172324911427115,0.00824843162474627,0.00231504824857088,0.0120812507289406,0.00112139461002669,0.000403620991354901,0.00230498912935556,0.00145589122448641,0.0116306622599587,0.00859163003356496,0.00386271753876372,0.00314602564842993,0.0187611797693098,0.000538990196162246,0.00832983684063469,0.00382013015638743,0.0121138621327012,0.000112119592180837,7.48842339971145e-05,0.00211094147000861,0.000241563789999501,0.000276295335721752,0.0115134447666054,0.0109155451532112,0.015625967262871,0.0125507026657789,0.0119413046901016,0.0127238636636028,0.0141807608745698,0.000681497841514358,0.00792037152754884,2.10877622605314e-05,0.00943772286042951,0.0188919708647842,0.00283915158895467,0.0136609958272125,0.0107854604897009,0.00844919577204089,0.0102235185842387,0.000373406432956401,3.74140994601011e-05,3.07826730649417e-05,0.00926980976594492,0.0020579757354952,0.000682431582082358,0.00414011002922195,0.00026960244617519
"wgEncodeBroadHistoneHepg2H3k36me3StdPk.broadPeak",0.0440691922279258,0.0614838176698572,0.0869080743455879,0.214510116393248,0.0232850966692436,0.141692631573976,0.0507236216712799,1,0.117199246340223,0.0852952420600567,0.388976605368102,0.131740892510099,0.303865648240787,0.00100890997072156,0.00153672592357902,0.00333313903691241,0.00888237999546193,0.0122717092818663,0.00724942751546065,0.00765226264195753,0.0171825676662154,0.0124690321666069,0.017418758031034,0.00687088054618875,0.00316202734264585,0.0143801213410675,0.00755058104171505,0.0077755969421193,0.00394299322424855,0.0140102712946946,0.0108140545460789,0.0190772089075494,0.01287341984042,0.00217050142528781,0.000326653462875001,0.000984835023294119,0.00781250486344967,0.0244831973874691,0.0100939238551719,0.00984384910655939,0.00281115334081066,0.00383435725758277,0.0122116890966627,0.000948514543087517,0.000607855240846396,0.00761979481861622,0.00298608257563976,0.0155300713483011,0.00271609608486826,0.0141126338667369,0.00156639618070252,0.000550384754899969,0.00287126491115816,0.00160078490324748,0.0190768270897033,0.00989735774131425,0.00488865908986773,0.00483842586106274,0.0222048783049812,0.000836212922457637,0.010933383643879,0.00528276397330372,0.0151841905764584,0.000187487493078132,0.000111984209107201,0.00365937458704758,0.000198802066559696,0.000434844552460854,0.0137833406178439,0.0137060806710702,0.0194098015341677,0.0154898506424893,0.0139143666468932,0.0154344248040025,0.0196869519700446,0.00104994363855714,0.011654639695711,2.97962265892993e-05,0.0146854427537851,0.0394225541047813,0.00447831240311111,0.0702641308181492,0.0115828186300144,0.0105015826642284,0.0118383340267769,0.000494316523722693,6.06347441928754e-05,5.47945195845957e-05,0.0129933161719299,0.00428868783087596,0.00101711706030812,0.00445064668331299,0.000635042765492347
"wgEncodeBroadHistoneHepg2H3k4me2StdPk.broadPeak",0.0918456420661319,0.1053113330484,0.097816981735614,0.338678772930406,0.0108703848411007,0.357434404735058,0.0850690594478604,0.117199246340223,1,0.496952599426759,0.205214793800549,0.406293682095708,0.100273870438605,0.00552063175814962,0.00539055075446343,0.0198933777848375,0.0510150757785721,0.0681033798798012,0.0300290049253173,0.045250336897746,0.0551374079735446,0.0668487875026745,0.0899476598681361,0.0418137968402589,0.016669338937806,0.0932016783135684,0.0496764964277901,0.0508049195293956,0.0202810151927657,0.0862121214169073,0.0555560989324551,0.113215212214471,0.0762266009400295,0.0150643885688334,0.00138019300226392,0.00526119558364815,0.0531972674079499,0.0825520821626218,0.0482113767086091,0.046396259425944,0.0117162922926737,0.0150431095737198,0.071135384804871,0.00516149900036319,0.00333147661412316,0.0388395999728135,0.0153534010030507,0.091117970631089,0.0117171670130682,0.0873935551147787,0.00394365043316764,0.00277192784287736,0.019605881409443,0.0112474019401626,0.108777013884753,0.0630993226436756,0.0247646686890643,0.0288529153349629,0.0684440454284124,0.00313865941299119,0.0591544062915825,0.0215352999572022,0.0906036774806981,0.00104194326089336,0.000490024479924325,0.0234258151815699,0.00184688356919006,0.0018986702398744,0.0534584563358865,0.0437168551788072,0.0462539777689847,0.0437060574831275,0.0832223703701309,0.090493539288515,0.11130761590855,0.00481702222524761,0.070306629102512,0.000186850648283508,0.0691382903867312,0.147376480048055,0.0194515030311229,0.0795649900822703,0.0537535524846961,0.0586283117739815,0.0590735480029818,0.00283489836099078,0.000321515223248064,0.000273743023431039,0.0747112743444247,0.0189099879511294,0.00497348469079609,0.0218676077981873,0.000770058033202072
"wgEncodeBroadHistoneHepg2H3k4me3StdPk.broadPeak",0.095689165795234,0.0719168075809879,0.0682672297093496,0.204038173270254,0.00884301403264293,0.338118149250197,0.0609344675373029,0.0852952420600567,0.496952599426759,1,0.161004861716945,0.410904463345186,0.0716332030492444,0.00861950737013306,0.00813699252143452,0.0236054510478377,0.079545109669975,0.10790272986812,0.0349592871666352,0.068967117170091,0.065898571381404,0.063724216753146,0.0825098370354405,0.0422057865994322,0.0269814876005873,0.127779916626632,0.0563569980614956,0.0630108255058632,0.0275063335110584,0.13531011527902,0.0766474681104677,0.161892980683707,0.108621329883101,0.0158988009123215,0.00200973860544565,0.00738810745598748,0.0580771417870057,0.121249175494633,0.0768444353755024,0.0560244737073009,0.0158125483112691,0.0242132331540768,0.0890174134814719,0.00851692787248142,0.00444957018787506,0.0637365705879619,0.0214276730437523,0.110208287894338,0.0159854181923394,0.136855823965001,0.00655949584688676,0.0045036671306812,0.0300318181215723,0.0161450153453917,0.127666267572689,0.0884493290546076,0.0386875834332039,0.036781895876614,0.0674636045823064,0.00483249911169943,0.0907622311837548,0.0228638472311218,0.128877067349271,0.00151504884474362,0.000800570178548498,0.0327787327232268,0.00281033353740762,0.00315974923156397,0.0594257913693002,0.0492429727548606,0.0497896153475976,0.0491076086135036,0.124933111679914,0.134240038263209,0.167247188978628,0.00783142889929028,0.0982607570215513,0.000265694119253807,0.109946345289315,0.214546336320966,0.0306709144888113,0.0925126900396988,0.063561803443444,0.0859920610028084,0.0677196649319789,0.00454610829666686,0.000505572405989895,0.00043703450823202,0.11644093605561,0.0220950985625373,0.00796907059874637,0.030552696841094,0.00137302837821599
