"","wgEncodeUwHistoneH7esH3k04me3StdDiffa14dPkRep1.narrowPeak","wgEncodeUwHistoneH7esH3k04me3StdDiffa2dPkRep1.narrowPeak","wgEncodeUwHistoneH7esH3k04me3StdDiffa5dPkRep1.narrowPeak","wgEncodeUwHistoneH7esH3k04me3StdDiffa9dPkRep1.narrowPeak","wgEncodeUwHistoneH7esH3k27me3StdDiffa14dPkRep1.narrowPeak","wgEncodeUwHistoneH7esH3k27me3StdDiffa2dPkRep1.narrowPeak","wgEncodeUwHistoneH7esH3k27me3StdDiffa5dPkRep1.narrowPeak","wgEncodeUwHistoneH7esH3k27me3StdDiffa9dPkRep1.narrowPeak","wgEncodeUwHistoneH7esH3k27me3StdPkRep1.narrowPeak","wgEncodeUwHistoneH7esH3k36me3StdDiffa14dPkRep1.narrowPeak","wgEncodeUwHistoneH7esH3k36me3StdDiffa2dPkRep1.narrowPeak","wgEncodeUwHistoneH7esH3k36me3StdDiffa5dPkRep1.narrowPeak","wgEncodeUwHistoneH7esH3k36me3StdDiffa9dPkRep1.narrowPeak","wgEncodeUwHistoneH7esH3k36me3StdPkRep1.narrowPeak","wgEncodeUwHistoneH7esH3k4me3StdPkRep1.narrowPeak"
"wgEncodeUwHistoneH7esH3k04me3StdDiffa14dPkRep1.narrowPeak",1,0.204786271184025,0.351065626940694,0.338527677251769,0.0327180925905034,0.0543708442969287,0.0351999527277378,0.033037607666226,0.0417116959532174,0.00390275353868625,0.00365829720376263,0.00295938060317393,0.00470874694660506,0.00293635022008598,0.264777989321385
"wgEncodeUwHistoneH7esH3k04me3StdDiffa2dPkRep1.narrowPeak",0.204786271184025,1,0.212395286605385,0.221932348234653,0.0490189100054571,0.0666111015491352,0.0365793444029073,0.0397460976114661,0.0419815531382518,0.00146165456571142,0.00253259945938574,0.00393144306118237,0.00503964745109909,0.00499322769514886,0.22834561192457
"wgEncodeUwHistoneH7esH3k04me3StdDiffa5dPkRep1.narrowPeak",0.351065626940694,0.212395286605385,1,0.335040960638433,0.0384141107027751,0.0592356895051545,0.034035730429455,0.0347305655967203,0.0406337279488451,0.00257982284893758,0.00308477214995315,0.00293274093137274,0.00458799828214003,0.00323410606549512,0.300937013314857
"wgEncodeUwHistoneH7esH3k04me3StdDiffa9dPkRep1.narrowPeak",0.338527677251769,0.221932348234653,0.335040960638433,1,0.0379133385144729,0.0577800603383286,0.0350134839884461,0.0333535726418401,0.0425581289616161,0.00206333754478988,0.00287380366136008,0.00236675431361052,0.00377832098494468,0.00255769439731191,0.286670277681934
"wgEncodeUwHistoneH7esH3k27me3StdDiffa14dPkRep1.narrowPeak",0.0327180925905034,0.0490189100054571,0.0384141107027751,0.0379133385144729,1,0.153184491381469,0.154843621707582,0.192334890373076,0.132119442962316,0.000795651042028632,0.00157218927452554,0.000931269416167715,0.00822359146125421,0.00112988617078396,0.045374672675941
"wgEncodeUwHistoneH7esH3k27me3StdDiffa2dPkRep1.narrowPeak",0.0543708442969287,0.0666111015491352,0.0592356895051545,0.0577800603383286,0.153184491381469,1,0.137027880489275,0.161789900522399,0.151365212485915,0.000959237681512713,0.00263888030171881,0.001362786766283,0.00972084273219269,0.00091634214466647,0.0594855427349779
"wgEncodeUwHistoneH7esH3k27me3StdDiffa5dPkRep1.narrowPeak",0.0351999527277378,0.0365793444029073,0.034035730429455,0.0350134839884461,0.154843621707582,0.137027880489275,1,0.179578226929957,0.169949936761537,0.00119370082109638,0.00188835684764565,0.000954335458484357,0.00763322065572869,0.000955776489357563,0.0371927114858801
"wgEncodeUwHistoneH7esH3k27me3StdDiffa9dPkRep1.narrowPeak",0.033037607666226,0.0397460976114661,0.0347305655967203,0.0333535726418401,0.192334890373076,0.161789900522399,0.179578226929957,1,0.145890756060464,0.000966401918722305,0.0017285358298405,0.000992176121752899,0.00909190021965688,0.00110136486077672,0.0380228349479821
"wgEncodeUwHistoneH7esH3k27me3StdPkRep1.narrowPeak",0.0417116959532174,0.0419815531382518,0.0406337279488451,0.0425581289616161,0.132119442962316,0.151365212485915,0.169949936761537,0.145890756060464,1,0.00105497481641273,0.00215259902741882,0.00114088109206743,0.00783175537965684,0.000880716824151001,0.0434899098325462
"wgEncodeUwHistoneH7esH3k36me3StdDiffa14dPkRep1.narrowPeak",0.00390275353868625,0.00146165456571142,0.00257982284893758,0.00206333754478988,0.000795651042028632,0.000959237681512713,0.00119370082109638,0.000966401918722305,0.00105497481641273,1,0.0943152684946904,0.0531067385383654,0.100666162395339,0.0487855094637689,0.00127157991134393
"wgEncodeUwHistoneH7esH3k36me3StdDiffa2dPkRep1.narrowPeak",0.00365829720376263,0.00253259945938574,0.00308477214995315,0.00287380366136008,0.00157218927452554,0.00263888030171881,0.00188835684764565,0.0017285358298405,0.00215259902741882,0.0943152684946904,1,0.0805956325032952,0.124516224457022,0.0763301076748578,0.00197786613093798
"wgEncodeUwHistoneH7esH3k36me3StdDiffa5dPkRep1.narrowPeak",0.00295938060317393,0.00393144306118237,0.00293274093137274,0.00236675431361052,0.000931269416167715,0.001362786766283,0.000954335458484357,0.000992176121752899,0.00114088109206743,0.0531067385383654,0.0805956325032952,1,0.0803040731232133,0.124073922151384,0.00183774836535451
"wgEncodeUwHistoneH7esH3k36me3StdDiffa9dPkRep1.narrowPeak",0.00470874694660506,0.00503964745109909,0.00458799828214003,0.00377832098494468,0.00822359146125421,0.00972084273219269,0.00763322065572869,0.00909190021965688,0.00783175537965684,0.100666162395339,0.124516224457022,0.0803040731232133,1,0.0749578371371969,0.00418298790878069
"wgEncodeUwHistoneH7esH3k36me3StdPkRep1.narrowPeak",0.00293635022008598,0.00499322769514886,0.00323410606549512,0.00255769439731191,0.00112988617078396,0.00091634214466647,0.000955776489357563,0.00110136486077672,0.000880716824151001,0.0487855094637689,0.0763301076748578,0.124073922151384,0.0749578371371969,1,0.00308128701892926
"wgEncodeUwHistoneH7esH3k4me3StdPkRep1.narrowPeak",0.264777989321385,0.22834561192457,0.300937013314857,0.286670277681934,0.045374672675941,0.0594855427349779,0.0371927114858801,0.0380228349479821,0.0434899098325462,0.00127157991134393,0.00197786613093798,0.00183774836535451,0.00418298790878069,0.00308128701892926,1
