,infomap,walktrap,edge_betweenness,fast_greedy,label_prop,leading_eigen,louvain
H3k04me3StdDiffa14dPkRep1,1,1,1,1,1,1,1
H3k04me3StdDiffa5dPkRep1,1,1,1,1,1,1,1
H3k04me3StdDiffa9dPkRep1,1,1,1,1,1,1,1
H3k4me3StdPkRep1,1,1,1,2,1,1,1
