,infomap,walktrap,edge_betweenness,fast_greedy,label_prop,leading_eigen,louvain
Ezh239875Pk,3,1,1,2,1,1,2
H2azStdPk,1,2,2,1,2,2,1
H3k27acStdPk,1,2,2,1,2,2,1
H3k27me3StdPk,3,1,1,2,1,1,2
H3k36me3StdPk,2,3,3,3,3,3,3
H3k4me1StdPk,1,2,2,1,2,2,1
H3k4me2StdPk,1,2,2,1,2,2,1
H3k4me3StdPk,1,2,2,1,2,2,1
H3k79me2StdPk,2,3,3,3,3,3,3
H3k9acStdPk,1,2,2,1,2,2,1
H3k9me3StdPk,3,1,1,2,1,1,2
H4k20me1StdPk,2,3,3,3,3,3,3
tH2azStdPk,1,2,2,1,2,2,1
tH3k09me3Pk,3,1,1,2,1,1,2
tH3k27acStdPk,1,2,2,1,2,2,1
tH3k27me3Pk,3,1,1,2,1,1,2
tH3k36me3StdPk,2,3,3,3,3,3,3
tH3k4me1StdPk,1,2,2,1,2,2,1
tH3k4me2StdPk,1,2,2,1,2,2,1
tH3k4me3StdPk,1,2,2,1,2,2,1
tH3k79me2StdPk,2,3,3,3,3,3,3
tH3k9acStdPk,1,2,2,1,2,2,1
tH4k20me1StdPk,2,3,3,3,3,3,3
