"","wgEncodeBroadHistoneHsmmCtcfStdPk.broadPeak","wgEncodeBroadHistoneHsmmEzh239875Pk.broadPeak","wgEncodeBroadHistoneHsmmH2azStdPk.broadPeak","wgEncodeBroadHistoneHsmmH3k27acStdPk.broadPeak","wgEncodeBroadHistoneHsmmH3k27me3StdPk.broadPeak","wgEncodeBroadHistoneHsmmH3k36me3StdPk.broadPeak","wgEncodeBroadHistoneHsmmH3k4me1StdPk.broadPeak","wgEncodeBroadHistoneHsmmH3k4me2StdPk.broadPeak","wgEncodeBroadHistoneHsmmH3k4me3StdPk.broadPeak","wgEncodeBroadHistoneHsmmH3k79me2StdPk.broadPeak","wgEncodeBroadHistoneHsmmH3k9acStdPk.broadPeak","wgEncodeBroadHistoneHsmmH3k9me3StdPk.broadPeak","wgEncodeBroadHistoneHsmmH4k20me1StdPk.broadPeak","wgEncodeBroadHistoneHsmmtCtcfStdPk.broadPeak","wgEncodeBroadHistoneHsmmtEzh239875Pk.broadPeak","wgEncodeBroadHistoneHsmmtH2azStdPk.broadPeak","wgEncodeBroadHistoneHsmmtH3k09me3Pk.broadPeak","wgEncodeBroadHistoneHsmmtH3k27acStdPk.broadPeak","wgEncodeBroadHistoneHsmmtH3k27me3Pk.broadPeak","wgEncodeBroadHistoneHsmmtH3k36me3StdPk.broadPeak","wgEncodeBroadHistoneHsmmtH3k4me1StdPk.broadPeak","wgEncodeBroadHistoneHsmmtH3k4me2StdPk.broadPeak","wgEncodeBroadHistoneHsmmtH3k4me3StdPk.broadPeak","wgEncodeBroadHistoneHsmmtH3k79me2StdPk.broadPeak","wgEncodeBroadHistoneHsmmtH3k9acStdPk.broadPeak","wgEncodeBroadHistoneHsmmtH4k20me1StdPk.broadPeak"
"wgEncodeBroadHistoneHsmmCtcfStdPk.broadPeak",1,0.0415228101135116,0.0793594696488861,0.0971860637928011,0.0311541891664695,0.0457143428591246,0.0794835187648813,0.101810883934709,0.110898933121203,0.0551999602217665,0.105292199096885,0.0301836485315097,0.0441094341247948,0.232001690922102,0.0421281890184313,0.0850880796524907,0.0286608460570783,0.0839587566411181,0.0240596056534844,0.0449139725911582,0.0693646567111285,0.0959790326407497,0.0887657931821249,0.0523617347857768,0.0916921010992594,0.0544976336453717
"wgEncodeBroadHistoneHsmmEzh239875Pk.broadPeak",0.0415228101135116,1,0.198866255839607,0.100536510967752,0.274519394053896,0.288414831623881,0.196292277254102,0.146152105424421,0.0537047655478059,0.179186505043988,0.111269905611838,0.242054608994632,0.292759827060233,0.102197032161421,0.127114952728459,0.164594912026837,0.271713228361195,0.109140925353883,0.271727542702093,0.228834924831027,0.223591611716736,0.138181238585039,0.127135867477721,0.206151332701554,0.132703252461306,0.182719639805788
"wgEncodeBroadHistoneHsmmH2azStdPk.broadPeak",0.0793594696488861,0.198866255839607,1,0.22530589536452,0.0991160204861987,0.136739088434511,0.278964539942135,0.294602261327916,0.182195586459787,0.101118174940151,0.208936706131811,0.140220566201138,0.0990407232204433,0.144889474455934,0.0948246283054006,0.399149659686173,0.135297279131171,0.212210597962415,0.0834642079992148,0.0957861788222187,0.257354800097322,0.271312338829635,0.238087389020216,0.109977712164981,0.241463100124845,0.0971899714273411
"wgEncodeBroadHistoneHsmmH3k27acStdPk.broadPeak",0.0971860637928011,0.100536510967752,0.22530589536452,1,0.0289690966298262,0.149229291078974,0.323365061706929,0.412581344932655,0.289267559854077,0.179160794498622,0.371444231475158,0.0687082187314372,0.0933793833162626,0.157577779432484,0.0535072192143801,0.236261309737728,0.0510936591055334,0.437702424119701,0.0224861908398047,0.125192588846158,0.262762017776127,0.362092935148263,0.305350434890332,0.170227660521971,0.37153812141741,0.143561301715224
"wgEncodeBroadHistoneHsmmH3k27me3StdPk.broadPeak",0.0311541891664695,0.274519394053896,0.0991160204861987,0.0289690966298262,1,0.0592950193939661,0.0691910434287357,0.0552163078532493,0.0299632856755923,0.0350281608944178,0.0379955029149684,0.180487506816997,0.226906536756824,0.068850471788009,0.148616368109576,0.10348071660066,0.271715042879422,0.0417438506789487,0.532945186829939,0.064471097032885,0.101997798008348,0.0649017245935235,0.0649636294284596,0.0459698196705711,0.0669109763672278,0.0662796607189252
"wgEncodeBroadHistoneHsmmH3k36me3StdPk.broadPeak",0.0457143428591246,0.288414831623881,0.136739088434511,0.149229291078974,0.0592950193939661,1,0.250865676596019,0.188528463396628,0.0818769120338708,0.42098993945355,0.161155303374612,0.161438881051755,0.324452958843412,0.114812396133647,0.0640781506986955,0.122996604482999,0.112825563065757,0.156038696253851,0.0551914311585052,0.618137499724395,0.269685200559896,0.17907805994331,0.163787400480685,0.4617423562822,0.185487589509673,0.337582813399342
"wgEncodeBroadHistoneHsmmH3k4me1StdPk.broadPeak",0.0794835187648813,0.196292277254102,0.278964539942135,0.323365061706929,0.0691910434287357,0.250865676596019,1,0.406055708086321,0.167695682679492,0.249714703538795,0.274802337552519,0.132528067388756,0.177313111181146,0.174187107369586,0.0819472071306234,0.266504324533179,0.0994388790316359,0.323390664281946,0.0562251391162779,0.201798112102799,0.437919753014675,0.356059190266472,0.276145763885183,0.255413311417979,0.329557559194855,0.224999489652922
"wgEncodeBroadHistoneHsmmH3k4me2StdPk.broadPeak",0.101810883934709,0.146152105424421,0.294602261327916,0.412581344932655,0.0552163078532493,0.188528463396628,0.406055708086321,1,0.321371356860139,0.221948241337352,0.360507126193714,0.0920039223114351,0.133216206292727,0.174646178697452,0.07723336962183,0.295746274750566,0.0692825654896579,0.364120054872304,0.0424968813344939,0.153126163160634,0.334161279778179,0.472868806260156,0.357154924422733,0.218198890595053,0.373325703575108,0.185404299756242
"wgEncodeBroadHistoneHsmmH3k4me3StdPk.broadPeak",0.110898933121203,0.0537047655478059,0.182195586459787,0.289267559854077,0.0299632856755923,0.0818769120338708,0.167695682679492,0.321371356860139,1,0.130519869021071,0.286016719841307,0.0359196567650065,0.065232308657973,0.12638392481623,0.0510367538279639,0.206665197997152,0.0268418226962353,0.237115055256215,0.0211461238205013,0.074358978923313,0.137762484147749,0.319552190352326,0.324780901255543,0.121023664695832,0.255738661592023,0.0952822621273691
"wgEncodeBroadHistoneHsmmH3k79me2StdPk.broadPeak",0.0551999602217665,0.179186505043988,0.101118174940151,0.179160794498622,0.0350281608944178,0.42098993945355,0.249714703538795,0.221948241337352,0.130519869021071,1,0.196004070753092,0.0988283635264051,0.293471678340583,0.112971581338075,0.0507435696595154,0.0990522677356496,0.0587462571089701,0.173572675552028,0.0286433831687526,0.371514013260702,0.245381808994625,0.205294263766494,0.184339215375322,0.673426123739797,0.196706607067678,0.412118676296305
"wgEncodeBroadHistoneHsmmH3k9acStdPk.broadPeak",0.105292199096885,0.111269905611838,0.208936706131811,0.371444231475158,0.0379955029149684,0.161155303374612,0.274802337552519,0.360507126193714,0.286016719841307,0.196004070753092,1,0.0669310644722506,0.110051980001052,0.167628108905741,0.0580928155892333,0.216046212482762,0.0533831416894966,0.312487323450741,0.0295195927172598,0.13687569673237,0.233762135289614,0.32829037115316,0.297375407574853,0.189851059353724,0.325930037634468,0.156846520042607
"wgEncodeBroadHistoneHsmmH3k9me3StdPk.broadPeak",0.0301836485315097,0.242054608994632,0.140220566201138,0.0687082187314372,0.180487506816997,0.161438881051755,0.132528067388756,0.0920039223114351,0.0359196567650065,0.0988283635264051,0.0669310644722506,1,0.164379561938372,0.0785406914389611,0.0945284495350123,0.123878394251573,0.360824466141148,0.0759050556185256,0.174794654305023,0.137277121604079,0.155342491716856,0.0923712782791648,0.0949011879232761,0.11653184143476,0.0965961640648408,0.107840720839923
