,infomap,walktrap,edge_betweenness,fast_greedy,label_prop,leading_eigen,louvain
CtcfDex100nmPk,7,12,1,3,1,1,1
CtcfEtoh02Pk,7,12,1,3,1,1,1
H2azDex100nmPk,8,11,2,6,2,2,2
H2azEtoh02Pk,8,11,2,6,2,2,2
H3k04me1Dex100nmPk,2,5,3,9,3,3,3
H3k04me1Etoh02Pk,2,5,3,9,3,3,3
H3k04me2Dex100nmPk,2,5,3,7,3,10,3
H3k04me2Etoh02Pk,2,5,3,7,3,10,3
H3k04me3Dex100nmPk,2,5,3,7,3,10,3
H3k04me3Etoh02Pk,2,5,3,7,3,10,3
H3k09acEtoh02Pk,2,5,3,7,3,10,3
H3k27acDex100nmPk,2,5,3,7,3,10,3
H3k27acEtoh02Pk,2,5,3,7,3,10,3
H3k27me3Dex100nmPk,9,10,4,10,4,4,4
H3k27me3Etoh02Pk,9,10,4,10,4,4,4
H3k36me3Dex100nmPk,4,6,5,9,5,3,5
H3k36me3Etoh02Pk,4,6,5,9,5,3,5
H3k79me2Dex100nmPk,4,6,5,9,5,3,5
H3k79me2Etoh02Pk,4,6,5,9,5,3,5
H4k20me1Etoh02Pk,4,6,5,9,5,3,5
Atf3V0422111Etoh02PkRep1,1,1,6,1,6,5,10
Bcl3V0422111Etoh02PkRep1,1,1,7,2,6,5,10
Cebpbsc150V0422111PkRep1,10,2,8,1,6,5,10
Creb1sc240V0416102Dex100nmPkRep1,1,3,7,2,6,9,8
Ctcfsc5916Pcr1xDex100nmPkRep1,3,7,9,8,7,6,6
Ctcfsc5916Pcr1xEtoh02PkRep1,3,7,9,8,7,6,6
E2f6V0422111PkRep1,1,3,7,2,6,9,8
Elf1V0422111Etoh02PkRep1,11,4,10,1,6,5,10
Ets1V0422111Etoh02PkRep1,1,1,7,2,6,9,10
Fosl2V0422111Etoh02PkRep1,1,1,6,1,6,5,10
Foxa2V0416102Etoh02PkRep1,1,3,11,2,6,9,8
GabpV0422111Etoh02PkRep1,1,1,7,2,6,5,10
Gata3V0422111PkRep1,1,1,12,1,6,5,10
GrPcr1xDex50nmPkRep1,6,9,13,4,8,7,7
GrPcr1xDex5nmPkRep1,6,9,13,4,8,7,7
GrPcr2xDex100nmPkRep1,6,9,13,4,8,7,7
JundV0416102Etoh02PkRep1,1,1,6,1,6,5,10
MaxV0422111PkRep1,1,3,7,2,6,9,8
NrsfV0422111Etoh02PkRep1,1,1,7,2,6,9,10
P300V0422111Etoh02PkRep1,1,1,6,1,6,5,10
Pbx3V0422111PkRep1,1,1,6,2,6,5,10
Pol2Pcr2xDex100nmPkRep1,1,3,7,2,6,9,8
Pol2Pcr2xEtoh02PkRep1,1,3,7,2,6,9,8
Rad21V0422111PkRep1,3,7,9,8,7,6,6
Sin3ak20V0422111Etoh02PkRep1,1,1,7,2,6,9,10
Six5V0422111Etoh02PkRep1,11,4,10,1,6,5,10
Sp1V0422111Etoh02PkRep1,1,3,7,2,6,9,8
Taf1V0422111Etoh02PkRep1,1,3,7,2,6,9,8
Tcf12V0422111Etoh02PkRep1,1,1,6,1,6,5,10
Tead4sc101184V0422111PkRep1,1,1,14,1,6,5,10
Usf1Pcr1xDex100nmPkRep1,5,8,15,5,9,8,9
Usf1Pcr1xEtoh02PkRep1,5,8,15,5,9,8,9
Usf1V0422111Etoh02PkRep1,5,8,15,5,9,8,9
Yy1cV0422111Etoh02PkRep1,1,3,7,2,6,9,8
Zbtb33V0422111Etoh02PkRep1,1,1,6,1,6,5,10
CebpbIggrabPk,10,2,8,1,6,5,10
CtcfbIggrabPk,3,7,9,8,7,6,6
MaxIggrabPk,1,3,7,2,6,9,8
Rad21IggrabPk,3,7,9,8,7,6,6
CtcfStdPkRep1,3,7,9,8,7,6,6
