"","wgEncodeBroadHistoneA549CtcfDex100nmPk.broadPeak","wgEncodeBroadHistoneA549CtcfEtoh02Pk.broadPeak","wgEncodeBroadHistoneA549H2azDex100nmPk.broadPeak","wgEncodeBroadHistoneA549H2azEtoh02Pk.broadPeak","wgEncodeBroadHistoneA549H3k04me1Dex100nmPk.broadPeak","wgEncodeBroadHistoneA549H3k04me1Etoh02Pk.broadPeak","wgEncodeBroadHistoneA549H3k04me2Dex100nmPk.broadPeak","wgEncodeBroadHistoneA549H3k04me2Etoh02Pk.broadPeak","wgEncodeBroadHistoneA549H3k04me3Dex100nmPk.broadPeak","wgEncodeBroadHistoneA549H3k04me3Etoh02Pk.broadPeak","wgEncodeBroadHistoneA549H3k09acEtoh02Pk.broadPeak","wgEncodeBroadHistoneA549H3k09me3Etoh02Pk.broadPeak","wgEncodeBroadHistoneA549H3k27acDex100nmPk.broadPeak","wgEncodeBroadHistoneA549H3k27acEtoh02Pk.broadPeak","wgEncodeBroadHistoneA549H3k27me3Dex100nmPk.broadPeak","wgEncodeBroadHistoneA549H3k27me3Etoh02Pk.broadPeak","wgEncodeBroadHistoneA549H3k36me3Dex100nmPk.broadPeak","wgEncodeBroadHistoneA549H3k36me3Etoh02Pk.broadPeak","wgEncodeBroadHistoneA549H3k79me2Dex100nmPk.broadPeak","wgEncodeBroadHistoneA549H3k79me2Etoh02Pk.broadPeak","wgEncodeBroadHistoneA549H4k20me1Etoh02Pk.broadPeak","wgEncodeHaibTfbsA549Atf3V0422111Etoh02PkRep1.broadPeak","wgEncodeHaibTfbsA549Bcl3V0422111Etoh02PkRep1.broadPeak","wgEncodeHaibTfbsA549Cebpbsc150V0422111PkRep1.broadPeak","wgEncodeHaibTfbsA549Creb1sc240V0416102Dex100nmPkRep1.broadPeak","wgEncodeHaibTfbsA549Ctcfsc5916Pcr1xDex100nmPkRep1.broadPeak","wgEncodeHaibTfbsA549Ctcfsc5916Pcr1xEtoh02PkRep1.broadPeak","wgEncodeHaibTfbsA549E2f6V0422111PkRep1.broadPeak","wgEncodeHaibTfbsA549Elf1V0422111Etoh02PkRep1.broadPeak","wgEncodeHaibTfbsA549Ets1V0422111Etoh02PkRep1.broadPeak","wgEncodeHaibTfbsA549Fosl2V0422111Etoh02PkRep1.broadPeak","wgEncodeHaibTfbsA549Foxa1V0416102Dex100nmPkRep1.broadPeak","wgEncodeHaibTfbsA549Foxa2V0416102Etoh02PkRep1.broadPeak","wgEncodeHaibTfbsA549GabpV0422111Etoh02PkRep1.broadPeak","wgEncodeHaibTfbsA549Gata3V0422111PkRep1.broadPeak","wgEncodeHaibTfbsA549GrPcr1xDex500pmPkRep1.broadPeak","wgEncodeHaibTfbsA549GrPcr1xDex50nmPkRep1.broadPeak","wgEncodeHaibTfbsA549GrPcr1xDex5nmPkRep1.broadPeak","wgEncodeHaibTfbsA549GrPcr2xDex100nmPkRep1.broadPeak","wgEncodeHaibTfbsA549JundV0416102Etoh02PkRep1.broadPeak","wgEncodeHaibTfbsA549MaxV0422111PkRep1.broadPeak","wgEncodeHaibTfbsA549NrsfV0422111Etoh02PkRep1.broadPeak","wgEncodeHaibTfbsA549P300V0422111Etoh02PkRep1.broadPeak","wgEncodeHaibTfbsA549Pbx3V0422111PkRep1.broadPeak","wgEncodeHaibTfbsA549Pol2Pcr2xDex100nmPkRep1.broadPeak","wgEncodeHaibTfbsA549Pol2Pcr2xEtoh02PkRep1.broadPeak","wgEncodeHaibTfbsA549Rad21V0422111PkRep1.broadPeak","wgEncodeHaibTfbsA549Sin3ak20V0422111Etoh02PkRep1.broadPeak","wgEncodeHaibTfbsA549Six5V0422111Etoh02PkRep1.broadPeak","wgEncodeHaibTfbsA549Sp1V0422111Etoh02PkRep1.broadPeak","wgEncodeHaibTfbsA549Taf1V0422111Etoh02PkRep1.broadPeak","wgEncodeHaibTfbsA549Tcf12V0422111Etoh02PkRep1.broadPeak","wgEncodeHaibTfbsA549Tead4sc101184V0422111PkRep1.broadPeak","wgEncodeHaibTfbsA549Usf1Pcr1xDex100nmPkRep1.broadPeak","wgEncodeHaibTfbsA549Usf1Pcr1xEtoh02PkRep1.broadPeak","wgEncodeHaibTfbsA549Usf1V0422111Etoh02PkRep1.broadPeak","wgEncodeHaibTfbsA549Yy1cV0422111Etoh02PkRep1.broadPeak","wgEncodeHaibTfbsA549Zbtb33V0422111Etoh02PkRep1.broadPeak","wgEncodeSydhTfbsA549Bhlhe40IggrabPk.narrowPeak","wgEncodeSydhTfbsA549CebpbIggrabPk.narrowPeak","wgEncodeSydhTfbsA549CmycIggrabPk.narrowPeak","wgEncodeSydhTfbsA549CtcfbIggrabPk.narrowPeak","wgEncodeSydhTfbsA549MaxIggrabPk.narrowPeak","wgEncodeSydhTfbsA549Pol2s2IggrabPk.narrowPeak","wgEncodeSydhTfbsA549Rad21IggrabPk.narrowPeak","wgEncodeUwHistoneA549H3k04me3StdPkRep1.narrowPeak","wgEncodeUwTfbsA549CtcfStdPkRep1.narrowPeak"
"wgEncodeBroadHistoneA549CtcfDex100nmPk.broadPeak",1,0.305700341959428,0.102558134229585,0.0910998992499971,0.13448287073057,0.134694068219037,0.135187591806468,0.147086485382218,0.131079520833952,0.139687436479856,0.138877668821294,0.0600155115100252,0.16112673047086,0.132151980817421,0.0479090863512184,0.0515072866132597,0.108905370296116,0.107778981702729,0.106810538505215,0.108882120956409,0.102150111569785,0.0121228790479113,0.0279686635743439,0.0242860869360747,0.0358436040887867,0.0715148507670366,0.0777852244811571,0.0287746527384529,0.00697110342588432,0.019609642502347,0.0139785688690769,0.0016281717142175,0.0253140870834491,0.0186499771193888,0.00625897443210318,0.00127968615476335,0.0134346069075846,0.00407079190176286,0.00948080248884752,0.0145618245468567,0.0729041261745985,0.0190220080322813,0.0229004465837974,0.0126889990517886,0.0357004720088697,0.0319599012648637,0.109539176213331,0.0231976903777365,0.00688498936190816,0.0481998310874421,0.0212006424412273,0.015719375275284,0.0101958750893303,0.0139429773058848,0.00880879625768731,0.00585384061214274,0.02666750137459,0.0105933125559902,0.00451488107472353,0.025890715524606,0.0161485027424889,0.16283995421308,0.0279262144376685,0.0342852413967336,0.0564385370385387,0.0193845318763625,0.0414825502846951
"wgEncodeBroadHistoneA549CtcfEtoh02Pk.broadPeak",0.305700341959428,1,0.0897691497552122,0.0814690096887668,0.12997391250004,0.13001325069268,0.163913204481296,0.170709711618887,0.168210418804928,0.170858948073193,0.18216975766562,0.0375160511084734,0.175445982988138,0.166847471569926,0.0341770428859799,0.03721516863559,0.0891515972467847,0.0880363451620082,0.0998001218879055,0.0970612204013259,0.0798802617772467,0.0210481741368886,0.0487663867605398,0.0372983724466675,0.0593187924555107,0.103045932127323,0.111253806219714,0.0495886754038737,0.0125066298299632,0.0349424314974822,0.0229931624578884,0.00191411126569683,0.0394006355325646,0.0328555566730305,0.0106715170526278,0.00233537694909031,0.0202378251381867,0.00651952512025349,0.01545309308567,0.0235314456997158,0.118290950233025,0.0329835450014478,0.0384127855027258,0.023150616661923,0.0614482808543252,0.0561674673143716,0.160574891138692,0.0402709843891701,0.0129346872537715,0.0771521193198987,0.0373025038397471,0.0273949790255264,0.0175578835596068,0.0228824366915148,0.0149062229522253,0.0100078871600098,0.0439631550445636,0.0190329462953383,0.00780184537888365,0.0351552286364964,0.0267628776495379,0.242711407457412,0.0479322980149297,0.0517217195208556,0.0814927259626529,0.0321818141532183,0.0608716629161519
"wgEncodeBroadHistoneA549H2azDex100nmPk.broadPeak",0.102558134229585,0.0897691497552122,1,0.505554680725358,0.207560884885132,0.218956888644443,0.187115213079909,0.203302732379646,0.164894316541614,0.191620542459626,0.162339619315737,0.186607304229226,0.159572204158115,0.161930101008088,0.158160722615048,0.168287509785194,0.0978533791518379,0.110905253667497,0.0718124994029363,0.0752143302729231,0.112099314370832,0.00881560030835563,0.0177177242274536,0.0217356410789129,0.0256039910692751,0.0121024962916251,0.0134404311501244,0.0233589969829746,0.00547527654386848,0.0145249533771259,0.0134638315966993,0.00154852580996576,0.0213616388849924,0.0177629268924699,0.0064583610396746,0.000968096161837144,0.012507020851466,0.00393922737768531,0.00772184185486449,0.0110360674850393,0.0648547744850969,0.0123196781905764,0.0227843071202785,0.00780661750862723,0.0254944133739457,0.0225805768736084,0.0222682341709314,0.0147290368646108,0.00616044760221212,0.0445034957401914,0.0172119586939801,0.011513026913081,0.00847924793446854,0.0103943559993913,0.00722273022002101,0.00475378415109854,0.0182809036439847,0.00754873677368301,0.00331301825377124,0.0240927339203655,0.0114266392589339,0.0327277994668769,0.0213792611610157,0.0072022061857737,0.0118142876852738,0.0171738352349138,0.00716792335964255
"wgEncodeBroadHistoneA549H2azEtoh02Pk.broadPeak",0.0910998992499971,0.0814690096887668,0.505554680725358,1,0.198958398160031,0.2106109526338,0.159329454014492,0.177716672563973,0.140139991288621,0.166875784312851,0.137976836232326,0.214436818437084,0.137700400783349,0.143724270114484,0.194941139722663,0.207720308165043,0.0985060094195527,0.111679743676778,0.0672743964084452,0.0706096607912964,0.125342204423071,0.00741768611779026,0.0149538191110489,0.0186681753198842,0.0207019003758602,0.0101072950037783,0.011182396111479,0.0192738162512947,0.00457362687669098,0.0120217565151706,0.0113744815057056,0.00138067744623331,0.0179823940419643,0.0148012935540724,0.00558357946553968,0.000856931589777464,0.010697894931664,0.00343099582887941,0.00639603744501419,0.00926970467478869,0.0531512916875212,0.0103635399774607,0.0194370258061905,0.00626946965971169,0.0204398380889106,0.0180538055883162,0.0188864289962907,0.0122198740147523,0.00514176317548325,0.0370570723451587,0.0141047798994673,0.00962980857998376,0.00735645767950492,0.00864687302485465,0.00592988897427793,0.00392117681315918,0.0149145686617401,0.00635429494458969,0.00272248764455155,0.0215174827810206,0.00912164951664183,0.0275745767960058,0.0176259899632411,0.00632307332292889,0.00989376252056281,0.0139352229382007,0.00607869187613413
"wgEncodeBroadHistoneA549H3k04me1Dex100nmPk.broadPeak",0.13448287073057,0.12997391250004,0.207560884885132,0.198958398160031,1,0.610663585771985,0.327204576572564,0.364339270975425,0.240542459288246,0.296589896372415,0.271775624016606,0.0978773558573155,0.282225968280171,0.309991683939366,0.0465868494560444,0.0537632554512117,0.297647932370505,0.309190537958885,0.332829535599327,0.337886281184218,0.218120622238659,0.00880200120439317,0.0254051089567517,0.0312348047334591,0.0190994693957261,0.0132782563179379,0.014831573383755,0.0163131752993561,0.00335586085795305,0.0110751474952087,0.0190355257592513,0.00298050967415298,0.0254242070587151,0.0142599917767048,0.00939181232335106,0.00148368854404112,0.0201420604231487,0.00635436860992867,0.0104695383814289,0.0141699972831844,0.0631664548756355,0.0104922820689853,0.0310726454811449,0.00854089412508698,0.021957306225862,0.0192010708026213,0.0257320813874611,0.0126725066843718,0.00363021588703359,0.0476106516192645,0.00987937417766186,0.0123582281225318,0.0105639992963828,0.0103546083550357,0.0063954176988072,0.00404284464661756,0.0129931274267152,0.00737615607924525,0.00291863087226021,0.0321455756851731,0.0084793638615655,0.0366193934527563,0.0164028809737899,0.0388958370739597,0.0135033025134844,0.014447410100781,0.00775844922487534
"wgEncodeBroadHistoneA549H3k04me1Etoh02Pk.broadPeak",0.134694068219037,0.13001325069268,0.218956888644443,0.2106109526338,0.610663585771985,1,0.32417370313982,0.363616509845739,0.237024748406979,0.294576571183923,0.266009615333516,0.102122514386276,0.272916077934602,0.301732926256708,0.0501490390817608,0.0577701732507147,0.307891068815807,0.323268788735317,0.33883255692353,0.345970831160379,0.231803377273823,0.00823703914080669,0.0241650978088114,0.0295685459354194,0.0192175443698487,0.0141142301147562,0.0157346294404331,0.0166882836100711,0.00332789724701589,0.0107802201134124,0.0177629236666746,0.00270962267364425,0.0244736540501839,0.013856091933126,0.00878802822005678,0.00138436175809829,0.0185800299383236,0.00580122286840848,0.00976746779505292,0.0132911766360117,0.0622768531809157,0.0103159273815287,0.0288980360871708,0.00835630238795066,0.0224484598202508,0.0195255560518382,0.0264535145137744,0.0124204888806931,0.00354414611001817,0.0456475080511505,0.00984756776018637,0.0117025868511937,0.00973572392429755,0.00997438217845659,0.00630147170446505,0.0040532962939875,0.0128453423707053,0.00693843134256692,0.00287034620938989,0.0312349028685904,0.0086347196790787,0.0384227596345994,0.0162785950628783,0.0381873854502315,0.0139767617011488,0.0146415363351883,0.00825571127951917
"wgEncodeBroadHistoneA549H3k04me2Dex100nmPk.broadPeak",0.135187591806468,0.163913204481296,0.187115213079909,0.159329454014492,0.327204576572564,0.32417370313982,1,0.612671862592159,0.540134209325525,0.566300975255982,0.525738675403888,0.0491930523822567,0.473822713892632,0.470099898568744,0.0317051128774736,0.0348446761653749,0.159611908605712,0.160440200753224,0.226756257012275,0.218503546108712,0.117344294580015,0.0245673664384247,0.0575247729319884,0.0642829342868344,0.0679320151990159,0.0245124224575085,0.0274386160828727,0.0600325038724637,0.0138729336126843,0.0397243110860212,0.0417314756312901,0.00545224581104155,0.0586480318152328,0.0470551386645217,0.0203012462240857,0.00303693044780095,0.0381567227570056,0.012748059595785,0.023401652921281,0.0326094214188088,0.180277939610323,0.0337779552184222,0.0694141015065064,0.0238771827297707,0.0732387719997427,0.064839605606209,0.0462410003799227,0.0416550305869104,0.0156430734230403,0.126554878349498,0.0436043333529218,0.0333507708982304,0.0237897021690431,0.0280020170152503,0.0183491897649534,0.0115502003661718,0.0465625675867703,0.0212419112058163,0.00883722876636701,0.0547982880720514,0.0299800583488866,0.0642950071667512,0.0558592571308089,0.0493206373532654,0.0259760197775435,0.0491555750148683,0.0143740203302164
"wgEncodeBroadHistoneA549H3k04me2Etoh02Pk.broadPeak",0.147086485382218,0.170709711618887,0.203302732379646,0.177716672563973,0.364339270975425,0.363616509845739,0.612671862592159,1,0.482864093244713,0.533398175511843,0.481326460183831,0.0600956824905507,0.439025792120498,0.446098105533839,0.042495828917848,0.0474110395293121,0.184567073194845,0.186327265909336,0.243389484553937,0.237085244727933,0.139413374397061,0.020487408000482,0.0489638875850113,0.0545943375738374,0.057341274504947,0.023375841935165,0.0262273202541036,0.0500502113607056,0.0116968896499233,0.0331695407271306,0.0350662183768604,0.00414296170882399,0.0504856658601107,0.0393037218458266,0.0167611953450265,0.00250404295425129,0.0310902510661516,0.0102107178638797,0.0191346452298549,0.0273885231890684,0.152311429551731,0.0283749292762369,0.0576315431406485,0.0203474784087214,0.0627425152525862,0.0554582329039299,0.0430471256803161,0.0348306435799612,0.0131435359137766,0.106193409690455,0.0363642229459035,0.0277064414085537,0.0200851851480158,0.023634410949241,0.0157716113849603,0.0099620929401227,0.0393122000257231,0.0178633754362861,0.00741238155929107,0.0485016571713783,0.0251966244806503,0.0611498489034616,0.0467283040952578,0.0469712906566652,0.0239465708031861,0.0407668226392246,0.0136253492491432
"wgEncodeBroadHistoneA549H3k04me3Dex100nmPk.broadPeak",0.131079520833952,0.168210418804928,0.164894316541614,0.140139991288621,0.240542459288246,0.237024748406979,0.540134209325525,0.482864093244713,1,0.572456060295137,0.541652531249452,0.0430431377761109,0.479892114247161,0.445876191384421,0.025210537318314,0.0284872738188253,0.129860221627714,0.128813751373276,0.186083430211802,0.177215381209117,0.0905132934039121,0.032044687956268,0.0723610426401675,0.074461985189,0.0884019469584564,0.0236923798453024,0.0261949731485384,0.079395777309569,0.0184431266513069,0.0530024776858599,0.0494443328636081,0.00539019301825339,0.06896825836258,0.0620755714559786,0.024895788313779,0.00376517750394342,0.0421762113339321,0.0147606177410187,0.0282483579326853,0.0418617589632267,0.226336455735426,0.0440790801491838,0.0857510281430756,0.0310545749347474,0.0968759632272395,0.08606372314395,0.0467052331242412,0.0550431030322068,0.0211966099883538,0.158025818452553,0.0596109398109225,0.0433751496065326,0.0296893792976662,0.0348714988658427,0.0230021210684301,0.0144474604007697,0.0618285910459415,0.0279782025355581,0.0114084056767773,0.0587220492130538,0.0396053176692473,0.0638165736792488,0.0732510557197543,0.0517867439196788,0.0262355625425923,0.0660969855187784,0.0142444922239057
"wgEncodeBroadHistoneA549H3k04me3Etoh02Pk.broadPeak",0.139687436479856,0.170858948073193,0.191620542459626,0.166875784312851,0.296589896372415,0.294576571183923,0.566300975255982,0.533398175511843,0.572456060295137,1,0.533712951330095,0.0639820979025099,0.472830882312766,0.477577656039136,0.0316790513413117,0.03619865694709,0.164357315262719,0.16457449299304,0.210508185991064,0.203016000556775,0.108685247543847,0.025365864682308,0.0586676548466715,0.0628050337084525,0.0702962596749484,0.0218062074970785,0.024130086872913,0.0624790440935295,0.014522094119797,0.0416329446220479,0.0411777436473836,0.00451509784840132,0.0585305888024436,0.0489964402223231,0.0202485284844255,0.00313281444680414,0.0354219807591405,0.012017644999206,0.0228025538275414,0.0342856319496988,0.184780348035468,0.0348545867968634,0.0699607012549284,0.0248487789408009,0.0773736339624246,0.0686694873822043,0.041748159999914,0.04346133710834,0.0165812643380574,0.129261012458786,0.0462432580312711,0.0345543862254695,0.0242500495966785,0.0284640234981876,0.0188865566125297,0.0119148075659143,0.0490329278927126,0.0222189983032684,0.00909834292226806,0.0527646564490787,0.0313036647810983,0.0586256190341382,0.0580117284847729,0.0482670749441035,0.0233098895382609,0.0514605644889743,0.0129714521086402
