"filename","size"
"wgEncodeBroadHistoneA549CtcfDex100nmPk.broadPeak.csv",167512308
"wgEncodeBroadHistoneA549CtcfEtoh02Pk.broadPeak.csv",118250442
"wgEncodeBroadHistoneA549H2azDex100nmPk.broadPeak.csv",503221279
"wgEncodeBroadHistoneA549H2azEtoh02Pk.broadPeak.csv",582871997
"wgEncodeBroadHistoneA549H3k04me1Dex100nmPk.broadPeak.csv",420144715
"wgEncodeBroadHistoneA549H3k04me1Etoh02Pk.broadPeak.csv",459617506
"wgEncodeBroadHistoneA549H3k04me2Dex100nmPk.broadPeak.csv",203223052
"wgEncodeBroadHistoneA549H3k04me2Etoh02Pk.broadPeak.csv",247048672
"wgEncodeBroadHistoneA549H3k04me3Dex100nmPk.broadPeak.csv",152117911
"wgEncodeBroadHistoneA549H3k04me3Etoh02Pk.broadPeak.csv",196303868
"wgEncodeBroadHistoneA549H3k09acEtoh02Pk.broadPeak.csv",157389556
"wgEncodeBroadHistoneA549H3k09me3Etoh02Pk.broadPeak.csv",942248010
"wgEncodeBroadHistoneA549H3k27acDex100nmPk.broadPeak.csv",174341940
"wgEncodeBroadHistoneA549H3k27acEtoh02Pk.broadPeak.csv",171628214
"wgEncodeBroadHistoneA549H3k27me3Dex100nmPk.broadPeak.csv",861406113
"wgEncodeBroadHistoneA549H3k27me3Etoh02Pk.broadPeak.csv",949078428
"wgEncodeBroadHistoneA549H3k36me3Dex100nmPk.broadPeak.csv",600651134
"wgEncodeBroadHistoneA549H3k36me3Etoh02Pk.broadPeak.csv",705463971
"wgEncodeBroadHistoneA549H3k79me2Dex100nmPk.broadPeak.csv",378865229
"wgEncodeBroadHistoneA549H3k79me2Etoh02Pk.broadPeak.csv",430589489
"wgEncodeBroadHistoneA549H4k20me1Etoh02Pk.broadPeak.csv",753783038
"wgEncodeHaibTfbsA549Atf3V0422111Etoh02PkRep1.broadPeak.csv",5150999
"wgEncodeHaibTfbsA549Bcl3V0422111Etoh02PkRep1.broadPeak.csv",13914086
"wgEncodeHaibTfbsA549Cebpbsc150V0422111PkRep1.broadPeak.csv",16792649
"wgEncodeHaibTfbsA549Creb1sc240V0416102Dex100nmPkRep1.broadPeak.csv",14892015
"wgEncodeHaibTfbsA549Ctcfsc5916Pcr1xDex100nmPkRep1.broadPeak.csv",13242009
"wgEncodeHaibTfbsA549Ctcfsc5916Pcr1xEtoh02PkRep1.broadPeak.csv",14209876
"wgEncodeHaibTfbsA549E2f6V0422111PkRep1.broadPeak.csv",12516455
"wgEncodeHaibTfbsA549Elf1V0422111Etoh02PkRep1.broadPeak.csv",2990028
"wgEncodeHaibTfbsA549Ets1V0422111Etoh02PkRep1.broadPeak.csv",8393528
"wgEncodeHaibTfbsA549Fosl2V0422111Etoh02PkRep1.broadPeak.csv",8972917
"wgEncodeHaibTfbsA549Foxa1V0416102Dex100nmPkRep1.broadPeak.csv",1471858
"wgEncodeHaibTfbsA549Foxa2V0416102Etoh02PkRep1.broadPeak.csv",20076145
"wgEncodeHaibTfbsA549GabpV0422111Etoh02PkRep1.broadPeak.csv",9936408
"wgEncodeHaibTfbsA549Gata3V0422111PkRep1.broadPeak.csv",4312379
"wgEncodeHaibTfbsA549GrPcr1xDex500pmPkRep1.broadPeak.csv",1129678
"wgEncodeHaibTfbsA549GrPcr1xDex50nmPkRep1.broadPeak.csv",11120744
"wgEncodeHaibTfbsA549GrPcr1xDex5nmPkRep1.broadPeak.csv",3009876
