"","bed1","bed2","jaccard","distance"
"1","wgEncodeBroadHistoneA549CtcfDex100nmPk.broadPeak","wgEncodeBroadHistoneA549CtcfDex100nmPk.broadPeak",1,"0"
"2","wgEncodeBroadHistoneA549CtcfDex100nmPk.broadPeak","wgEncodeBroadHistoneA549CtcfEtoh02Pk.broadPeak",0.305700341959428,"0.694299658040572"
"3","wgEncodeBroadHistoneA549CtcfDex100nmPk.broadPeak","wgEncodeBroadHistoneA549H2azDex100nmPk.broadPeak",0.102558134229585,"0.897441865770415"
"4","wgEncodeBroadHistoneA549CtcfDex100nmPk.broadPeak","wgEncodeBroadHistoneA549H2azEtoh02Pk.broadPeak",0.0910998992499971,"0.908900100750003"
"5","wgEncodeBroadHistoneA549CtcfDex100nmPk.broadPeak","wgEncodeBroadHistoneA549H3k04me1Dex100nmPk.broadPeak",0.13448287073057,"0.86551712926943"
"6","wgEncodeBroadHistoneA549CtcfDex100nmPk.broadPeak","wgEncodeBroadHistoneA549H3k04me1Etoh02Pk.broadPeak",0.134694068219037,"0.865305931780963"
"7","wgEncodeBroadHistoneA549CtcfDex100nmPk.broadPeak","wgEncodeBroadHistoneA549H3k04me2Dex100nmPk.broadPeak",0.135187591806468,"0.864812408193532"
"8","wgEncodeBroadHistoneA549CtcfDex100nmPk.broadPeak","wgEncodeBroadHistoneA549H3k04me2Etoh02Pk.broadPeak",0.147086485382218,"0.852913514617782"
"9","wgEncodeBroadHistoneA549CtcfDex100nmPk.broadPeak","wgEncodeBroadHistoneA549H3k04me3Dex100nmPk.broadPeak",0.131079520833952,"0.868920479166048"
"10","wgEncodeBroadHistoneA549CtcfDex100nmPk.broadPeak","wgEncodeBroadHistoneA549H3k04me3Etoh02Pk.broadPeak",0.139687436479856,"0.860312563520144"
"11","wgEncodeBroadHistoneA549CtcfDex100nmPk.broadPeak","wgEncodeBroadHistoneA549H3k09acEtoh02Pk.broadPeak",0.138877668821294,"0.861122331178706"
"12","wgEncodeBroadHistoneA549CtcfDex100nmPk.broadPeak","wgEncodeBroadHistoneA549H3k09me3Etoh02Pk.broadPeak",0.0600155115100252,"0.939984488489975"
"13","wgEncodeBroadHistoneA549CtcfDex100nmPk.broadPeak","wgEncodeBroadHistoneA549H3k27acDex100nmPk.broadPeak",0.16112673047086,"0.83887326952914"
"14","wgEncodeBroadHistoneA549CtcfDex100nmPk.broadPeak","wgEncodeBroadHistoneA549H3k27acEtoh02Pk.broadPeak",0.132151980817421,"0.867848019182579"
"15","wgEncodeBroadHistoneA549CtcfDex100nmPk.broadPeak","wgEncodeBroadHistoneA549H3k27me3Dex100nmPk.broadPeak",0.0479090863512184,"0.952090913648782"
"16","wgEncodeBroadHistoneA549CtcfDex100nmPk.broadPeak","wgEncodeBroadHistoneA549H3k27me3Etoh02Pk.broadPeak",0.0515072866132597,"0.94849271338674"
"17","wgEncodeBroadHistoneA549CtcfDex100nmPk.broadPeak","wgEncodeBroadHistoneA549H3k36me3Dex100nmPk.broadPeak",0.108905370296116,"0.891094629703884"
"18","wgEncodeBroadHistoneA549CtcfDex100nmPk.broadPeak","wgEncodeBroadHistoneA549H3k36me3Etoh02Pk.broadPeak",0.107778981702729,"0.892221018297271"
"19","wgEncodeBroadHistoneA549CtcfDex100nmPk.broadPeak","wgEncodeBroadHistoneA549H3k79me2Dex100nmPk.broadPeak",0.106810538505215,"0.893189461494785"
