,infomap,walktrap,edge_betweenness,fast_greedy,label_prop,leading_eigen,louvain
Ezh239875Pk,4,5,1,9,1,1,1
H2azPk,4,5,1,9,1,1,1
H3k04me1StdPk,2,6,2,6,2,2,2
H3k09me3Pk,4,5,1,9,1,1,1
H3k27acStdPk,2,6,2,6,2,2,2
H3k27me3StdPk,4,5,1,9,1,1,1
H3k36me3StdPk,9,11,3,4,3,3,3
H3k4me2StdPk,2,6,2,6,2,2,2
H3k4me3StdPk,2,6,2,6,2,2,2
H3k79me2StdPk,9,11,3,4,3,3,3
H3k9acStdPk,2,6,2,6,2,2,2
GabpPcr1xPkRep1,8,8,4,3,4,4,4
Pol2Pcr1xPkRep1,1,1,5,1,5,5,10
Taf1Pcr1xPkRep1,8,8,4,3,4,4,4
Ap2alphaStdPk,7,7,6,10,6,6,5
Ap2gammaStdPk,7,7,6,10,6,6,5
Bdp1StdPk,6,10,7,5,7,7,6
Brca1a300IggrabPk,1,1,5,2,5,10,11
Brf1StdPk,6,10,7,5,7,7,6
CebpbIggrabPk,1,1,5,2,5,9,11
CfosStdPk,3,2,8,8,8,9,7
Chd2IggrabPk,1,1,5,2,5,5,11
CjunIggrabPk,3,2,8,8,8,9,7
CmycStdPk,11,4,9,1,5,11,8
Corestsc30189IggrabPk,1,1,5,2,5,10,11
E2f1StdPk,10,3,10,1,9,12,10
Elk112771IggrabPk,1,1,5,2,5,10,11
Elk4UcdPk,1,1,11,2,5,10,11
Gtf2f1ab28179IggrabPk,1,1,5,2,5,10,11
Hae2f1StdPk,10,3,10,1,9,12,10
Hcfc1nb10068209IggrabPk,1,1,5,1,5,5,10
Ini1IggmusPk,1,1,5,1,5,5,10
JundIggrabPk,3,2,8,8,8,9,7
MafkIggrabPk,1,1,5,2,5,10,11
MaxIggrabPk,1,1,5,2,5,5,11
MaxStdPk,11,4,12,1,5,11,8
Mazab85725IggrabPk,1,1,5,2,5,5,10
Mxi1af4185IggrabPk,1,1,5,1,5,5,11
NfyaIggrabPk,5,9,13,7,10,8,9
NfybIggrabPk,5,9,13,7,10,8,9
P300sc584sc584IggrabPk,3,2,8,8,8,9,7
Pol2s2IggrabPk,1,1,5,1,5,5,10
Pol2StdPk,1,1,5,1,5,5,10
Rad21IggrabPk,1,1,5,2,5,10,11
Rfx5200401194IggrabPk,1,1,5,2,5,10,11
Smc3ab9263IggrabPk,1,1,5,2,5,10,11
Stat3IggrabPk,3,2,8,8,8,9,7
TbpIggrabPk,1,1,5,2,5,10,11
Tcf7l2c9b92565UcdPk,1,1,5,2,5,10,11
Usf2IggmusPk,1,1,5,2,5,10,11
Zkscan1hpa006672IggrabPk,1,1,5,2,5,10,11
Znf143IggrabPk,1,1,5,2,5,10,11
