"","wgEncodeBroadHistoneHelas3CtcfStdPk.broadPeak","wgEncodeBroadHistoneHelas3Ezh239875Pk.broadPeak","wgEncodeBroadHistoneHelas3H2azPk.broadPeak","wgEncodeBroadHistoneHelas3H3k04me1StdPk.broadPeak","wgEncodeBroadHistoneHelas3H3k09me3Pk.broadPeak","wgEncodeBroadHistoneHelas3H3k27acStdPk.broadPeak","wgEncodeBroadHistoneHelas3H3k27me3StdPk.broadPeak","wgEncodeBroadHistoneHelas3H3k36me3StdPk.broadPeak","wgEncodeBroadHistoneHelas3H3k4me2StdPk.broadPeak","wgEncodeBroadHistoneHelas3H3k4me3StdPk.broadPeak","wgEncodeBroadHistoneHelas3H3k79me2StdPk.broadPeak","wgEncodeBroadHistoneHelas3H3k9acStdPk.broadPeak","wgEncodeBroadHistoneHelas3H4k20me1StdPk.broadPeak","wgEncodeHaibTfbsHelas3GabpPcr1xPkRep1.broadPeak","wgEncodeHaibTfbsHelas3NrsfPcr1xPkRep1.broadPeak","wgEncodeHaibTfbsHelas3Pol2Pcr1xPkRep1.broadPeak","wgEncodeHaibTfbsHelas3Taf1Pcr1xPkRep1.broadPeak","wgEncodeSydhTfbsHelas3Ap2alphaStdPk.narrowPeak","wgEncodeSydhTfbsHelas3Ap2gammaStdPk.narrowPeak","wgEncodeSydhTfbsHelas3Baf155IggmusPk.narrowPeak","wgEncodeSydhTfbsHelas3Baf170IggmusPk.narrowPeak","wgEncodeSydhTfbsHelas3Bdp1StdPk.narrowPeak","wgEncodeSydhTfbsHelas3Brca1a300IggrabPk.narrowPeak","wgEncodeSydhTfbsHelas3Brf1StdPk.narrowPeak","wgEncodeSydhTfbsHelas3Brf2StdPk.narrowPeak","wgEncodeSydhTfbsHelas3Brg1IggmusPk.narrowPeak","wgEncodeSydhTfbsHelas3CebpbIggrabPk.narrowPeak","wgEncodeSydhTfbsHelas3CfosStdPk.narrowPeak","wgEncodeSydhTfbsHelas3Chd2IggrabPk.narrowPeak","wgEncodeSydhTfbsHelas3CjunIggrabPk.narrowPeak","wgEncodeSydhTfbsHelas3CmycStdPk.narrowPeak","wgEncodeSydhTfbsHelas3Corestsc30189IggrabPk.narrowPeak","wgEncodeSydhTfbsHelas3E2f1StdPk.narrowPeak","wgEncodeSydhTfbsHelas3E2f4StdPk.narrowPeak","wgEncodeSydhTfbsHelas3E2f6StdPk.narrowPeak","wgEncodeSydhTfbsHelas3Elk112771IggrabPk.narrowPeak","wgEncodeSydhTfbsHelas3Elk4UcdPk.narrowPeak","wgEncodeSydhTfbsHelas3Gcn5StdPk.narrowPeak","wgEncodeSydhTfbsHelas3Gtf2f1ab28179IggrabPk.narrowPeak","wgEncodeSydhTfbsHelas3Hae2f1StdPk.narrowPeak","wgEncodeSydhTfbsHelas3Hcfc1nb10068209IggrabPk.narrowPeak","wgEncodeSydhTfbsHelas3Ini1IggmusPk.narrowPeak","wgEncodeSydhTfbsHelas3Irf3IggrabPk.narrowPeak","wgEncodeSydhTfbsHelas3JundIggrabPk.narrowPeak","wgEncodeSydhTfbsHelas3MafkIggrabPk.narrowPeak","wgEncodeSydhTfbsHelas3MaxIggrabPk.narrowPeak","wgEncodeSydhTfbsHelas3MaxStdPk.narrowPeak","wgEncodeSydhTfbsHelas3Mazab85725IggrabPk.narrowPeak","wgEncodeSydhTfbsHelas3Mxi1af4185IggrabPk.narrowPeak","wgEncodeSydhTfbsHelas3NfyaIggrabPk.narrowPeak","wgEncodeSydhTfbsHelas3NfybIggrabPk.narrowPeak","wgEncodeSydhTfbsHelas3Nrf1IggmusPk.narrowPeak","wgEncodeSydhTfbsHelas3P300sc584sc584IggrabPk.narrowPeak","wgEncodeSydhTfbsHelas3Pol2s2IggrabPk.narrowPeak","wgEncodeSydhTfbsHelas3Pol2StdPk.narrowPeak","wgEncodeSydhTfbsHelas3Prdm19115IggrabPk.narrowPeak","wgEncodeSydhTfbsHelas3Rad21IggrabPk.narrowPeak","wgEncodeSydhTfbsHelas3Rfx5200401194IggrabPk.narrowPeak","wgEncodeSydhTfbsHelas3Rpc155StdPk.narrowPeak","wgEncodeSydhTfbsHelas3Smc3ab9263IggrabPk.narrowPeak","wgEncodeSydhTfbsHelas3Spt20StdPk.narrowPeak","wgEncodeSydhTfbsHelas3Stat1Ifng30StdPk.narrowPeak","wgEncodeSydhTfbsHelas3Stat3IggrabPk.narrowPeak","wgEncodeSydhTfbsHelas3TbpIggrabPk.narrowPeak","wgEncodeSydhTfbsHelas3Tcf7l2c9b92565UcdPk.narrowPeak","wgEncodeSydhTfbsHelas3Tcf7l2UcdPk.narrowPeak","wgEncodeSydhTfbsHelas3Tf3c110StdPk.narrowPeak","wgEncodeSydhTfbsHelas3Tr4StdPk.narrowPeak","wgEncodeSydhTfbsHelas3Usf2IggmusPk.narrowPeak","wgEncodeSydhTfbsHelas3Zkscan1hpa006672IggrabPk.narrowPeak","wgEncodeSydhTfbsHelas3Znf143IggrabPk.narrowPeak","wgEncodeSydhTfbsHelas3Znf274UcdPk.narrowPeak","wgEncodeSydhTfbsHelas3Zzz3StdPk.narrowPeak"
"wgEncodeBroadHistoneHelas3CtcfStdPk.broadPeak",1,0.150078514620802,0.166439132410028,0.1664641595979,0.11669079350649,0.133419924909625,0.100641967405945,0.13908318538866,0.180318083405816,0.175153421702235,0.125282465255452,0.217731667914547,0.166716399074951,0.00424965698997809,0.00256558717079919,0.0386773486976109,0.00607813485496063,0.0110866015309969,0.0159849091689435,0.0152037893471104,0.00352758661240867,0.000644590100186054,0.0270219746186705,0.000537924165121315,0.000359982960383369,0.000197904897791899,0.0445112962114957,0.00533432229188152,0.0351026507165864,0.00689779083096119,0.0115927533390111,0.0428406492322276,0.00432135406981586,0.00137091826646103,0.00183184154377501,0.0192889116332717,0.00959366728107429,0.00202553452794892,0.0342777281433789,0.00684023646396938,0.0241040148307336,0.0210265490811661,0.00271286419233802,0.013711698883065,0.0303557227176847,0.0439218431459178,0.0149408582142678,0.0383306555730498,0.0303008031256295,0.00956159213736411,0.00634800287311751,0.00210524319059019,0.0155225456121989,0.056900101790405,0.0303604619108783,0.00578269295445928,0.0707597686825644,0.0451272530281861,0.00195188386095723,0.0816090052675944,0.000573102382645492,0.00656732652306581,0.0127483437876267,0.0233011145660737,0.0305569859486185,0.00296814808665579,0.00385812334999944,0.00141756454327071,0.0307548333345679,0.0264651158223032,0.0285703418909252,0.000277115600047105,0.00195415775388904
"wgEncodeBroadHistoneHelas3Ezh239875Pk.broadPeak",0.150078514620802,1,0.264589048020844,0.0895331728317029,0.292684661503947,0.052799821416638,0.635855328937715,0.0803010616319908,0.11032047555836,0.0957976588684134,0.0516005040414022,0.0950960528196787,0.203375719183225,0.00151404238524562,0.00202423891163198,0.0116689651695231,0.00204879006230208,0.00362872990812137,0.00525827598578572,0.00552300231948334,0.00129563245324618,0.00025073123681938,0.00828782190040076,0.000212932406827128,0.000133062521981541,8.47410300781445e-05,0.017730820757921,0.0023340566230176,0.0112951866304648,0.00303846362640291,0.00360926672687927,0.0138180576526504,0.00126288153443922,0.000418406724771219,0.000579968866767208,0.00576753955687043,0.00284763180091869,0.000676000852532929,0.0103440305229719,0.0020659262906781,0.00741351393768826,0.0067187457191108,0.000969249925619842,0.00555905948401433,0.0105811739850033,0.0141054044377852,0.00502673552329865,0.0112841128186765,0.00945961803699598,0.00290457576938683,0.0024714993773473,0.000654701006431585,0.00673412160136318,0.0161314473753487,0.0093843260276632,0.00234327443970937,0.0143761402091385,0.0129841114814512,0.00063859922495345,0.0188869361592475,0.000219681056295593,0.00249874277199604,0.00506502631923853,0.00765302118572392,0.0109342833137473,0.00115965284338977,0.00122354548528886,0.000478586178410549,0.0101131805278986,0.00798752071175861,0.00778763119591863,0.000103332318079768,0.00074272556308812
"wgEncodeBroadHistoneHelas3H2azPk.broadPeak",0.166439132410028,0.264589048020844,1,0.180321460891154,0.282705240389651,0.110334832420182,0.227346726356117,0.14805226795137,0.19362082337511,0.138792908166116,0.0801213035339647,0.136540762521894,0.159234084384475,0.00256638922428005,0.00163187243029122,0.0242591922010858,0.00385798862918547,0.00750381565554602,0.0109800558152013,0.0100847991637563,0.00210901248371013,0.000346239350704272,0.0186923862248382,0.000253749747966685,0.00013785883631933,0.000111370776217295,0.0371914585782165,0.00454853121860827,0.0261232800849661,0.00602882718930696,0.00800966085513297,0.0303965391398219,0.00354929451383724,0.00120229361252412,0.00151716281715206,0.01251821413724,0.00683572745672585,0.000989197375791993,0.0224384948930115,0.00588842863382037,0.0203098194565544,0.0155949604715548,0.00158244024172283,0.0113602383130554,0.0214577914335753,0.033132296955081,0.0107998854280216,0.0251502831816807,0.0226299971856623,0.00648791260138879,0.0051290200217578,0.00168632479581902,0.0142097967205877,0.0284094674418601,0.0230231505335699,0.00420535410439174,0.0243084977576972,0.0289730373804858,0.00147793299841217,0.0357694192451349,0.000265139970019062,0.00501101158858007,0.0102949358332051,0.0188724999526221,0.0238041314554625,0.00197717747299399,0.00288873635162921,0.00111360181159001,0.0191249258922272,0.0164734363275729,0.0151502329970222,0.000104940655602054,0.00084614512836839
"wgEncodeBroadHistoneHelas3H3k04me1StdPk.broadPeak",0.1664641595979,0.0895331728317029,0.180321460891154,1,0.0948170406028199,0.314060922728705,0.0414643578822981,0.192573147021024,0.377019071685374,0.254371133176791,0.243773509577032,0.244815802147981,0.149025073518276,0.00350716207610324,0.0025039930115838,0.054652713456235,0.00571158536726231,0.0199657691703497,0.0285828951850804,0.0238601614109697,0.00470358660614761,0.000760647447475541,0.0416883150143494,0.000542999622024824,0.000345279761305746,0.000303706627119034,0.0973191283269558,0.0147969659318739,0.0527417606044649,0.0214083147044767,0.0173503120050253,0.0687078764807006,0.00488311740193275,0.00169199396495308,0.0023687642421704,0.022115134974368,0.0123456295073786,0.00203097841937421,0.0489308491914732,0.00771372044363446,0.0351297431228896,0.027186458807195,0.00290890435034285,0.0388239497137847,0.0472991701571261,0.069542695564034,0.0262713172824793,0.0461920935811259,0.0449876585645197,0.0109681423808538,0.00961508480837791,0.00241443908406999,0.0483820895112526,0.0655263137065916,0.0469716161960462,0.0117558472618455,0.0546709319499066,0.063703847931473,0.00436355037708007,0.0731061245010833,0.000545840462169662,0.0129193197220091,0.0330881145147288,0.0397580441342893,0.0562837488396587,0.00534927426961053,0.00732368520206997,0.00168342087461939,0.0480125849077413,0.0319100309531215,0.0262187072349223,0.000211410957332897,0.00201749680135808
"wgEncodeBroadHistoneHelas3H3k09me3Pk.broadPeak",0.11669079350649,0.292684661503947,0.282705240389651,0.0948170406028199,1,0.0453106594205007,0.285772048181887,0.141533747147294,0.100667279105817,0.0719611946070447,0.0719323308329967,0.0703536753915608,0.17459585890754,0.00117712051866048,0.00124163557266036,0.00778818570364155,0.00156010863340236,0.0021659164638474,0.00308938028598018,0.00291299198072157,0.000681138336250222,0.000194291718362732,0.00517829950249226,0.000168514922260529,9.5576953359856e-05,4.87190555810212e-05,0.0139496144166143,0.00188166771360873,0.00648371824612646,0.00248982992356759,0.0021459723951517,0.00849830679575682,0.000644770958397129,0.000223831095796587,0.00032801927975498,0.0033129938670591,0.00157597231593896,0.000410988785378369,0.00606392424149116,0.000991694739780442,0.00386420248128478,0.00300542573343103,0.00071579300797652,0.00451997166078246,0.0075064399753451,0.00826930189121487,0.00311994964220567,0.00604667974391847,0.00531433396859968,0.00170955346236814,0.00178284523406634,0.000347278184844111,0.00582972686465577,0.0129968199314368,0.00515860787867594,0.00188773205070691,0.00960966887631483,0.00794431391434352,0.000566948315632822,0.0115056323479144,0.000169586558012934,0.00189899630776207,0.00413090453723415,0.00458698234222344,0.00708718663643115,0.000830281089138192,0.000928965920305505,0.000277954137937705,0.00702484317268851,0.0046657641127096,0.00446067768238717,0.000217357228103403,0.000623940155173495
"wgEncodeBroadHistoneHelas3H3k27acStdPk.broadPeak",0.133419924909625,0.052799821416638,0.110334832420182,0.314060922728705,0.0453106594205007,1,0.0181534803373372,0.105368335779739,0.351917638218386,0.362832246273106,0.186905870956443,0.368290664730729,0.0866121222870888,0.013245044289844,0.00468525311823775,0.155410779668484,0.0214047850928042,0.0446340492571553,0.0644414485688853,0.0594244219139009,0.012284032908458,0.00174094074028595,0.107535750782196,0.00111049221953727,0.000710062625438005,0.000676179677138679,0.158686659942368,0.0264232028547497,0.151947937872182,0.0352715438028964,0.0482607486181334,0.164622884187685,0.0223564440711402,0.00725338640985498,0.00873802120221326,0.0714259946981258,0.041618071305059,0.00668189645008284,0.126058154225503,0.0370240265181831,0.123642556728804,0.0950049266657016,0.00892929022990637,0.0625695601727834,0.107481496513766,0.18552390061566,0.0622550954933558,0.14003864740132,0.135678769468221,0.0352265796432155,0.0261888911952178,0.00998836856389596,0.0749652283027083,0.155564937862991,0.153891570289345,0.0209920313637256,0.0899785035998088,0.151732219897862,0.0087267969801263,0.153919638199816,0.00143914994351503,0.0264107898699549,0.0586129882110823,0.114746500409989,0.128619819673843,0.0110140099634112,0.0177401394093523,0.0063450741541215,0.0993373611482238,0.0910988594027447,0.0759116142187727,0.000503312550620204,0.00370287009619855
"wgEncodeBroadHistoneHelas3H3k27me3StdPk.broadPeak",0.100641967405945,0.635855328937715,0.227346726356117,0.0414643578822981,0.285772048181887,0.0181534803373372,1,0.0535197534963157,0.0635767322530941,0.0520025917374871,0.0258036967622142,0.0491544411187486,0.171850931788048,0.000981111118145906,0.0016315208925058,0.00373501451318586,0.00113760500054559,0.0010310199860602,0.00155650552674981,0.00149858743954922,0.000402620738628503,0.000165181259753998,0.00266857272339707,0.000168484009787934,0.000102461678275602,3.49173383523201e-05,0.00817780328891519,0.000715857153460199,0.00366540486603685,0.000928931656719195,0.000965222483206371,0.004783285183911,0.000444757388817078,0.000148370272804377,0.000201535693612279,0.00220250329169214,0.000812280486662608,0.000334267505691979,0.00331146518817012,0.000713468197353541,0.0026244239370066,0.00205340460566473,0.000577446902225058,0.00190092971617671,0.00452385922440088,0.00475828908130392,0.00148472428847237,0.00407964308709551,0.00297466311898087,0.00115431947001343,0.00120087512291746,0.000244343445208889,0.00233373647009449,0.0071140579326632,0.00265768277173532,0.00113900383092895,0.0074584023725833,0.00470577371831447,0.000305804972955679,0.00878813699934281,0.000173834776200944,0.00100140097844917,0.00169171696037628,0.00214282572943494,0.00389714119341542,0.000577039229399447,0.000443970305292182,0.000165688699278548,0.00409998812925749,0.00288675568239476,0.00344150874752106,9.91551485992798e-05,0.000605317642735481
"wgEncodeBroadHistoneHelas3H3k36me3StdPk.broadPeak",0.13908318538866,0.0803010616319908,0.14805226795137,0.192573147021024,0.141533747147294,0.105368335779739,0.0535197534963157,1,0.173194448976199,0.128068547217037,0.323922971406916,0.132628921802755,0.2468798965207,0.00196897530838579,0.00098621974411232,0.0275733672839597,0.00320944955027244,0.00440552445242632,0.00639317667872489,0.00588931949955257,0.00127728203280716,0.000240647015548562,0.0128700130350078,0.000211536922847096,0.000142675277455481,7.30912776021316e-05,0.0265915446999646,0.00291011566454295,0.0171098783996834,0.00406745517056354,0.00548460389349316,0.019339080417193,0.00268574973443603,0.000930422853753854,0.00104253318259704,0.00847530953357,0.0048118910639101,0.000922025071775659,0.0144829416302663,0.00433135166678751,0.0154955393456832,0.0108878932935963,0.00129851920941722,0.00746241177088569,0.0156418859940263,0.0210955225856815,0.00676465218102536,0.01596912149161,0.0162301442117925,0.00441600366744869,0.00361180752661732,0.00121871700355141,0.00912645807375706,0.054833106214606,0.021417992575024,0.00305403019320733,0.0153114998250614,0.0192325130610092,0.00111051384785094,0.0227046047483792,0.000255137196736877,0.00322142931659763,0.00676158337581075,0.0130353003176745,0.0150404259453818,0.00140249746133779,0.00194573611987316,0.000815120684013915,0.0144697159706862,0.0110680993756263,0.00983297185682309,0.000184823525317983,0.000926012845395355
"wgEncodeBroadHistoneHelas3H3k4me2StdPk.broadPeak",0.180318083405816,0.11032047555836,0.19362082337511,0.377019071685374,0.100667279105817,0.351917638218386,0.0635767322530941,0.173194448976199,1,0.349711086771906,0.227514480614846,0.311206927573544,0.144035456770268,0.00745380575098711,0.0032158618320598,0.0859668835610964,0.011879182663622,0.0251295683244508,0.0363185988019884,0.0317111869738581,0.00647208399807017,0.00111005036452565,0.0612175950083042,0.000760237686357198,0.000439360346192708,0.000353083398584918,0.109776430048286,0.0163843083610834,0.0845864196274857,0.0223357742957574,0.0260520715152436,0.0977377996129869,0.011380586324457,0.00374992745881485,0.00453365875247763,0.0387063021534412,0.0217015621893916,0.00351157519331095,0.0711663190952847,0.0189995950833704,0.0662362891103411,0.0500673280284558,0.00505050272724019,0.0401711674144857,0.0645889737041692,0.105875704095083,0.0349727110397201,0.07827708054866,0.0739358863477086,0.0195293413099837,0.0149621545085262,0.00522788819066594,0.0493360270469186,0.0924021259830889,0.0806834708023225,0.0141037318460847,0.0634071563163564,0.0918331841334515,0.00504831027136777,0.0998064183955238,0.000777509826691808,0.0149794030540243,0.0363557126497756,0.0617252981785168,0.076456639092849,0.00672424641605053,0.00967628871805614,0.0033033103894943,0.0597140110432393,0.0505760947579083,0.0439163282705603,0.000267162081069306,0.00252329575783131
"wgEncodeBroadHistoneHelas3H3k4me3StdPk.broadPeak",0.175153421702235,0.0957976588684134,0.138792908166116,0.254371133176791,0.0719611946070447,0.362832246273106,0.0520025917374871,0.128068547217037,0.349711086771906,1,0.194946873712259,0.380694422383163,0.123745759133663,0.00992103086279315,0.00418778133044694,0.114766649459822,0.0157783294133169,0.0304433053769516,0.044177386756816,0.0411788248574735,0.00867823713733833,0.00128824895751336,0.0741979463835611,0.00078043715660586,0.000482809216010761,0.000469867902091231,0.10729497752539,0.0159608409422921,0.108909585600185,0.0201991710597654,0.0333823294628184,0.116313101123015,0.0163049389632956,0.00520987625307341,0.00629621045659171,0.051684430892407,0.0286547718958971,0.00477986030572329,0.0892558479322096,0.0276917496052138,0.0925365287996376,0.0699519184902566,0.00673551577877582,0.0368544461171074,0.0754178831377959,0.131977620960715,0.0423259732901585,0.104708217887649,0.0968764288788797,0.0258260602469923,0.0185014488282339,0.0072143118285455,0.0429785048532189,0.121819282585765,0.110435107268239,0.014317499056511,0.0657024182920936,0.10783689655976,0.00561465696916635,0.115471402056261,0.00101222579442181,0.0166682686899277,0.0348700290722426,0.0787724882775937,0.0882848184909402,0.00759032314711409,0.0115209242661261,0.00447780644541118,0.0688829699945832,0.0660326602524583,0.0577363801982828,0.00043168773163925,0.00271412426690796
