,infomap,walktrap,edge_betweenness,fast_greedy,label_prop,leading_eigen,louvain
CtcfcV0422111PkRep1,4,5,1,6,1,1,3
Elf1V0422111PkRep1,1,3,2,3,2,2,5
Foxm1sc502V0422111PkRep1,3,4,3,2,3,3,2
GabpV0422111PkRep1,1,3,2,3,2,2,5
Gata3V0422111PkRep1,1,1,4,4,2,5,1
Hdac2sc6296V0422111PkRep1,1,1,4,4,2,2,1
MaxV0422111PkRep1,1,1,4,3,2,2,5
Nr2f2sc271940V0422111PkRep1,1,1,4,4,2,2,1
P300V0422111PkRep1,3,4,3,2,3,3,2
Pmlsc71910V0422111PkRep1,5,6,5,5,4,4,4
Rad21V0422111PkRep1,4,5,1,6,1,1,3
Sin3ak20V0422111PkRep1,1,1,4,4,2,2,1
Taf1V0422111PkRep1,5,6,5,5,4,4,4
Tcf12V0422111PkRep1,3,4,3,2,3,3,2
Gata3sc269UcdPk,2,2,6,1,5,5,6
Gata3UcdPk,2,2,6,1,5,5,6
Hae2f1UcdPk,1,1,2,3,2,2,5
Tcf7l2UcdPk,2,2,6,1,5,5,6
Znf217UcdPk,2,2,6,1,5,5,6
