"","wgEncodeHaibTfbsMcf7Cebpbsc150V0422111PkRep1.broadPeak","wgEncodeHaibTfbsMcf7CtcfcV0422111PkRep1.broadPeak","wgEncodeHaibTfbsMcf7Egr1V0422111PkRep1.broadPeak","wgEncodeHaibTfbsMcf7Elf1V0422111PkRep1.broadPeak","wgEncodeHaibTfbsMcf7Fosl2V0422111PkRep1.broadPeak","wgEncodeHaibTfbsMcf7Foxm1sc502V0422111PkRep1.broadPeak","wgEncodeHaibTfbsMcf7GabpV0422111PkRep1.broadPeak","wgEncodeHaibTfbsMcf7Gata3V0422111PkRep1.broadPeak","wgEncodeHaibTfbsMcf7Hdac2sc6296V0422111PkRep1.broadPeak","wgEncodeHaibTfbsMcf7JundV0422111PkRep1.broadPeak","wgEncodeHaibTfbsMcf7MaxV0422111PkRep1.broadPeak","wgEncodeHaibTfbsMcf7Nr2f2sc271940V0422111PkRep1.broadPeak","wgEncodeHaibTfbsMcf7NrsfV0422111PkRep1.broadPeak","wgEncodeHaibTfbsMcf7P300V0422111PkRep1.broadPeak","wgEncodeHaibTfbsMcf7Pmlsc71910V0422111PkRep1.broadPeak","wgEncodeHaibTfbsMcf7Rad21V0422111PkRep1.broadPeak","wgEncodeHaibTfbsMcf7Sin3ak20V0422111PkRep1.broadPeak","wgEncodeHaibTfbsMcf7SrfV0422111PkRep1.broadPeak","wgEncodeHaibTfbsMcf7Taf1V0422111PkRep1.broadPeak","wgEncodeHaibTfbsMcf7Tcf12V0422111PkRep1.broadPeak","wgEncodeHaibTfbsMcf7Tead4sc101184V0422111PkRep1.broadPeak","wgEncodeSydhTfbsMcf7Gata3sc269UcdPk.narrowPeak","wgEncodeSydhTfbsMcf7Gata3UcdPk.narrowPeak","wgEncodeSydhTfbsMcf7Hae2f1UcdPk.narrowPeak","wgEncodeSydhTfbsMcf7Tcf7l2UcdPk.narrowPeak","wgEncodeSydhTfbsMcf7Znf217UcdPk.narrowPeak","wgEncodeUwHistoneMcf7H3k4me3StdPkRep1.narrowPeak","wgEncodeUwTfbsMcf7CtcfStdPkRep1.narrowPeak"
"wgEncodeHaibTfbsMcf7Cebpbsc150V0422111PkRep1.broadPeak",1,0.0350631691617077,0.0378683065769769,0.0703525863064251,0.119390046390534,0.0861138802991539,0.0687602113483447,0.14635450627228,0.134832575619017,0.0708151243450862,0.103604139869227,0.139961123153101,0.0152050574658475,0.0951172090379182,0.0183738922530084,0.0516075075658012,0.132611158448718,0.0472973287140599,0.0236352088511378,0.0727115412052919,0.0500069987021419,0.110226940772781,0.0723817239205315,0.0619512043264912,0.106680781550855,0.151466250038545,0.0352474579358771,0.0275440177555335
"wgEncodeHaibTfbsMcf7CtcfcV0422111PkRep1.broadPeak",0.0350631691617077,1,0.0220974061094171,0.0532654232026564,0.0124122586202059,0.00940344860354017,0.0305063857532619,0.026414044030989,0.0429536342670989,0.0109931569976146,0.0862371028669802,0.0348998247058122,0.0103944949496943,0.00353924067552034,0.0100623747797654,0.558034621149805,0.0310882976209929,0.0181069129092233,0.0109995776792196,0.00465813008540439,0.00320736112361904,0.0100017950332151,0.00357218614307013,0.0375552217129739,0.0108136161914417,0.0130366408330069,0.0398852167910237,0.221711849409037
"wgEncodeHaibTfbsMcf7Egr1V0422111PkRep1.broadPeak",0.0378683065769769,0.0220974061094171,1,0.194232979393243,0.0406443513686886,0.0780705250434069,0.182838932773493,0.0435031709925808,0.150438051342908,0.106119021716622,0.13909879474374,0.0810890105480207,0.0371318464043516,0.0437857973086481,0.120622439428632,0.0230757477538047,0.0986005477303214,0.122739943795155,0.15484086422737,0.0584544582590467,0.0269113297355784,0.0260103085739107,0.0120945717566533,0.152186034903465,0.0441364720431519,0.042147595611716,0.0637337433084212,0.0197949614588406
"wgEncodeHaibTfbsMcf7Elf1V0422111PkRep1.broadPeak",0.0703525863064251,0.0532654232026564,0.194232979393243,1,0.0573583035553853,0.079172052736433,0.434911248555577,0.0787339745316574,0.236693971934014,0.115566830639409,0.331499773074286,0.142909134109257,0.0417605170876663,0.0540234551574415,0.137724986845397,0.052999475107741,0.228449656525582,0.186267581726682,0.192790466355383,0.0629338564598273,0.0237920772904962,0.0450580285485664,0.0137430438962956,0.29359433766509,0.057426852677775,0.0640186587267561,0.121855045412147,0.0395885796776721
"wgEncodeHaibTfbsMcf7Fosl2V0422111PkRep1.broadPeak",0.119390046390534,0.0124122586202059,0.0406443513686886,0.0573583035553853,1,0.115953086384582,0.0686933609331632,0.149617140155387,0.14736688568179,0.224909863859528,0.0947425773495346,0.150294820441484,0.0176451371756997,0.135577317655067,0.0222651710753718,0.0298833926641751,0.110777194355874,0.0468605734409759,0.0136788772133236,0.0942707279905706,0.0728349972943486,0.114092958609252,0.0771337856523846,0.0398191683888118,0.126539835730966,0.176099054399894,0.0244827835646168,0.0134044400640049
"wgEncodeHaibTfbsMcf7Foxm1sc502V0422111PkRep1.broadPeak",0.0861138802991539,0.00940344860354017,0.0780705250434069,0.079172052736433,0.115953086384582,1,0.0982900153819832,0.0915420852655428,0.161855113818522,0.172965764015883,0.0755515444652501,0.112665367100118,0.0311808992857366,0.441103027473919,0.0496613865384554,0.0307346516413258,0.0850113490483699,0.0802465413106147,0.0466461315345802,0.223454937447078,0.170653242634299,0.124894471698,0.124616984014968,0.0584277394040966,0.117428152573551,0.14759614493499,0.0239140168540009,0.00936188622334271
"wgEncodeHaibTfbsMcf7GabpV0422111PkRep1.broadPeak",0.0687602113483447,0.0305063857532619,0.182838932773493,0.434911248555577,0.0686933609331632,0.0982900153819832,1,0.0606324897956628,0.188721776105929,0.127752812864218,0.238808470228242,0.108584926062336,0.0391293514131396,0.0666291582577478,0.139818359886443,0.0326430601186447,0.184486155780532,0.20891644551185,0.19775346522555,0.0653578367949052,0.0386785302453425,0.0434537859064434,0.0263356558797774,0.243488497346526,0.0625570113890431,0.0629286876680239,0.106602514563942,0.0281141876086744
"wgEncodeHaibTfbsMcf7Gata3V0422111PkRep1.broadPeak",0.14635450627228,0.026414044030989,0.0435031709925808,0.0787339745316574,0.149617140155387,0.0915420852655428,0.0606324897956628,1,0.207857369565863,0.0841374915537672,0.147085447314838,0.359780809399128,0.0164711033320048,0.11912654547932,0.0219733751332413,0.0509705070012231,0.292338572775864,0.0436197228454061,0.0234605917507441,0.105092465752113,0.0469427938620239,0.257670406775431,0.119549765682706,0.0701566486814768,0.152813887197004,0.223505664900662,0.0383397937231086,0.0204086177147589
"wgEncodeHaibTfbsMcf7Hdac2sc6296V0422111PkRep1.broadPeak",0.134832575619017,0.0429536342670989,0.150438051342908,0.236693971934014,0.14736688568179,0.161855113818522,0.188721776105929,0.207857369565863,1,0.174158457265047,0.301560144194621,0.288996488252991,0.0444935251317135,0.173217451935557,0.0763543964127783,0.0626236012248259,0.276682099925791,0.109084193108693,0.100065814797117,0.146575322195358,0.073188315688542,0.157447622029086,0.095053906909816,0.216115217704576,0.146908686395917,0.207557070324849,0.0902134137302372,0.0323628221100601
"wgEncodeHaibTfbsMcf7JundV0422111PkRep1.broadPeak",0.0708151243450862,0.0109931569976146,0.106119021716622,0.115566830639409,0.224909863859528,0.172965764015883,0.127752812864218,0.0841374915537672,0.174158457265047,1,0.0970071016857181,0.110183287770639,0.038712575503523,0.167745773522626,0.117226256931194,0.0263455602350111,0.0971950690884164,0.0962759369110213,0.09399353892771,0.142933370559922,0.0924797318477876,0.0810154427619647,0.065544854067262,0.0798390150332183,0.0938686405495985,0.112660705080597,0.036849505420996,0.0119207299023981
"wgEncodeHaibTfbsMcf7MaxV0422111PkRep1.broadPeak",0.103604139869227,0.0862371028669802,0.13909879474374,0.331499773074286,0.0947425773495346,0.0755515444652501,0.238808470228242,0.147085447314838,0.301560144194621,0.0970071016857181,1,0.231143753085994,0.0370102816136002,0.0712410770367695,0.0755845756127369,0.0914294771334187,0.346768845694693,0.115941882090844,0.117034199855312,0.0721000127100422,0.0301288687765688,0.07849376706625,0.0291725397501356,0.343455902712249,0.0794013113674462,0.104959156610334,0.146519231448565,0.055145235919899
"wgEncodeHaibTfbsMcf7Nr2f2sc271940V0422111PkRep1.broadPeak",0.139961123153101,0.0348998247058122,0.0810890105480207,0.142909134109257,0.150294820441484,0.112665367100118,0.108584926062336,0.359780809399128,0.288996488252991,0.110183287770639,0.231143753085994,1,0.0224955569812502,0.143255958675257,0.0406241388838796,0.0571109149040678,0.294751627011337,0.0646181093069682,0.0472376573581917,0.123546034417624,0.0529897213140755,0.192154136117473,0.0968989579546964,0.128320908000233,0.147416579274702,0.20993528343633,0.0575577090298224,0.0261669417519297
"wgEncodeHaibTfbsMcf7NrsfV0422111PkRep1.broadPeak",0.0152050574658475,0.0103944949496943,0.0371318464043516,0.0417605170876663,0.0176451371756997,0.0311808992857366,0.0391293514131396,0.0164711033320048,0.0444935251317135,0.038712575503523,0.0370102816136002,0.0224955569812502,1,0.0211672003978284,0.0392125267372164,0.0111052494168406,0.0274584352915029,0.026578374902991,0.0466202074295803,0.0205942623725483,0.0139012825352398,0.0118753019896146,0.00789765249622373,0.0316229605641197,0.015443983233416,0.0177276241062923,0.0146591561400414,0.00958602675966049
"wgEncodeHaibTfbsMcf7P300V0422111PkRep1.broadPeak",0.0951172090379182,0.00353924067552034,0.0437857973086481,0.0540234551574415,0.135577317655067,0.441103027473919,0.0666291582577478,0.11912654547932,0.173217451935557,0.167745773522626,0.0712410770367695,0.143255958675257,0.0211672003978284,1,0.0139670908664766,0.02885977993053,0.0928334657737912,0.0514525925841661,0.0126399518945167,0.263227123061296,0.174516119549652,0.157243284442106,0.144595873740445,0.0389598969288063,0.137893917401944,0.181847204755336,0.0168151317952126,0.00616757400602806
"wgEncodeHaibTfbsMcf7Pmlsc71910V0422111PkRep1.broadPeak",0.0183738922530084,0.0100623747797654,0.120622439428632,0.137724986845397,0.0222651710753718,0.0496613865384554,0.139818359886443,0.0219733751332413,0.0763543964127783,0.117226256931194,0.0755845756127369,0.0406241388838796,0.0392125267372164,0.0139670908664766,1,0.012390581270551,0.0654486187810791,0.138691077642208,0.312984297703813,0.0404767812385346,0.0206426371462235,0.0109665227254488,0.00353706233211359,0.10186495351151,0.0175535975756452,0.0146171844362933,0.0433270744281032,0.0114136428972925
"wgEncodeHaibTfbsMcf7Rad21V0422111PkRep1.broadPeak",0.0516075075658012,0.558034621149805,0.0230757477538047,0.052999475107741,0.0298833926641751,0.0307346516413258,0.0326430601186447,0.0509705070012231,0.0626236012248259,0.0263455602350111,0.0914294771334187,0.0571109149040678,0.0111052494168406,0.02885977993053,0.012390581270551,1,0.0556963625804899,0.026690253336262,0.0119376473141786,0.0348994978444881,0.0216369137032293,0.0372838741028087,0.0216034126476593,0.0427340313125374,0.0329216348266954,0.0448664708375467,0.0413973033386009,0.193345440464783
"wgEncodeHaibTfbsMcf7Sin3ak20V0422111PkRep1.broadPeak",0.132611158448718,0.0310882976209929,0.0986005477303214,0.228449656525582,0.110777194355874,0.0850113490483699,0.184486155780532,0.292338572775864,0.276682099925791,0.0971950690884164,0.346768845694693,0.294751627011337,0.0274584352915029,0.0928334657737912,0.0654486187810791,0.0556963625804899,1,0.105862315990331,0.0973242940574808,0.114199018886228,0.0448993509014898,0.17429860307369,0.0831135000341141,0.250907837088521,0.133298940567643,0.182762782770734,0.112947286787288,0.0282481135571031
