"","wgEncodeHaibTfbsHct116Atf3V0422111PkRep1.broadPeak","wgEncodeHaibTfbsHct116Cbx3sc101004V0422111PkRep1.broadPeak","wgEncodeHaibTfbsHct116Cebpbsc150V0422111PkRep1.broadPeak","wgEncodeHaibTfbsHct116CtcfcV0422111PkRep1.broadPeak","wgEncodeHaibTfbsHct116Egr1V0422111PkRep1.broadPeak","wgEncodeHaibTfbsHct116Elf1V0422111PkRep1.broadPeak","wgEncodeHaibTfbsHct116Fosl1V0422111PkRep1.broadPeak","wgEncodeHaibTfbsHct116JundV0422111PkRep1.broadPeak","wgEncodeHaibTfbsHct116MaxV0422111PkRep1.broadPeak","wgEncodeHaibTfbsHct116NrsfV0422111PkRep1.broadPeak","wgEncodeHaibTfbsHct116Pol24h8V0416101PkRep1.broadPeak","wgEncodeHaibTfbsHct116Rad21V0422111PkRep1.broadPeak","wgEncodeHaibTfbsHct116Sin3ak20V0422111PkRep1.broadPeak","wgEncodeHaibTfbsHct116Sp1V0422111PkRep1.broadPeak","wgEncodeHaibTfbsHct116SrfV0422111PkRep1.broadPeak","wgEncodeHaibTfbsHct116Tead4sc101184V0422111PkRep1.broadPeak","wgEncodeHaibTfbsHct116Usf1V0422111PkRep1.broadPeak","wgEncodeHaibTfbsHct116Yy1sc281V0416101PkRep1.broadPeak","wgEncodeHaibTfbsHct116Zbtb33V0416101PkRep1.broadPeak","wgEncodeSydhTfbsHct116Pol2UcdPk.narrowPeak","wgEncodeSydhTfbsHct116Tcf7l2UcdPk.narrowPeak","wgEncodeUwHistoneHct116H3k4me3StdPkRep1.narrowPeak","wgEncodeUwTfbsHct116CtcfStdPkRep1.narrowPeak"
"wgEncodeHaibTfbsHct116Atf3V0422111PkRep1.broadPeak",1,0.104613266953742,0.100787195656586,0.0024015515209028,0.0164217722098571,0.00514578568811506,0.0612871134616957,0.058871746268767,0.0385312939638282,0.00295642189993792,0.0133235387449203,0.00592937211215781,0.076298756358547,0.0443265987877339,0.0721037413833082,0.0947284689209035,0.0244155963165892,0.0191885984175487,0.0460214510332435,0.00677887936594852,0.0232525607252861,0.0083791562856721,0.00213603750509972
"wgEncodeHaibTfbsHct116Cbx3sc101004V0422111PkRep1.broadPeak",0.104613266953742,1,0.164336163999607,0.0166066174407586,0.0459898635054945,0.026736755187137,0.189310916938352,0.195078252167537,0.133034113897422,0.00459474089080737,0.0497848884554489,0.0243333762264942,0.120359513904858,0.173203727160039,0.121705146170963,0.128838008484894,0.069093145121357,0.0377217322061141,0.0797600402866348,0.0350560728845798,0.0793408071273152,0.0285066785472362,0.0125250858991103
"wgEncodeHaibTfbsHct116Cebpbsc150V0422111PkRep1.broadPeak",0.100787195656586,0.164336163999607,1,0.00860186009609547,0.0368697325351578,0.0120189779065543,0.219218339437159,0.224879141512021,0.0856904124352677,0.00208210380879742,0.0505359422263022,0.0186789579949712,0.0929155200981973,0.190190926815079,0.0956091337950869,0.116279770453046,0.0300153948751387,0.0200349361692133,0.0543568920843287,0.0250506858345238,0.0777562555605647,0.024447527661238,0.00797602129895789
"wgEncodeHaibTfbsHct116CtcfcV0422111PkRep1.broadPeak",0.0024015515209028,0.0166066174407586,0.00860186009609547,1,0.0166748903085786,0.00719721816575826,0.00266851341865574,0.00261900379912592,0.0257925656805712,0.00346436542597199,0.0294440117360037,0.427141444697624,0.00368111347918257,0.00674010882079075,0.00702056662229057,0.00483072895305019,0.0126518330871115,0.0184482047359941,0.0115952770450511,0.0124872976603431,0.0278953253337478,0.0223827452566868,0.153431779599465
"wgEncodeHaibTfbsHct116Egr1V0422111PkRep1.broadPeak",0.0164217722098571,0.0459898635054945,0.0368697325351578,0.0166748903085786,1,0.0428885296636039,0.0423409307762451,0.0459867040378799,0.126366851750019,0.00394977017583662,0.147610621156144,0.0184376832825544,0.0687458508189752,0.110686840776253,0.0426484800873956,0.0221690194828288,0.0588166419887659,0.0762738267989775,0.101000892574093,0.167186882259166,0.147541290529732,0.0887100171887627,0.0188009912252227
"wgEncodeHaibTfbsHct116Elf1V0422111PkRep1.broadPeak",0.00514578568811506,0.026736755187137,0.0120189779065543,0.00719721816575826,0.0428885296636039,1,0.00843198908067807,0.00897051378133315,0.0476191422388374,0.00232718271434922,0.0418882599694392,0.0062049775713184,0.0621313437967409,0.04095851358329,0.0501175860265709,0.0114495482867939,0.0413055257619411,0.05033157963464,0.059835155122646,0.0627399253458479,0.0372811628792392,0.0367281675204145,0.00689828212752491
"wgEncodeHaibTfbsHct116Fosl1V0422111PkRep1.broadPeak",0.0612871134616957,0.189310916938352,0.219218339437159,0.00266851341865574,0.0423409307762451,0.00843198908067807,1,0.553930580788311,0.103509928090321,0.00274843808053506,0.0647675731646708,0.0150510700796593,0.0732892576838814,0.319862352740532,0.0902675790835164,0.126613638319197,0.0350248465721436,0.0176790930721877,0.0483156142709319,0.0137137435082482,0.103613447352268,0.0334195144967309,0.00737220252621012
"wgEncodeHaibTfbsHct116JundV0422111PkRep1.broadPeak",0.058871746268767,0.195078252167537,0.224879141512021,0.00261900379912592,0.0459867040378799,0.00897051378133315,0.553930580788311,1,0.116237353792176,0.00190899866427421,0.0834836201341711,0.0160609526449547,0.0949464395782249,0.382154271845432,0.0876465243275796,0.121135338713644,0.0350429402049626,0.018901837742697,0.051574190534048,0.0259015061090846,0.115337384316285,0.0365446637176752,0.00742094665990059
"wgEncodeHaibTfbsHct116MaxV0422111PkRep1.broadPeak",0.0385312939638282,0.133034113897422,0.0856904124352677,0.0257925656805712,0.126366851750019,0.0476191422388374,0.103509928090321,0.116237353792176,1,0.00461161111737389,0.183650564394777,0.0348728814340707,0.146951108377496,0.189260067464262,0.0661095703703764,0.046501259022856,0.119100163288854,0.0575593245373474,0.101742489494902,0.186988274525396,0.195552985583937,0.0991099780143052,0.0253845849212787
"wgEncodeHaibTfbsHct116NrsfV0422111PkRep1.broadPeak",0.00295642189993792,0.00459474089080737,0.00208210380879742,0.00346436542597199,0.00394977017583662,0.00232718271434922,0.00274843808053506,0.00190899866427421,0.00461161111737389,1,0.00276594167808934,0.00280555470257194,0.00854412908477636,0.00242199586048032,0.00213893560801499,0.00371137920958804,0.00211686364018854,0.00457603185258918,0.00375552310506801,0.00213589702459905,0.00395473051165161,0.00292849973561008,0.00288559072249884
"wgEncodeHaibTfbsHct116Pol24h8V0416101PkRep1.broadPeak",0.0133235387449203,0.0497848884554489,0.0505359422263022,0.0294440117360037,0.147610621156144,0.0418882599694392,0.0647675731646708,0.0834836201341711,0.183650564394777,0.00276594167808934,1,0.0427896877796243,0.07334416645252,0.178762379029204,0.0412354064383964,0.0216807132260459,0.0597223383446262,0.0697518710982135,0.106485215033726,0.306055454664177,0.28539128514018,0.14119161467043,0.0380733590355689
"wgEncodeHaibTfbsHct116Rad21V0422111PkRep1.broadPeak",0.00592937211215781,0.0243333762264942,0.0186789579949712,0.427141444697624,0.0184376832825544,0.0062049775713184,0.0150510700796593,0.0160609526449547,0.0348728814340707,0.00280555470257194,0.0427896877796243,1,0.0089718313660318,0.0204022771997281,0.0117028286730582,0.0101228059270743,0.0138850658919726,0.0128830438714259,0.0128610237346297,0.0167725513656762,0.0402591862836765,0.0247530111799313,0.186491853241866
"wgEncodeHaibTfbsHct116Sin3ak20V0422111PkRep1.broadPeak",0.076298756358547,0.120359513904858,0.0929155200981973,0.00368111347918257,0.0687458508189752,0.0621313437967409,0.0732892576838814,0.0949464395782249,0.146951108377496,0.00854412908477636,0.07334416645252,0.0089718313660318,1,0.114260933023988,0.104200843391768,0.0876353523058372,0.05928226581226,0.0550698949075168,0.133948112523733,0.108108495825227,0.0836562756209334,0.0449005679907453,0.00623741993407498
"wgEncodeHaibTfbsHct116Sp1V0422111PkRep1.broadPeak",0.0443265987877339,0.173203727160039,0.190190926815079,0.00674010882079075,0.110686840776253,0.04095851358329,0.319862352740532,0.382154271845432,0.189260067464262,0.00242199586048032,0.178762379029204,0.0204022771997281,0.114260933023988,1,0.0984160106136147,0.0922456572695458,0.0611383700069128,0.0487454405865243,0.0920845564300913,0.118984816129924,0.201094217538623,0.0823755164732016,0.0129298957063227
"wgEncodeHaibTfbsHct116SrfV0422111PkRep1.broadPeak",0.0721037413833082,0.121705146170963,0.0956091337950869,0.00702056662229057,0.0426484800873956,0.0501175860265709,0.0902675790835164,0.0876465243275796,0.0661095703703764,0.00213893560801499,0.0412354064383964,0.0117028286730582,0.104200843391768,0.0984160106136147,1,0.0796483593590037,0.0325311721895423,0.0453633121830249,0.0670187172252036,0.0457572332129945,0.0553023480289736,0.029446067147919,0.00634962963496837
"wgEncodeHaibTfbsHct116Tead4sc101184V0422111PkRep1.broadPeak",0.0947284689209035,0.128838008484894,0.116279770453046,0.00483072895305019,0.0221690194828288,0.0114495482867939,0.126613638319197,0.121135338713644,0.046501259022856,0.00371137920958804,0.0216807132260459,0.0101228059270743,0.0876353523058372,0.0922456572695458,0.0796483593590037,1,0.0195161647863168,0.0222522296252154,0.0486866140737652,0.00512071580114878,0.0442548800067981,0.0128433128219508,0.00540933996352028
"wgEncodeHaibTfbsHct116Usf1V0422111PkRep1.broadPeak",0.0244155963165892,0.069093145121357,0.0300153948751387,0.0126518330871115,0.0588166419887659,0.0413055257619411,0.0350248465721436,0.0350429402049626,0.119100163288854,0.00211686364018854,0.0597223383446262,0.0138850658919726,0.05928226581226,0.0611383700069128,0.0325311721895423,0.0195161647863168,1,0.0464282571119024,0.0530867201708625,0.0738294206137582,0.0594222197125643,0.0403925134104559,0.0117928150496951
"wgEncodeHaibTfbsHct116Yy1sc281V0416101PkRep1.broadPeak",0.0191885984175487,0.0377217322061141,0.0200349361692133,0.0184482047359941,0.0762738267989775,0.05033157963464,0.0176790930721877,0.018901837742697,0.0575593245373474,0.00457603185258918,0.0697518710982135,0.0128830438714259,0.0550698949075168,0.0487454405865243,0.0453633121830249,0.0222522296252154,0.0464282571119024,1,0.155815611611385,0.117670043051355,0.0796441039336216,0.0213641103711246,0.0206910532290736
"wgEncodeHaibTfbsHct116Zbtb33V0416101PkRep1.broadPeak",0.0460214510332435,0.0797600402866348,0.0543568920843287,0.0115952770450511,0.101000892574093,0.059835155122646,0.0483156142709319,0.051574190534048,0.101742489494902,0.00375552310506801,0.106485215033726,0.0128610237346297,0.133948112523733,0.0920845564300913,0.0670187172252036,0.0486866140737652,0.0530867201708625,0.155815611611385,1,0.175697189220916,0.12941799791161,0.0436887647991419,0.0141058719151134
"wgEncodeSydhTfbsHct116Pol2UcdPk.narrowPeak",0.00677887936594852,0.0350560728845798,0.0250506858345238,0.0124872976603431,0.167186882259166,0.0627399253458479,0.0137137435082482,0.0259015061090846,0.186988274525396,0.00213589702459905,0.306055454664177,0.0167725513656762,0.108108495825227,0.118984816129924,0.0457572332129945,0.00512071580114878,0.0738294206137582,0.117670043051355,0.175697189220916,1,0.278962782531826,0.123445627512749,0.0238465561836118
"wgEncodeSydhTfbsHct116Tcf7l2UcdPk.narrowPeak",0.0232525607252861,0.0793408071273152,0.0777562555605647,0.0278953253337478,0.147541290529732,0.0372811628792392,0.103613447352268,0.115337384316285,0.195552985583937,0.00395473051165161,0.28539128514018,0.0402591862836765,0.0836562756209334,0.201094217538623,0.0553023480289736,0.0442548800067981,0.0594222197125643,0.0796441039336216,0.12941799791161,0.278962782531826,1,0.119245693885385,0.0356760662401088
"wgEncodeUwHistoneHct116H3k4me3StdPkRep1.narrowPeak",0.0083791562856721,0.0285066785472362,0.024447527661238,0.0223827452566868,0.0887100171887627,0.0367281675204145,0.0334195144967309,0.0365446637176752,0.0991099780143052,0.00292849973561008,0.14119161467043,0.0247530111799313,0.0449005679907453,0.0823755164732016,0.029446067147919,0.0128433128219508,0.0403925134104559,0.0213641103711246,0.0436887647991419,0.123445627512749,0.119245693885385,1,0.0148286109394769
"wgEncodeUwTfbsHct116CtcfStdPkRep1.narrowPeak",0.00213603750509972,0.0125250858991103,0.00797602129895789,0.153431779599465,0.0188009912252227,0.00689828212752491,0.00737220252621012,0.00742094665990059,0.0253845849212787,0.00288559072249884,0.0380733590355689,0.186491853241866,0.00623741993407498,0.0129298957063227,0.00634962963496837,0.00540933996352028,0.0117928150496951,0.0206910532290736,0.0141058719151134,0.0238465561836118,0.0356760662401088,0.0148286109394769,1
