,infomap,walktrap,edge_betweenness,fast_greedy,label_prop,leading_eigen,louvain
Cbpsc369Pk,2,2,1,2,1,1,2
Cbx2Pk,2,2,1,2,1,1,2
Cbx3sc101004Pk,2,2,1,2,1,1,2
Cbx8Pk,2,2,1,2,1,1,2
Chd1a301218aStdPk,2,2,1,2,1,1,2
Chd4mi2Pk,2,2,1,2,1,1,2
Chd7a301223a1Pk,2,2,1,2,1,1,2
Ezh239875StdPk,2,2,1,2,1,1,2
H2azStdPk,3,6,1,2,1,13,1
H3k27acStdPk,3,6,1,2,2,13,1
H3k27me3StdPk,2,2,1,2,1,1,2
H3k36me3StdPk,2,2,1,2,1,1,2
H3k4me1StdPk,3,6,1,2,1,13,1
H3k4me2StdPk,3,6,1,2,2,13,1
H3k4me3StdPk,3,6,1,2,2,13,1
H3k79me2StdPk,3,6,1,2,1,13,1
H3k9acStdPk,3,6,1,2,2,13,1
H3k9me1StdPk,2,2,1,2,1,1,2
H3k9me3StdPk,2,2,1,2,1,1,2
H4k20me1StdPk,2,2,1,2,1,1,2
Hdac1sc6298StdPk,2,2,1,2,1,1,2
Hdac2a300705aStdPk,2,2,1,2,1,1,2
Hdac6a301341aPk,2,2,1,2,1,1,2
Lsd1Pk,2,2,1,2,1,1,2
NcorPk,2,2,1,2,1,1,2
Nsd2ab75359Pk,2,2,1,2,1,1,2
P300StdPk,2,2,1,2,1,1,2
PcafPk,2,2,1,2,1,1,2
Phf8a301772aStdPk,3,6,1,2,2,13,1
Plu1StdPk,2,2,1,2,1,1,2
Rbbp5a300109aStdPk,2,2,1,2,1,1,2
RestPk,2,2,1,2,1,1,2
Rnf2Pk,2,2,1,2,1,1,2
Sap3039731StdPk,2,2,1,2,1,1,2
Setdb1Pk,2,2,1,2,1,1,2
Sirt6Pk,2,2,1,2,1,1,2
Suz12051317Pk,2,2,1,2,1,1,2
Cbx3sc101004V0422111PkRep1,1,4,2,1,3,2,8
Cebpbsc150V0422111PkRep1,11,16,3,9,4,3,6
Cebpdsc636V0422111PkRep1,5,4,2,3,3,2,4
Creb1sc240V0422111PkRep1,1,4,2,1,3,12,3
CtcfcPcr1xPkRep1V2,7,3,4,12,5,2,10
E2f6V0416102PkRep1,1,4,2,1,3,12,3
Egr1V0416101PkRep1,1,4,2,1,3,12,8
Elf1sc631V0416102PkRep1,1,4,2,1,3,12,3
Ets1V0416101PkRep1,1,4,2,1,3,12,3
Fosl1sc183V0416101PkRep1,4,5,5,7,6,4,7
GabpV0416101PkRep1,1,4,2,1,3,12,3
Gata2sc267Pcr1xPkRep1,5,4,2,3,3,2,4
Hdac2sc6296V0416102PkRep1,1,4,2,1,3,12,3
MaxV0416102PkRep1,1,4,2,1,3,12,8
Nr2f2sc271940V0422111PkRep1,5,4,2,3,3,2,4
Pmlsc71910V0422111PkRep1,1,4,2,1,3,12,3
Pol24h8V0416101PkRep1,1,4,2,1,3,12,3
Pol2V0416101PkRep1,1,4,2,1,3,12,3
Rad21V0416102PkRep1,7,3,4,12,5,2,10
Six5Pcr1xPkRep1,10,11,6,11,7,5,5
Stat5asc74442V0422111PkRep1,5,4,2,3,3,2,4
Taf1V0416101PkRep1,1,4,2,1,3,12,3
Tead4sc101184V0422111PkRep1,5,4,2,3,3,2,4
Trim28sc81411V0422111PkRep1,5,4,2,3,3,2,4
Yy1sc281V0416101PkRep1,1,4,2,1,3,12,3
Yy1V0416102PkRep1,15,14,7,10,8,6,16
Zbtb33Pcr1xPkRep1,10,11,6,11,7,5,5
Arid3asc8821IggrabPk,1,4,2,3,3,2,8
Atf106325StdPk,1,4,2,1,3,2,8
Bdp1StdPk,13,15,8,8,9,7,13
Bhlhe40nb100IggrabPk,1,4,2,1,3,2,8
Brf1StdPk,12,12,9,6,10,8,12
Ccnt2StdPk,1,4,2,1,3,2,8
Cdpsc6327IggrabPk,1,4,2,3,3,2,8
CebpbIggrabPk,11,16,3,9,4,3,6
CfosStdPk,8,8,10,5,11,9,11
Chd2ab68301IggrabPk,1,4,2,1,3,12,3
CjunIfna6hStdPk,4,9,5,7,6,4,7
CjunIfng30StdPk,4,9,5,7,6,4,7
CjunIfng6hStdPk,4,9,5,7,6,4,7
CjunStdPk,4,5,5,7,6,4,7
CmycIfna30StdPk,9,1,11,4,3,12,9
CmycIfna6hStdPk,9,1,11,4,3,12,9
CmycIfng30StdPk,1,4,2,1,3,2,8
CmycIfng6hStdPk,1,4,2,1,3,12,3
CmycIggrabPk,1,4,2,1,3,2,8
CmycStdPk,9,1,11,4,3,12,9
Corestab24166IggrabPk,1,4,2,1,3,2,8
Corestsc30189IggrabPk,1,4,2,1,3,2,8
CtcfbIggrabPk,7,3,4,12,5,2,10
E2f4UcdPk,1,4,2,1,3,12,3
E2f6UcdPk,1,4,2,1,3,12,3
Elk112771IggrabPk,1,4,2,1,3,12,3
Gtf2bStdPk,1,4,2,1,3,12,3
Gtf2f1ab28179IggrabPk,1,4,2,1,3,12,3
Hcfc1nb10068209IggrabPk,1,4,2,1,3,12,8
Hmgn3StdPk,1,4,2,1,3,12,8
Irf1Ifna6hStdPk,1,4,2,1,3,2,8
Irf1Ifng30StdPk,1,4,2,1,3,2,8
Irf1Ifng6hStdPk,1,4,2,1,3,12,3
JundIggrabPk,1,4,2,1,3,2,8
MaffIggrabPk,16,7,2,13,3,2,8
Mafkab50322IggrabPk,16,7,2,13,3,2,8
MaxIggrabPk,1,4,2,1,3,2,8
MaxStdPk,9,1,11,4,3,12,9
Mazab85725IggrabPk,1,4,2,1,3,2,8
Mxi1af4185IggrabPk,1,4,2,1,3,12,3
NfyaStdPk,8,8,10,5,11,9,11
NfybStdPk,8,8,10,5,11,9,11
P300IggrabPk,1,4,2,1,3,2,8
Pol2Ifna30StdPk,1,4,2,1,3,12,3
Pol2Ifna6hStdPk,1,4,2,1,3,12,3
Pol2Ifng30StdPk,1,4,2,1,3,12,3
Pol2Ifng6hStdPk,1,4,2,1,3,12,3
Pol2StdPk,1,4,2,1,3,12,3
Pol3StdPk,12,12,9,6,10,8,12
Rad21StdPk,7,3,4,12,5,2,10
Rpc155StdPk,13,15,8,8,9,7,13
Smc3ab9263IggrabPk,7,3,4,12,5,2,10
Stat1Ifna30StdPk,6,10,12,15,12,10,15
Stat1Ifna6hStdPk,6,10,12,15,12,10,15
Stat1Ifng30StdPk,14,13,13,14,13,11,14
Stat1Ifng6hStdPk,14,13,13,14,13,11,14
Stat2Ifna30StdPk,6,10,12,15,12,10,15
Stat2Ifna6hStdPk,6,10,12,15,12,10,15
Tal1sc12984IggmusPk,5,4,2,3,3,2,8
Tblr1ab24550IggrabPk,1,4,2,1,3,12,3
Tblr1nb600270IggrabPk,1,4,2,1,3,2,8
TbpIggmusPk,1,4,2,1,3,12,8
Ubfsc13125IggmusPk,1,4,2,1,3,12,8
Ubtfsab1404509IggmusPk,1,4,2,1,3,2,8
Yy1UcdPk,15,14,7,10,8,6,16
Zc3h11anb10074650IggrabPk,1,4,2,1,3,12,3
Znf143IggrabPk,1,4,2,1,3,2,8
Znf384hpa004051IggrabPk,1,4,2,1,3,2,8
Znfmizdcp1ab65767IggrabPk,1,4,2,1,3,2,8
