,infomap,walktrap,edge_betweenness,fast_greedy,label_prop,leading_eigen,louvain
blH3k27acStdPk,1,1,1,3,1,1,1
blH3k36me3StdPk,1,2,2,2,1,3,2
blH3k4me1StdPk,1,1,1,3,1,1,1
blH3k4me2StdPk,1,1,1,3,1,1,1
H3k04me3Pk,1,1,1,3,1,1,1
H3k27me3Pk,2,3,3,1,2,2,3
H3k79me2Pk,1,2,2,2,1,3,2
H4k20me1Pk,1,2,2,2,1,3,2
P300kat3bPk,2,3,3,1,2,2,3
