"","wgEncodeBroadHistoneMonocd14ro1746CtcfPk.broadPeak","wgEncodeBroadHistoneMonocd14ro1746H2azPk.broadPeak","wgEncodeBroadHistoneMonocd14ro1746H3k04me1Pk.broadPeak","wgEncodeBroadHistoneMonocd14ro1746H3k04me2Pk.broadPeak","wgEncodeBroadHistoneMonocd14ro1746H3k04me3Pk.broadPeak","wgEncodeBroadHistoneMonocd14ro1746H3k09acPk.broadPeak","wgEncodeBroadHistoneMonocd14ro1746H3k09me3Pk.broadPeak","wgEncodeBroadHistoneMonocd14ro1746H3k27acPk.broadPeak","wgEncodeBroadHistoneMonocd14ro1746H3k27me3Pk.broadPeak","wgEncodeBroadHistoneMonocd14ro1746H3k36me3Pk.broadPeak","wgEncodeBroadHistoneMonocd14ro1746H3k79me2Pk.broadPeak","wgEncodeBroadHistoneMonocd14ro1746H4k20me1Pk.broadPeak","wgEncodeUwHistoneMonocd14ro1746H3k04me3StdPkRep1.narrowPeak","wgEncodeUwHistoneMonocd14ro1746H3k27me3StdPkRep1.narrowPeak"
"wgEncodeBroadHistoneMonocd14ro1746CtcfPk.broadPeak",1,0.0810741573210693,0.101163888936396,0.117395339164802,0.121799047640086,0.109964296108925,0.0122546135341865,0.0765906216733556,0.0497983441128137,0.0425821496864216,0.0633077163975599,0.0560878917744796,0.0338881810821689,0.0142378772390229
"wgEncodeBroadHistoneMonocd14ro1746H2azPk.broadPeak",0.0810741573210693,1,0.201194592355355,0.190153621246482,0.178746536236824,0.158785359040997,0.0248971759056975,0.132885892747244,0.105916244505748,0.0445023971640732,0.0787528646984231,0.0489577111451029,0.021062715837992,0.0103984514590417
"wgEncodeBroadHistoneMonocd14ro1746H3k04me1Pk.broadPeak",0.101163888936396,0.201194592355355,1,0.409876538981883,0.370049068977931,0.263519763224015,0.0143429290300145,0.352752851022986,0.0608918552736208,0.13508319082151,0.248314295221216,0.191329667539801,0.0297064889813448,0.0127318579501747
"wgEncodeBroadHistoneMonocd14ro1746H3k04me2Pk.broadPeak",0.117395339164802,0.190153621246482,0.409876538981883,1,0.496550614069999,0.272366818594904,0.019234965059265,0.262243592136646,0.0616164426977732,0.0970315062071576,0.192332803128649,0.140962876687947,0.0512014784464978,0.0201352114481701
"wgEncodeBroadHistoneMonocd14ro1746H3k04me3Pk.broadPeak",0.121799047640086,0.178746536236824,0.370049068977931,0.496550614069999,1,0.278403148000562,0.0284169773842656,0.248403078473323,0.0452867163808761,0.0913402291638013,0.180545380316631,0.124966738738723,0.0614844221757817,0.0168625304734773
"wgEncodeBroadHistoneMonocd14ro1746H3k09acPk.broadPeak",0.109964296108925,0.158785359040997,0.263519763224015,0.272366818594904,0.278403148000562,1,0.00903776413075848,0.246187058698586,0.0618874064875386,0.131958106476201,0.199186109814948,0.162496208599934,0.0405181424523552,0.00886698118498902
"wgEncodeBroadHistoneMonocd14ro1746H3k09me3Pk.broadPeak",0.0122546135341865,0.0248971759056975,0.0143429290300145,0.019234965059265,0.0284169773842656,0.00903776413075848,1,0.00979423629432586,0.0584903025987766,0.0235947437395506,0.0115604042106065,0.0133217177830366,0.00102734345720687,0.00861078797818843
"wgEncodeBroadHistoneMonocd14ro1746H3k27acPk.broadPeak",0.0765906216733556,0.132885892747244,0.352752851022986,0.262243592136646,0.248403078473323,0.246187058698586,0.00979423629432586,1,0.0270301291145804,0.363439792931281,0.422828181151502,0.377858512246034,0.0213188248627652,0.00155848537910828
"wgEncodeBroadHistoneMonocd14ro1746H3k27me3Pk.broadPeak",0.0497983441128137,0.105916244505748,0.0608918552736208,0.0616164426977732,0.0452867163808761,0.0618874064875386,0.0584903025987766,0.0270301291145804,1,0.0242768568566836,0.0208289381675877,0.0333014344055771,0.00489530581307084,0.031243538455459
"wgEncodeBroadHistoneMonocd14ro1746H3k36me3Pk.broadPeak",0.0425821496864216,0.0445023971640732,0.13508319082151,0.0970315062071576,0.0913402291638013,0.131958106476201,0.0235947437395506,0.363439792931281,0.0242768568566836,1,0.381440574765239,0.447646868951567,0.00669027397472566,0.00152451804313402
"wgEncodeBroadHistoneMonocd14ro1746H3k79me2Pk.broadPeak",0.0633077163975599,0.0787528646984231,0.248314295221216,0.192332803128649,0.180545380316631,0.199186109814948,0.0115604042106065,0.422828181151502,0.0208289381675877,0.381440574765239,1,0.543053411949359,0.0169818355623989,0.00155702731242637
"wgEncodeBroadHistoneMonocd14ro1746H4k20me1Pk.broadPeak",0.0560878917744796,0.0489577111451029,0.191329667539801,0.140962876687947,0.124966738738723,0.162496208599934,0.0133217177830366,0.377858512246034,0.0333014344055771,0.447646868951567,0.543053411949359,1,0.0117095608676271,0.00367045316378234
"wgEncodeUwHistoneMonocd14ro1746H3k04me3StdPkRep1.narrowPeak",0.0338881810821689,0.021062715837992,0.0297064889813448,0.0512014784464978,0.0614844221757817,0.0405181424523552,0.00102734345720687,0.0213188248627652,0.00489530581307084,0.00669027397472566,0.0169818355623989,0.0117095608676271,1,0.0121614035480357
"wgEncodeUwHistoneMonocd14ro1746H3k27me3StdPkRep1.narrowPeak",0.0142378772390229,0.0103984514590417,0.0127318579501747,0.0201352114481701,0.0168625304734773,0.00886698118498902,0.00861078797818843,0.00155848537910828,0.031243538455459,0.00152451804313402,0.00155702731242637,0.00367045316378234,0.0121614035480357,1
