"","wgEncodeBroadHistoneNhdfadCtcfStdPk.broadPeak","wgEncodeBroadHistoneNhdfadEzh239875Pk.broadPeak","wgEncodeBroadHistoneNhdfadH2azPk.broadPeak","wgEncodeBroadHistoneNhdfadH3k04me1Pk.broadPeak","wgEncodeBroadHistoneNhdfadH3k09me3Pk.broadPeak","wgEncodeBroadHistoneNhdfadH3k27acStdPk.broadPeak","wgEncodeBroadHistoneNhdfadH3k27me3StdPk.broadPeak","wgEncodeBroadHistoneNhdfadH3k36me3StdPk.broadPeak","wgEncodeBroadHistoneNhdfadH3k4me2StdPk.broadPeak","wgEncodeBroadHistoneNhdfadH3k4me3StdPk.broadPeak","wgEncodeBroadHistoneNhdfadH3k79me2Pk.broadPeak","wgEncodeBroadHistoneNhdfadH3k9acStdPk.broadPeak","wgEncodeBroadHistoneNhdfadH4k20me1Pk.broadPeak"
"wgEncodeBroadHistoneNhdfadCtcfStdPk.broadPeak",1,0.0629387091878705,0.0786299153382731,0.0970405478392967,0.0316563005922389,0.0984350476448084,0.0420244934674913,0.0661481295159397,0.121266985596152,0.12053289921051,0.0744456786971494,0.107254579739785,0.0668635800269108
"wgEncodeBroadHistoneNhdfadEzh239875Pk.broadPeak",0.0629387091878705,1,0.168987818428659,0.147662388639663,0.0734729883234812,0.122740420389228,0.287938091294819,0.107487179912684,0.122105602788267,0.108796097515161,0.0869280554658853,0.118587836996069,0.160566317891093
"wgEncodeBroadHistoneNhdfadH2azPk.broadPeak",0.0786299153382731,0.168987818428659,1,0.252395131329087,0.105899201376219,0.21677914246511,0.136189989325088,0.131008953406631,0.232387517589901,0.203544324963994,0.113457402015432,0.197798781967868,0.0949362381989573
"wgEncodeBroadHistoneNhdfadH3k04me1Pk.broadPeak",0.0970405478392967,0.147662388639663,0.252395131329087,1,0.0881896337070713,0.388424883817208,0.0868983580089323,0.239245595339624,0.378967753007654,0.284717613766607,0.274748101227145,0.26832727028097,0.213489674846784
"wgEncodeBroadHistoneNhdfadH3k09me3Pk.broadPeak",0.0316563005922389,0.0734729883234812,0.105899201376219,0.0881896337070713,1,0.0854037123776326,0.0675830376329016,0.09687727433518,0.0572022524646142,0.06021153533035,0.069543798332078,0.0681626759892458,0.0683906351280934
"wgEncodeBroadHistoneNhdfadH3k27acStdPk.broadPeak",0.0984350476448084,0.122740420389228,0.21677914246511,0.388424883817208,0.0854037123776326,1,0.0531775533793387,0.32566229761529,0.338001831437374,0.298052876676109,0.370115347029123,0.32525894409394,0.245865370442257
"wgEncodeBroadHistoneNhdfadH3k27me3StdPk.broadPeak",0.0420244934674913,0.287938091294819,0.136189989325088,0.0868983580089323,0.0675830376329016,0.0531775533793387,1,0.0548185577020485,0.0644403162448833,0.0514523859483645,0.0328812061310592,0.0682997544451348,0.144086006999465
"wgEncodeBroadHistoneNhdfadH3k36me3StdPk.broadPeak",0.0661481295159397,0.107487179912684,0.131008953406631,0.239245595339624,0.09687727433518,0.32566229761529,0.0548185577020485,1,0.160710840033494,0.157298794573118,0.416093281772829,0.212587986167101,0.350025586684357
"wgEncodeBroadHistoneNhdfadH3k4me2StdPk.broadPeak",0.121266985596152,0.122105602788267,0.232387517589901,0.378967753007654,0.0572022524646142,0.338001831437374,0.0644403162448833,0.160710840033494,1,0.427775096366196,0.23002158495692,0.31970983485914,0.161755680300963
"wgEncodeBroadHistoneNhdfadH3k4me3StdPk.broadPeak",0.12053289921051,0.108796097515161,0.203544324963994,0.284717613766607,0.06021153533035,0.298052876676109,0.0514523859483645,0.157298794573118,0.427775096366196,1,0.22042170253105,0.309504267341209,0.142899996243077
"wgEncodeBroadHistoneNhdfadH3k79me2Pk.broadPeak",0.0744456786971494,0.0869280554658853,0.113457402015432,0.274748101227145,0.069543798332078,0.370115347029123,0.0328812061310592,0.416093281772829,0.23002158495692,0.22042170253105,1,0.252090038787523,0.393901891544952
"wgEncodeBroadHistoneNhdfadH3k9acStdPk.broadPeak",0.107254579739785,0.118587836996069,0.197798781967868,0.26832727028097,0.0681626759892458,0.32525894409394,0.0682997544451348,0.212587986167101,0.31970983485914,0.309504267341209,0.252090038787523,1,0.185432047162638
"wgEncodeBroadHistoneNhdfadH4k20me1Pk.broadPeak",0.0668635800269108,0.160566317891093,0.0949362381989573,0.213489674846784,0.0683906351280934,0.245865370442257,0.144086006999465,0.350025586684357,0.161755680300963,0.142899996243077,0.393901891544952,0.185432047162638,1
