"filename","size"
"wgEncodeBroadHistoneGm12878CtcfStdPk.broadPeak.csv",174671713
"wgEncodeBroadHistoneGm12878Ezh239875Pk.broadPeak.csv",986829937
"wgEncodeBroadHistoneGm12878H2azStdPk.broadPeak.csv",264058975
"wgEncodeBroadHistoneGm12878H3k04me1StdPkV2.broadPeak.csv",337147496
"wgEncodeBroadHistoneGm12878H3k04me3StdPkV2.broadPeak.csv",228173146
"wgEncodeBroadHistoneGm12878H3k27acStdPk.broadPeak.csv",150138413
"wgEncodeBroadHistoneGm12878H3k27me3StdPkV2.broadPeak.csv",991502541
"wgEncodeBroadHistoneGm12878H3k36me3StdPk.broadPeak.csv",552701851
"wgEncodeBroadHistoneGm12878H3k4me2StdPk.broadPeak.csv",191505878
"wgEncodeBroadHistoneGm12878H3k79me2StdPk.broadPeak.csv",278795653
"wgEncodeBroadHistoneGm12878H3k9acStdPk.broadPeak.csv",121396252
"wgEncodeBroadHistoneGm12878H3k9me3StdPk.broadPeak.csv",523365403
"wgEncodeBroadHistoneGm12878H4k20me1StdPk.broadPeak.csv",714243480
"wgEncodeHaibTfbsGm12878Atf2sc81188V0422111PkRep1.broadPeak.csv",24447424
"wgEncodeHaibTfbsGm12878Atf3Pcr1xPkRep1.broadPeak.csv",476444
"wgEncodeHaibTfbsGm12878BatfPcr1xPkRep1.broadPeak.csv",9829857
"wgEncodeHaibTfbsGm12878Bcl11aPcr1xPkRep1.broadPeak.csv",7571526
"wgEncodeHaibTfbsGm12878Bcl3V0416101PkRep1.broadPeak.csv",11323367
"wgEncodeHaibTfbsGm12878Bclaf101388V0416101PkRep1.broadPeak.csv",21587423
"wgEncodeHaibTfbsGm12878Cebpbsc150V0422111PkRep1.broadPeak.csv",10520002
"wgEncodeHaibTfbsGm12878Creb1sc240V0422111PkRep1.broadPeak.csv",11343161
"wgEncodeHaibTfbsGm12878Ebfsc137065Pcr1xPkRep1.broadPeak.csv",16096281
"wgEncodeHaibTfbsGm12878Egr1V0416101PkRep1.broadPeak.csv",2898814
"wgEncodeHaibTfbsGm12878Elf1sc631V0416101PkRep1.broadPeak.csv",13266075
"wgEncodeHaibTfbsGm12878Ets1Pcr1xPkRep1V2.broadPeak.csv",546858
"wgEncodeHaibTfbsGm12878Foxm1sc502V0422111PkRep1.broadPeak.csv",23471298
"wgEncodeHaibTfbsGm12878GabpPcr2xPkRep1.broadPeak.csv",1650923
