,infomap,walktrap,edge_betweenness,fast_greedy,label_prop,leading_eigen,louvain
Ezh239875Pk,4,10,1,2,1,1,1
H2azStdPk,3,3,1,2,2,1,1
H3k04me1StdPkV2,3,3,1,2,2,1,1
H3k04me3StdPkV2,3,3,1,2,2,1,1
H3k27acStdPk,3,3,1,2,2,1,1
H3k27me3StdPkV2,4,10,1,2,1,1,1
H3k36me3StdPk,3,13,1,2,2,1,1
H3k4me2StdPk,3,3,1,2,2,1,1
H3k79me2StdPk,3,3,1,2,2,1,1
H3k9acStdPk,3,3,1,2,2,1,1
H4k20me1StdPk,4,14,1,2,1,1,1
Atf2sc81188V0422111PkRep1,1,6,2,5,3,2,7
BatfPcr1xPkRep1,2,5,3,3,4,5,3
Bcl11aPcr1xPkRep1,2,5,3,3,4,5,3
Bcl3V0416101PkRep1,1,15,4,5,3,2,7
Bclaf101388V0416101PkRep1,1,6,2,1,3,2,7
Cebpbsc150V0422111PkRep1,1,6,2,5,3,2,7
Creb1sc240V0422111PkRep1,1,2,2,1,3,7,5
Ebfsc137065Pcr1xPkRep1,2,16,3,3,4,5,3
Elf1sc631V0416101PkRep1,1,2,2,1,3,7,5
Foxm1sc502V0422111PkRep1,1,6,2,5,3,2,7
GabpPcr2xPkRep1,6,11,5,4,5,3,4
Irf4sc6059Pcr1xPkRep1,2,7,3,3,4,5,3
Mef2aPcr1xPkRep1,1,6,2,5,3,2,7
Mta3sc81325V0422111PkRep1,1,6,2,5,3,2,7
Nfatc1sc17834V0422111PkRep1,1,6,2,5,3,2,7
Nficsc81335V0422111PkRep1,1,6,2,5,3,2,7
NrsfPcr1xPkRep1,7,12,6,6,6,4,2
NrsfPcr2xPkRep1,7,12,6,6,6,4,2
P300Pcr1xPkRep1,2,17,3,3,4,5,3
Pax5c20Pcr1xPkRep1,2,8,3,3,4,5,3
Pax5n19Pcr1xPkRep1,2,7,3,3,4,5,3
Pmlsc71910V0422111PkRep1,1,2,2,1,3,7,5
Pol24h8Pcr1xPkRep1,1,9,7,1,3,7,5
Pol2Pcr2xPkRep1,1,2,2,1,3,7,5
Pou2f2Pcr1xPkRep1,8,1,8,3,3,5,3
Rad21V0416101PkRep1,5,4,9,7,3,8,6
Runx3sc101553V0422111PkRep1,1,6,2,5,3,6,7
Six5Pcr1xPkRep1,6,11,5,4,5,3,4
Sp1Pcr1xPkRep1,2,5,3,3,4,5,3
Stat5asc74442V0422111PkRep1,1,6,2,5,3,2,7
Taf1Pcr1xPkRep1,8,1,8,3,3,5,3
Tcf12Pcr1xPkRep1,2,18,2,3,3,5,3
Tcf3Pcr1xPkRep1,2,8,3,3,4,5,3
Yy1sc281Pcr1xPkRep1,1,2,2,1,3,7,5
Zbtb33Pcr1xPkRep1,2,19,3,3,4,5,3
Bhlhe40cIggmusPk,1,2,2,1,3,6,7
Cdpsc6327IggmusPk,1,6,2,5,3,6,7
Chd1a301218aIggmusPk,1,2,2,1,3,7,5
Chd2ab68301IggmusPk,1,2,2,1,3,6,5
Corestsc30189IggmusPk,1,2,2,1,3,6,7
Ctcfsc15914c20StdPk,5,4,9,7,3,8,6
Ebf1sc137065StdPk,1,6,2,5,3,6,7
Elk112771IggmusPk,1,2,2,1,3,7,5
Ikzf1iknuclaStdPk,1,6,2,5,3,2,7
MaxIggmusPk,1,2,2,1,3,7,5
Mazab85725IggmusPk,1,2,2,1,3,6,5
Mxi1IggmusPk,1,2,2,1,3,6,5
Nrf1IggmusPk,1,2,2,1,3,7,5
P300bStdPk,1,6,2,5,3,6,7
P300IggmusPk,1,6,2,5,3,6,7
P300sc584IggmusPk,1,2,2,1,3,6,7
Pol2IggmusPk,1,2,2,1,3,7,5
Pol2s2IggmusPk,1,9,7,1,3,7,5
Pol2StdPk,1,2,2,1,3,7,5
Rad21IggrabPk,5,4,9,7,3,8,6
Rfx5200401194IggmusPk,1,2,2,1,3,7,5
Sin3anb6001263IggmusPk,1,2,2,1,3,7,5
Smc3ab9263IggmusPk,5,20,2,7,3,8,6
Stat1StdPk,1,2,2,1,3,7,5
Stat3IggmusPk,1,6,2,5,3,6,7
Tblr1ab24550IggmusPk,1,2,2,1,3,6,7
TbpIggmusPk,1,2,2,1,3,6,7
Usf2IggmusPk,1,21,10,1,3,7,5
WhipIggmusPk,1,2,2,1,3,6,5
Znf143166181apStdPk,1,2,2,7,3,6,6
