,infomap,walktrap,edge_betweenness,fast_greedy,label_prop,leading_eigen,louvain
Chd1a301218aStdPk,2,1,1,1,1,1,2
Chd7a301223a1Pk,2,1,1,1,1,1,2
Ezh239875Pk,2,1,1,1,1,1,2
H2azStdPk,2,1,1,1,1,1,2
H3k27acStdPk,2,1,1,1,1,1,2
H3k36me3StdPk,2,1,1,1,1,1,2
H3k4me1StdPk,2,1,1,1,1,1,2
H3k4me2StdPk,4,4,2,4,2,2,1
H3k4me3StdPk,4,4,2,4,2,2,1
H3k79me2StdPk,2,1,1,1,1,1,2
H3k9acStdPk,2,1,1,1,1,1,2
H4k20me1StdPk,2,1,1,1,1,1,2
Hdac2a300705aPk,2,1,1,1,1,1,2
Hdac6a301341aPk,2,1,1,1,1,1,2
Jmjd2aa300861a1Pk,4,4,2,4,2,2,1
P300kat3bPk,2,1,1,1,1,1,2
Phf8a301772aPk,2,1,1,1,1,1,2
Plu1Pk,2,1,1,1,1,1,2
Rbbp5a300109aStdPk,2,1,1,1,1,1,2
Sirt6Pk,2,1,1,1,1,1,2
Suz12051317Pk,2,1,1,1,1,1,2
Creb1sc240V0422111PkRep1,1,2,3,2,3,3,3
Ctcfsc5916V0416102PkRep1,3,3,4,5,4,5,4
E2f6V0422111PkRep1,1,2,5,2,3,3,3
MaxV0422111PkRep1,1,2,3,2,3,3,3
Pol24h8V0416102PkRep1,1,2,3,2,3,3,3
Pol2V0416102PkRep1,1,2,3,2,3,3,3
Rad21V0416102PkRep1,3,3,4,5,4,5,4
Sin3ak20Pcr1xPkRep1,1,2,3,2,3,3,3
Sp1Pcr1xPkRep1,1,2,3,2,3,3,3
Sp4v20V0422111PkRep1,1,2,3,2,3,3,3
Taf1V0416102PkRep1,1,2,3,2,3,3,3
Usf1Pcr1xPkRep1,5,5,6,3,5,4,5
Yy1sc281V0416102PkRep1,1,2,3,2,3,3,3
Bach1sc14700IggrabPk,1,2,3,2,3,3,3
Chd1a301218aIggrabPk,1,2,3,2,3,3,3
Chd2IggrabPk,1,2,3,2,3,3,3
CmycIggrabPk,1,2,3,2,3,3,3
Ctbp2UcdPk,1,2,3,2,3,3,3
Gtf2f1IggrabPk,1,2,3,2,3,3,3
JundIggrabPk,1,2,3,2,3,3,3
MaxUcdPk,1,2,3,2,3,3,3
Mxi1IggrabPk,1,2,3,2,3,3,3
Rad21IggrabPk,3,3,4,5,4,5,4
Sin3anb6001263IggrabPk,1,2,3,2,3,3,3
TbpIggrabPk,1,2,3,2,3,3,3
Usf2IggrabPk,5,5,6,3,5,4,5
Znf143IggrabPk,3,3,4,5,3,5,4
