,,infomap,walktrap,edge_betweenness,fast_greedy,label_prop,leading_eigen,louvain
wgEncodeBroadHistoneH1hescChd1a301218aStdPk.broadPeak,Chd1a301218aStdPk,2,1,1,1,1,1,5
wgEncodeBroadHistoneH1hescChd7a301223a1Pk.broadPeak,Chd7a301223a1Pk,2,1,1,1,1,1,5
wgEncodeBroadHistoneH1hescCtcfStdPk.broadPeak,CtcfStdPk,8,6,2,6,2,2,1
wgEncodeBroadHistoneH1hescEzh239875Pk.broadPeak,Ezh239875Pk,2,1,1,1,1,1,5
wgEncodeBroadHistoneH1hescH2azStdPk.broadPeak,H2azStdPk,2,1,1,1,1,1,5
wgEncodeBroadHistoneH1hescH3k09me3StdPk.broadPeak,H3k09me3StdPk,9,7,3,7,3,3,2
wgEncodeBroadHistoneH1hescH3k27acStdPk.broadPeak,H3k27acStdPk,2,1,1,1,1,1,5
wgEncodeBroadHistoneH1hescH3k27me3StdPk.broadPeak,H3k27me3StdPk,10,8,4,8,4,4,3
wgEncodeBroadHistoneH1hescH3k36me3StdPk.broadPeak,H3k36me3StdPk,2,1,1,1,1,1,5
wgEncodeBroadHistoneH1hescH3k4me1StdPk.broadPeak,H3k4me1StdPk,2,1,1,1,1,1,5
wgEncodeBroadHistoneH1hescH3k4me2StdPk.broadPeak,H3k4me2StdPk,4,4,5,4,5,5,4
wgEncodeBroadHistoneH1hescH3k4me3StdPk.broadPeak,H3k4me3StdPk,4,4,5,4,5,5,4
wgEncodeBroadHistoneH1hescH3k79me2StdPk.broadPeak,H3k79me2StdPk,2,1,1,1,1,1,5
wgEncodeBroadHistoneH1hescH3k9acStdPk.broadPeak,H3k9acStdPk,2,1,1,1,1,1,5
wgEncodeBroadHistoneH1hescH4k20me1StdPk.broadPeak,H4k20me1StdPk,2,1,1,1,1,1,5
wgEncodeBroadHistoneH1hescHdac2a300705aPk.broadPeak,Hdac2a300705aPk,2,1,1,1,1,1,5
wgEncodeBroadHistoneH1hescHdac6a301341aPk.broadPeak,Hdac6a301341aPk,2,1,1,1,1,1,5
wgEncodeBroadHistoneH1hescJarid1aab26049StdPk.broadPeak,Jarid1aab26049StdPk,11,9,6,9,6,6,6
wgEncodeBroadHistoneH1hescJmjd2aa300861a1Pk.broadPeak,Jmjd2aa300861a1Pk,4,4,5,4,5,5,4
wgEncodeBroadHistoneH1hescP300kat3bPk.broadPeak,P300kat3bPk,2,1,1,1,1,1,5
wgEncodeBroadHistoneH1hescPhf8a301772aPk.broadPeak,Phf8a301772aPk,2,1,1,1,1,1,5
wgEncodeBroadHistoneH1hescPlu1Pk.broadPeak,Plu1Pk,2,1,1,1,1,1,5
wgEncodeBroadHistoneH1hescRbbp5a300109aStdPk.broadPeak,Rbbp5a300109aStdPk,2,1,1,1,1,1,5
wgEncodeBroadHistoneH1hescSap3039731Pk.broadPeak,Sap3039731Pk,12,10,7,10,7,7,7
wgEncodeBroadHistoneH1hescSirt6Pk.broadPeak,Sirt6Pk,2,1,1,1,1,1,5
wgEncodeBroadHistoneH1hescSuz12051317Pk.broadPeak,Suz12051317Pk,2,1,1,1,1,1,5
wgEncodeHaibTfbsH1hescAtf2sc81188V0422111PkRep1.broadPeak,Atf2sc81188V0422111PkRep1,13,11,8,11,8,8,8
wgEncodeHaibTfbsH1hescAtf3V0416102PkRep1.broadPeak,Atf3V0416102PkRep1,6,12,9,12,9,9,9
wgEncodeHaibTfbsH1hescBcl11aPcr1xPkRep1.broadPeak,Bcl11aPcr1xPkRep1,7,13,10,13,10,10,10
wgEncodeHaibTfbsH1hescCreb1sc240V0422111PkRep1.broadPeak,Creb1sc240V0422111PkRep1,1,2,11,2,11,11,31
wgEncodeHaibTfbsH1hescCtcfsc5916V0416102PkRep1.broadPeak,Ctcfsc5916V0416102PkRep1,3,3,12,5,12,37,33
wgEncodeHaibTfbsH1hescE2f6V0422111PkRep1.broadPeak,E2f6V0422111PkRep1,1,2,13,2,11,11,31
wgEncodeHaibTfbsH1hescEgr1V0416102PkRep1.broadPeak,Egr1V0416102PkRep1,14,14,14,14,13,12,11
wgEncodeHaibTfbsH1hescFosl1sc183V0416102PkRep1.broadPeak,Fosl1sc183V0416102PkRep1,15,15,15,15,14,13,12
wgEncodeHaibTfbsH1hescGabpPcr1xPkRep1.broadPeak,GabpPcr1xPkRep1,16,16,16,16,15,14,13
