"","wgEncodeBroadHistoneH1hescChd1a301218aStdPk.broadPeak","wgEncodeBroadHistoneH1hescChd7a301223a1Pk.broadPeak","wgEncodeBroadHistoneH1hescCtcfStdPk.broadPeak","wgEncodeBroadHistoneH1hescEzh239875Pk.broadPeak","wgEncodeBroadHistoneH1hescH2azStdPk.broadPeak","wgEncodeBroadHistoneH1hescH3k09me3StdPk.broadPeak","wgEncodeBroadHistoneH1hescH3k27acStdPk.broadPeak","wgEncodeBroadHistoneH1hescH3k27me3StdPk.broadPeak","wgEncodeBroadHistoneH1hescH3k36me3StdPk.broadPeak","wgEncodeBroadHistoneH1hescH3k4me1StdPk.broadPeak","wgEncodeBroadHistoneH1hescH3k4me2StdPk.broadPeak","wgEncodeBroadHistoneH1hescH3k4me3StdPk.broadPeak","wgEncodeBroadHistoneH1hescH3k79me2StdPk.broadPeak","wgEncodeBroadHistoneH1hescH3k9acStdPk.broadPeak","wgEncodeBroadHistoneH1hescH4k20me1StdPk.broadPeak","wgEncodeBroadHistoneH1hescHdac2a300705aPk.broadPeak","wgEncodeBroadHistoneH1hescHdac6a301341aPk.broadPeak","wgEncodeBroadHistoneH1hescJarid1aab26049StdPk.broadPeak","wgEncodeBroadHistoneH1hescJmjd2aa300861a1Pk.broadPeak","wgEncodeBroadHistoneH1hescP300kat3bPk.broadPeak","wgEncodeBroadHistoneH1hescPhf8a301772aPk.broadPeak","wgEncodeBroadHistoneH1hescPlu1Pk.broadPeak","wgEncodeBroadHistoneH1hescRbbp5a300109aStdPk.broadPeak","wgEncodeBroadHistoneH1hescSap3039731Pk.broadPeak","wgEncodeBroadHistoneH1hescSirt6Pk.broadPeak","wgEncodeBroadHistoneH1hescSuz12051317Pk.broadPeak","wgEncodeHaibTfbsH1hescAtf2sc81188V0422111PkRep1.broadPeak","wgEncodeHaibTfbsH1hescAtf3V0416102PkRep1.broadPeak","wgEncodeHaibTfbsH1hescBcl11aPcr1xPkRep1.broadPeak","wgEncodeHaibTfbsH1hescCreb1sc240V0422111PkRep1.broadPeak","wgEncodeHaibTfbsH1hescCtcfsc5916V0416102PkRep1.broadPeak","wgEncodeHaibTfbsH1hescE2f6V0422111PkRep1.broadPeak","wgEncodeHaibTfbsH1hescEgr1V0416102PkRep1.broadPeak","wgEncodeHaibTfbsH1hescFosl1sc183V0416102PkRep1.broadPeak","wgEncodeHaibTfbsH1hescGabpPcr1xPkRep1.broadPeak","wgEncodeHaibTfbsH1hescHdac2sc6296V0416102PkRep1.broadPeak","wgEncodeHaibTfbsH1hescJundV0416102PkRep1.broadPeak","wgEncodeHaibTfbsH1hescMaxV0422111PkRep1.broadPeak","wgEncodeHaibTfbsH1hescNanogsc33759V0416102PkRep1.broadPeak","wgEncodeHaibTfbsH1hescNrsfV0416102PkRep1.broadPeak","wgEncodeHaibTfbsH1hescP300V0416102PkRep1.broadPeak","wgEncodeHaibTfbsH1hescPol24h8V0416102PkRep1.broadPeak","wgEncodeHaibTfbsH1hescPol2V0416102PkRep1.broadPeak","wgEncodeHaibTfbsH1hescPou5f1sc9081V0416102PkRep1.broadPeak","wgEncodeHaibTfbsH1hescRad21V0416102PkRep1.broadPeak","wgEncodeHaibTfbsH1hescRxraV0416102PkRep1.broadPeak","wgEncodeHaibTfbsH1hescSin3ak20Pcr1xPkRep1.broadPeak","wgEncodeHaibTfbsH1hescSix5Pcr1xPkRep1.broadPeak","wgEncodeHaibTfbsH1hescSp1Pcr1xPkRep1.broadPeak","wgEncodeHaibTfbsH1hescSp2V0422111PkRep1.broadPeak","wgEncodeHaibTfbsH1hescSp4v20V0422111PkRep1.broadPeak","wgEncodeHaibTfbsH1hescSrfPcr1xPkRep1.broadPeak","wgEncodeHaibTfbsH1hescTaf1V0416102PkRep1.broadPeak","wgEncodeHaibTfbsH1hescTaf7sc101167V0416102PkRep1.broadPeak","wgEncodeHaibTfbsH1hescTcf12Pcr1xPkRep1.broadPeak","wgEncodeHaibTfbsH1hescTead4sc101184V0422111PkRep1.broadPeak","wgEncodeHaibTfbsH1hescUsf1Pcr1xPkRep1.broadPeak","wgEncodeHaibTfbsH1hescYy1sc281V0416102PkRep1.broadPeak","wgEncodeSydhTfbsH1hescBach1sc14700IggrabPk.narrowPeak","wgEncodeSydhTfbsH1hescBrca1IggrabPk.narrowPeak","wgEncodeSydhTfbsH1hescCebpbIggrabPk.narrowPeak","wgEncodeSydhTfbsH1hescChd1a301218aIggrabPk.narrowPeak","wgEncodeSydhTfbsH1hescChd2IggrabPk.narrowPeak","wgEncodeSydhTfbsH1hescCjunIggrabPk.narrowPeak","wgEncodeSydhTfbsH1hescCmycIggrabPk.narrowPeak","wgEncodeSydhTfbsH1hescCtbp2UcdPk.narrowPeak","wgEncodeSydhTfbsH1hescGtf2f1IggrabPk.narrowPeak","wgEncodeSydhTfbsH1hescJundIggrabPk.narrowPeak","wgEncodeSydhTfbsH1hescMafkIggrabPk.narrowPeak","wgEncodeSydhTfbsH1hescMaxUcdPk.narrowPeak","wgEncodeSydhTfbsH1hescMxi1IggrabPk.narrowPeak","wgEncodeSydhTfbsH1hescNrf1IggrabPk.narrowPeak","wgEncodeSydhTfbsH1hescRad21IggrabPk.narrowPeak","wgEncodeSydhTfbsH1hescRfx5200401194IggrabPk.narrowPeak","wgEncodeSydhTfbsH1hescSin3anb6001263IggrabPk.narrowPeak","wgEncodeSydhTfbsH1hescSuz12UcdPk.narrowPeak","wgEncodeSydhTfbsH1hescTbpIggrabPk.narrowPeak","wgEncodeSydhTfbsH1hescUsf2IggrabPk.narrowPeak","wgEncodeSydhTfbsH1hescZnf143IggrabPk.narrowPeak","wgEncodeSydhTfbsH1hescZnf274m01UcdPk.narrowPeak"
"wgEncodeBroadHistoneH1hescChd1a301218aStdPk.broadPeak",1,0.312454340221617,0.0945201705561162,0.247594355239548,0.145042712035919,0.104084881853878,0.32807488314279,0.156052150739522,0.215067730921279,0.312227959206198,0.198368846370197,0.139233056747631,0.2240168440601,0.309157181253571,0.279479106698395,0.293626368520513,0.31916735237476,0.193487252980855,0.169277384549866,0.297776358656343,0.225249378371413,0.282127944749658,0.286220521334065,0.18967141726747,0.295437722268685,0.266921827279893,0.0114089197560713,0.00143180723487469,0.000960850894812219,0.0125353855874717,0.0162072750109263,0.0151884212898931,0.00208809145706826,0.00092712691809506,0.0112897005156666,0.00142679125154757,0.00227520220502537,0.0307709013577343,0.00190936581551719,0.0040787379152358,0.00180777402775512,0.0381609839164104,0.0593926803629029,0.00195478589642049,0.0185681185880341,0.000486358501307335,0.0153571030545399,0.00191676736165406,0.0173246904523528,0.00192610797179165,0.00682052158087521,0.00176391502924207,0.0287007780918253,0.00507828336641558,0.00776792669111375,0.0178564884577447,0.00816231825024173,0.0188001943006814,0.0231246433666777,0.00654016776465377,0.0160377124989048,0.0173685890011194,0.0246436753184929,0.00559481177949775,0.0171564527925245,0.0247454516796479,0.0203746323187079,0.0287824777366265,0.00902899878643875,0.025701350460914,0.0203911264988516,0.0051270523942347,0.0277835960969739,0.00325057008114601,0.0558548907992779,0.00887504441836428,0.031715928303616,0.0117996239046299,0.0331919506642175,0.00102945566581475
"wgEncodeBroadHistoneH1hescChd7a301223a1Pk.broadPeak",0.312454340221617,1,0.0763801145092304,0.231515600778824,0.179224681437944,0.114730852411848,0.31452560686436,0.132098211396346,0.220969965880951,0.28486333534222,0.128289815275132,0.087406699799511,0.180700423695381,0.278961386373102,0.286804327512098,0.273222798234167,0.391781694509717,0.177871174045162,0.122886002548335,0.360701147576798,0.202364555065341,0.371058021731672,0.240521976066141,0.140354063766639,0.414009038496047,0.351839841168743,0.00760747476576655,0.000972138847739877,0.000788025701003106,0.00809942786733801,0.0134317533251784,0.00996618662368058,0.00144829052177405,0.000670388517042658,0.00829226467638917,0.00100486620619854,0.00161943861493852,0.0200823544097524,0.00154667063695815,0.00302663366386401,0.00126913267901032,0.0245043462536902,0.0368519224251672,0.00149208872179913,0.0153802503856182,0.000371168413907608,0.00948661816212489,0.00127460761897459,0.0117206113714371,0.0012625206706089,0.00454113375160144,0.00122113093060082,0.0171305050890454,0.00308047446574564,0.00549870942633588,0.0126805022050847,0.00601118965621663,0.012278884890438,0.0154135279010674,0.00438528658788716,0.0118541042825631,0.0100686375174419,0.0162700949718084,0.00396073761836979,0.0113355193881207,0.0157204772310333,0.0135648173720199,0.0196062919410263,0.00680506412971356,0.0172364659893686,0.0131376072151673,0.00337796417220447,0.021627423673191,0.0022167090013685,0.0344965877051273,0.00604157990601558,0.0197413013536775,0.00812629233939676,0.0238751525874326,0.000686837568904701
"wgEncodeBroadHistoneH1hescCtcfStdPk.broadPeak",0.0945201705561162,0.0763801145092304,1,0.10622436066917,0.0543776992109076,0.0519103341522598,0.0861082851914598,0.113803659395384,0.0673790521457773,0.0970227816789879,0.109123328838226,0.104531725192243,0.0586756097574579,0.111277473555142,0.0795799597303437,0.102004365566724,0.074489835802898,0.0907394179649703,0.110539552086081,0.0897183901576692,0.0977428600708542,0.0792633842788893,0.123342944936082,0.110680026689618,0.0684794517025742,0.0617583783039862,0.0212587038067118,0.00349909251949611,0.00109566342575585,0.0231683117357444,0.149962758887951,0.024986024507286,0.00395931056159993,0.00233700065813207,0.0319542966049486,0.00295530719417213,0.00367491594556755,0.0513930880867656,0.00183557643735946,0.00719147581720019,0.00313270193056867,0.0367872891751258,0.0488255172481085,0.00227329721784854,0.164212767954475,0.00141796954790362,0.0220465012083766,0.00325645026385307,0.0233388644488531,0.00368455129154865,0.0121423849166419,0.00290383907825096,0.0358007252986969,0.00769473526319324,0.0153748386835214,0.0373065654542399,0.0148910898417986,0.0422833619817641,0.0417541141992731,0.0162972248821231,0.0315689332957394,0.0186324950696857,0.043268760512216,0.0118599341703352,0.0358192754942243,0.0338543677817183,0.0490106831184404,0.0581728113517387,0.016090248927959,0.048300625965653,0.0380123846479999,0.00913699140238511,0.187419345405587,0.00689265417213476,0.0756954679361803,0.0134719194692266,0.0470540770734245,0.024750109054018,0.111578223412804,0.0033942520065332
"wgEncodeBroadHistoneH1hescEzh239875Pk.broadPeak",0.247594355239548,0.231515600778824,0.10622436066917,1,0.140634917154166,0.10378220355961,0.21414390797359,0.217298941413561,0.128154563572368,0.256601914927343,0.172840649908467,0.132979589884164,0.11366910330736,0.257219727444388,0.191100857538625,0.310891638556471,0.248742586802936,0.179943739241527,0.192925249998824,0.271168460425195,0.222612513870038,0.239016723643905,0.263981356312641,0.184459014571197,0.214259522169147,0.21422558517483,0.0114536395786047,0.00154841482100217,0.00105929143353675,0.0136893176283993,0.0205444609617553,0.0205872873538657,0.0024546955739731,0.00112410940896577,0.0157077518682318,0.00169832413467294,0.00250505866030278,0.0382480725891435,0.00202113309062677,0.00495046948947566,0.00193681463206048,0.0305904238985977,0.0467723578260244,0.00212211895746956,0.0232152168107057,0.000664413824114007,0.0162645455116649,0.00197110557161898,0.0180298603659655,0.00192195631764978,0.00723020400483765,0.00169651299051318,0.0284421134037736,0.00469549644148326,0.0091114086315101,0.0186079209586095,0.00911672873020411,0.0199802005690835,0.0277053119982191,0.00709729465873092,0.0163871466346614,0.0155659766128057,0.0268176835038529,0.00595717373515568,0.0189467711479602,0.0324659106974236,0.0224171989579327,0.0307511301826954,0.00875269745321547,0.0286286301985801,0.0228393502606744,0.00553074336856854,0.0338146260895309,0.00361888673591119,0.0614828470845297,0.0125118026011577,0.0341177483709492,0.0135044886997883,0.0396001487146266,0.00145618966275503
"wgEncodeBroadHistoneH1hescH2azStdPk.broadPeak",0.145042712035919,0.179224681437944,0.0543776992109076,0.140634917154166,1,0.137643224424578,0.134311380307772,0.0901279451107926,0.0645444778786593,0.131003651443776,0.0697877785798687,0.0522869778954519,0.0320863322515709,0.127089974945649,0.0695190829100956,0.14814008743792,0.210786339620336,0.118036353440926,0.0773162623046403,0.173919817498097,0.113597674477074,0.240440559799661,0.120502727413801,0.0721630522206153,0.221168069224459,0.267865821025211,0.00438141265957408,0.000737559959736851,0.000332543132430401,0.00590132644601909,0.01027925216634,0.00790034375380597,0.000870957608310589,0.000407651097418652,0.00486379275242979,0.000548114454347913,0.000890557223661008,0.0149500747909811,0.000667041090874624,0.00189464294794166,0.000715380375387212,0.0103564885689707,0.0177075893315246,0.000781302971299232,0.0129107521978359,0.000199449790715733,0.0064140015945384,0.00115202977498583,0.00759254415235955,0.000952772117824021,0.00310314183893791,0.000963670032114586,0.0129083710630694,0.00197260417219455,0.00305177764821036,0.00874784326281733,0.00497088977839312,0.00911559675370551,0.0113425243816481,0.00303604159208492,0.00943774958274346,0.00613923812549397,0.0108144252720819,0.00281666461490461,0.00827329312885523,0.0103974953449583,0.00932114254812902,0.0143304658338163,0.00567095807460127,0.013481680557353,0.00941009457731411,0.00231008985244704,0.0181746950235619,0.00164752314447497,0.0235093210487997,0.0028570155457684,0.0144013124957658,0.005770005946142,0.0176989453015996,0.000507968710226129
"wgEncodeBroadHistoneH1hescH3k09me3StdPk.broadPeak",0.104084881853878,0.114730852411848,0.0519103341522598,0.10378220355961,0.137643224424578,1,0.107219219712936,0.0756295031292987,0.0909648103062383,0.0852755697700275,0.0365720925089333,0.0364091074610583,0.0628230406964876,0.0966262522272539,0.0772082354898423,0.111601183041505,0.136573969624398,0.0951611708045681,0.0561633064778153,0.122925387529463,0.0888445385636625,0.155794207731791,0.0785625814955522,0.0593506457780158,0.140387054725872,0.145700801245633,0.00187411882340041,0.000351780038994846,0.000456954447694322,0.00136186088859799,0.00532142444939704,0.00239219556716784,0.000391634585614352,0.000278612992208668,0.00150051294336673,0.000350713229938139,0.00050341664526856,0.00422949840220173,0.000741237912957084,0.00179027618466165,0.000453102588857899,0.00578215717979241,0.00975131429983955,0.000919416772830495,0.00671730121300233,0.000301048687558574,0.00154851086149294,0.000533591729852544,0.00278694080654049,0.000292087216681896,0.000640060497403829,0.000531330838723359,0.00322868018389225,0.000679773966397024,0.00228741669845473,0.00459395186706123,0.0025529103032469,0.00341895320004112,0.00361056302137045,0.0010062856522547,0.0048990274890275,0.00238240463992866,0.00367825183797877,0.00148416647923852,0.00282441782306937,0.0037830510055641,0.00514004806121586,0.0051462898534045,0.00363397178625406,0.00599222150203207,0.00248833616739278,0.000767066997418534,0.00847448963998321,0.000588059858187822,0.00603451957078893,0.00433583970572306,0.0035926682032486,0.00217766458964707,0.0113259950634422,0.00253320402181959
"wgEncodeBroadHistoneH1hescH3k27acStdPk.broadPeak",0.32807488314279,0.31452560686436,0.0861082851914598,0.21414390797359,0.134311380307772,0.107219219712936,1,0.104116199997395,0.262463740397343,0.299268673266422,0.149051477601675,0.102790552877264,0.239069279555459,0.351902721483429,0.297248950107264,0.291670046395275,0.318086133563842,0.187756703580523,0.139472421455838,0.313739806030937,0.227777133158268,0.290623303536054,0.272085647311535,0.167449617556848,0.309431205571648,0.266151155367552,0.0103004978617432,0.0013950389623949,0.000857691814484187,0.0111304392815679,0.0123679786257351,0.00998541020867954,0.00170391208100396,0.0008263458440907,0.00886004175825951,0.00114295944699268,0.00210479854305479,0.0226436180843831,0.00154308822949842,0.00299436511109182,0.00172460036097291,0.0348757699364411,0.0528205306894442,0.00171020955507302,0.0143188548929838,0.000399876672459692,0.0131594333865507,0.00187247657696059,0.0158747283491511,0.00186385959345777,0.0065202737875124,0.0017764005529502,0.0256428819691917,0.00487118778457664,0.0060644239848535,0.0151746254361314,0.00707958595748472,0.0154774969743557,0.0174853943656492,0.00570655328876992,0.013654250857533,0.0147826004641537,0.020919859103519,0.00507759309094389,0.0147609157856315,0.0135427715244502,0.0173841758627928,0.0247797734447319,0.00824925191923665,0.0208336694366025,0.0170131550532083,0.00448306783820113,0.021252243268326,0.00285519643812712,0.0415486546857836,0.00259354115738173,0.0263629540365294,0.0101487828347103,0.0254330293040238,0.000840469667368513
"wgEncodeBroadHistoneH1hescH3k27me3StdPk.broadPeak",0.156052150739522,0.132098211396346,0.113803659395384,0.217298941413561,0.0901279451107926,0.0756295031292987,0.104116199997395,1,0.0724802860757832,0.154223502125171,0.138870454103683,0.11982013472943,0.0418571123930254,0.159058838296638,0.124701681468616,0.167708574035307,0.145387230310523,0.132505630488985,0.155075102787283,0.162619391307778,0.157611714866694,0.139096889885527,0.19753848611942,0.131646845536195,0.128947999982996,0.133465019522192,0.00526546326204933,0.000993120277490012,0.000816653531352173,0.00778082827132799,0.0150845490815792,0.0207196494696337,0.00188573633949036,0.000935090537999202,0.0141840644276361,0.00121302114093234,0.00163017370606285,0.0324650339395656,0.0017618749245717,0.00542677509800439,0.00118198123925344,0.0133417593174443,0.0225376675065376,0.00182038555424732,0.0164034760584878,0.000891878388048114,0.00818664671475391,0.00106425097256742,0.01031470630029,0.000912764510238247,0.003232673104057,0.00101258223854323,0.0137130559651855,0.00158035443567988,0.00797059324514559,0.0119508293431714,0.00747160033201731,0.0120606833836739,0.022608803470709,0.00387973756169378,0.0111528323699025,0.00748929717083364,0.0155665780888498,0.00384032941719146,0.0116782996512476,0.034275585399106,0.0132594250328432,0.0186361787980828,0.00585622771392362,0.0205798318254662,0.0139878812304065,0.00317253624722825,0.0238988014421177,0.00223924918573777,0.0451859274325684,0.0195912523668864,0.0207114075106013,0.00893799045287296,0.0290876535058311,0.00218378045201025
"wgEncodeBroadHistoneH1hescH3k36me3StdPk.broadPeak",0.215067730921279,0.220969965880951,0.0673790521457773,0.128154563572368,0.0645444778786593,0.0909648103062383,0.262463740397343,0.0724802860757832,1,0.166909920747275,0.0885103541643106,0.0680567579309693,0.273675952330137,0.187162587621245,0.375697128082676,0.159045029805921,0.234879132248702,0.134346992971548,0.0796616419874947,0.212050793585594,0.151132639975135,0.220174218456638,0.151379736408918,0.113071488841765,0.240707068686346,0.185555118960105,0.00511062288943389,0.000743411998289723,0.000391911857699239,0.00507575803723984,0.00827580226740683,0.00453229800633933,0.000816867949742112,0.000465642125302216,0.00426176687126883,0.000527925298215466,0.000965508639135749,0.0103346292963638,0.000708263260342231,0.0019227274516835,0.000756605855410084,0.0266784691679149,0.0395346118594397,0.000814599991386001,0.00922749103005232,0.000309927358302398,0.00658441407435491,0.000938758758475599,0.0065057254264013,0.000931861383954768,0.00298903659893877,0.000848867274922808,0.0114329625586362,0.00245815695241165,0.00290338637822577,0.0069081625067843,0.00378283614914603,0.00729215515628627,0.00806538806562004,0.0029251976473063,0.00778599800435172,0.00808343228540864,0.0100704252135568,0.00241856973105017,0.00735882119043602,0.00573082872924613,0.00932754607026497,0.0111043245999332,0.0049787974330889,0.00984050866729842,0.00823346954470768,0.00242907202285398,0.0123368593523547,0.00140673479911618,0.0199690812145963,0.00182474128011145,0.0115850715099431,0.00526644827258257,0.0131049693612141,0.00142919532301661
"wgEncodeBroadHistoneH1hescH3k4me1StdPk.broadPeak",0.312227959206198,0.28486333534222,0.0970227816789879,0.256601914927343,0.131003651443776,0.0852755697700275,0.299268673266422,0.154223502125171,0.166909920747275,1,0.231510167210788,0.13658534746339,0.216475684676585,0.278275209199967,0.234502582915974,0.274019453674772,0.24895970141234,0.178619344920771,0.165719077565415,0.263053569492366,0.197418907628458,0.227371323237077,0.296194283708533,0.184890209835211,0.238301857157774,0.209688561276807,0.0102441673142985,0.00109178181030112,0.00127632801968405,0.00929813678586278,0.0171200151745828,0.0150593815028236,0.00173710854242504,0.000763707417900888,0.0115900336676961,0.00147812923098321,0.00231444237517081,0.029285856788286,0.00267997153362971,0.00409616528123082,0.0017419884402918,0.0298881700842369,0.0483529771537956,0.00266164199286058,0.020121318586445,0.00059391244534917,0.011261347993818,0.00128180233096025,0.0169375256952018,0.0012442544284025,0.00481530367230357,0.00162371915584371,0.021039622928997,0.00286028067733169,0.00903751636672564,0.0209123332205573,0.00899755534309239,0.0160191271208798,0.023230065515656,0.0052184913074395,0.0174773533643598,0.0135606421062993,0.0218298302932684,0.006122923554094,0.014946364389414,0.0252706739259078,0.0173926440107271,0.0297153924582674,0.0107881340588384,0.0274113892765673,0.0176118571841715,0.00383784726864677,0.0291776495115363,0.00302207566347153,0.0516999363628977,0.0101715954838194,0.0261804885851661,0.0112303114140525,0.0323974837129789,0.00104956292990104
