,infomap,walktrap,edge_betweenness,fast_greedy,label_prop,leading_eigen,louvain
CfosEtoh01HvdPk,1,1,1,2,1,1,2
CfosTam112hHvdPk,1,1,1,2,1,1,2
CfosTam14hHvdPk,1,1,1,2,1,1,2
CfosTamHvdPk,1,1,1,2,1,1,2
CmycEtoh01HvdPk,1,1,1,1,1,2,1
CmycTam14hHvdPk,1,1,1,2,1,1,1
E2f4TamHvdPk,1,1,1,1,1,2,1
Pol2Etoh01StdPk,2,2,2,1,2,2,1
Pol2TamStdPk,2,2,2,1,2,2,1
Stat3Tam112hHvdPk,1,1,1,2,1,1,2
Stat3TamStdPk,1,1,1,2,1,1,2
