"","wgEncodeSydhTfbsMcf10aesCfosEtoh01HvdPk.narrowPeak","wgEncodeSydhTfbsMcf10aesCfosTam112hHvdPk.narrowPeak","wgEncodeSydhTfbsMcf10aesCfosTam14hHvdPk.narrowPeak","wgEncodeSydhTfbsMcf10aesCfosTamHvdPk.narrowPeak","wgEncodeSydhTfbsMcf10aesCmycEtoh01HvdPk.narrowPeak","wgEncodeSydhTfbsMcf10aesCmycTam14hHvdPk.narrowPeak","wgEncodeSydhTfbsMcf10aesE2f4TamHvdPk.narrowPeak","wgEncodeSydhTfbsMcf10aesPol2Etoh01StdPk.narrowPeak","wgEncodeSydhTfbsMcf10aesPol2TamStdPk.narrowPeak","wgEncodeSydhTfbsMcf10aesStat3Etoh01StdPk.narrowPeak","wgEncodeSydhTfbsMcf10aesStat3Tam112hHvdPk.narrowPeak","wgEncodeSydhTfbsMcf10aesStat3TamStdPk.narrowPeak"
"wgEncodeSydhTfbsMcf10aesCfosEtoh01HvdPk.narrowPeak",1,0.549815229892967,0.574849771998037,0.582065189884837,0.354536068000809,0.395494747571878,0.193222180173384,0.155826680772718,0.102175347545079,0.192262693276735,0.363971238280795,0.334649409623547
"wgEncodeSydhTfbsMcf10aesCfosTam112hHvdPk.narrowPeak",0.549815229892967,1,0.712362197875894,0.603987708155699,0.298345954370087,0.372362881919817,0.178898765695282,0.148434570564435,0.107827383886411,0.176245245314086,0.392745206093155,0.378079574151368
"wgEncodeSydhTfbsMcf10aesCfosTam14hHvdPk.narrowPeak",0.574849771998037,0.712362197875894,1,0.588807896563999,0.310920109574097,0.386526488477836,0.175588535018345,0.146253871943697,0.101758390941591,0.182325525756616,0.382481096933101,0.370029800559396
"wgEncodeSydhTfbsMcf10aesCfosTamHvdPk.narrowPeak",0.582065189884837,0.603987708155699,0.588807896563999,1,0.305082259108538,0.366150088087087,0.201409616640744,0.145781241261173,0.110517986062391,0.178031440379119,0.397142487896672,0.386798823079715
"wgEncodeSydhTfbsMcf10aesCmycEtoh01HvdPk.narrowPeak",0.354536068000809,0.298345954370087,0.310920109574097,0.305082259108538,1,0.492444415390534,0.255677148176368,0.270262514673223,0.1877286575089,0.195716195479753,0.295117527953104,0.272029213814793
"wgEncodeSydhTfbsMcf10aesCmycTam14hHvdPk.narrowPeak",0.395494747571878,0.372362881919817,0.386526488477836,0.366150088087087,0.492444415390534,1,0.24199272726385,0.227902093624961,0.158607851941684,0.205774009628755,0.373053390559315,0.332548563901582
"wgEncodeSydhTfbsMcf10aesE2f4TamHvdPk.narrowPeak",0.193222180173384,0.178898765695282,0.175588535018345,0.201409616640744,0.255677148176368,0.24199272726385,1,0.17786786711623,0.144623479448887,0.125362707930226,0.196277877935108,0.19250822161272
"wgEncodeSydhTfbsMcf10aesPol2Etoh01StdPk.narrowPeak",0.155826680772718,0.148434570564435,0.146253871943697,0.145781241261173,0.270262514673223,0.227902093624961,0.17786786711623,1,0.333472707442546,0.124494284763473,0.157310582129899,0.154533883530633
"wgEncodeSydhTfbsMcf10aesPol2TamStdPk.narrowPeak",0.102175347545079,0.107827383886411,0.101758390941591,0.110517986062391,0.1877286575089,0.158607851941684,0.144623479448887,0.333472707442546,1,0.090454876439177,0.119626615779433,0.123465794662955
"wgEncodeSydhTfbsMcf10aesStat3Etoh01StdPk.narrowPeak",0.192262693276735,0.176245245314086,0.182325525756616,0.178031440379119,0.195716195479753,0.205774009628755,0.125362707930226,0.124494284763473,0.090454876439177,1,0.216643241144491,0.206150259944457
"wgEncodeSydhTfbsMcf10aesStat3Tam112hHvdPk.narrowPeak",0.363971238280795,0.392745206093155,0.382481096933101,0.397142487896672,0.295117527953104,0.373053390559315,0.196277877935108,0.157310582129899,0.119626615779433,0.216643241144491,1,0.530581341918555
"wgEncodeSydhTfbsMcf10aesStat3TamStdPk.narrowPeak",0.334649409623547,0.378079574151368,0.370029800559396,0.386798823079715,0.272029213814793,0.332548563901582,0.19250822161272,0.154533883530633,0.123465794662955,0.206150259944457,0.530581341918555,1
