"filename","size"
"wgEncodeHaibTfbsEcc1Cebpbsc150V0422111PkRep1.broadPeak.csv",6432036
"wgEncodeHaibTfbsEcc1Creb1sc240V0422111PkRep1.broadPeak.csv",1958687
"wgEncodeHaibTfbsEcc1CtcfcV0416102Dm002p1hPkRep1.broadPeak.csv",5826343
"wgEncodeHaibTfbsEcc1Egr1V0422111PkRep1.broadPeak.csv",3265463
"wgEncodeHaibTfbsEcc1EraaV0416102Bpa1hPkRep1.broadPeak.csv",1151133
"wgEncodeHaibTfbsEcc1EralphaaV0416102Est10nm1hPkRep1.broadPeak.csv",5943025
"wgEncodeHaibTfbsEcc1EralphaaV0416102Gen1hPkRep1.broadPeak.csv",2419041
"wgEncodeHaibTfbsEcc1Foxa1sc6553V0416102Dm002p1hPkRep1.broadPeak.csv",1155899
"wgEncodeHaibTfbsEcc1Foxm1sc502V0422111PkRep1.broadPeak.csv",6046686
"wgEncodeHaibTfbsEcc1GrV0416102Dex100nmPkRep1.broadPeak.csv",3195470
"wgEncodeHaibTfbsEcc1MaxV0422111PkRep1.broadPeak.csv",22189943
"wgEncodeHaibTfbsEcc1Nficsc81335V0422111PkRep1.broadPeak.csv",17357039
"wgEncodeHaibTfbsEcc1NrsfV0422111PkRep1.broadPeak.csv",4817528
"wgEncodeHaibTfbsEcc1P300V0422111PkRep1.broadPeak.csv",19945163
"wgEncodeHaibTfbsEcc1Pol2V0416102Dm002p1hPkRep1.broadPeak.csv",15586196
"wgEncodeHaibTfbsEcc1Rad21V0422111PkRep1.broadPeak.csv",21762108
"wgEncodeHaibTfbsEcc1SrfV0422111PkRep1.broadPeak.csv",5465144
"wgEncodeHaibTfbsEcc1Taf1V0422111PkRep1.broadPeak.csv",11747693
"wgEncodeHaibTfbsEcc1Tcf12V0422111PkRep1.broadPeak.csv",23051813
"wgEncodeHaibTfbsEcc1Tead4sc101184V0422111PkRep1.broadPeak.csv",15468435
"wgEncodeHaibTfbsEcc1Usf1V0422111PkRep1.broadPeak.csv",7312176
"wgEncodeHaibTfbsEcc1Yy1sc281V0422111PkRep1.broadPeak.csv",8033250
"wgEncodeHaibTfbsEcc1Zbtb7aV0422111PkRep1.broadPeak.csv",11124519
