"","bed1","bed2","jaccard","distance"
"1","wgEncodeHaibTfbsEcc1Cebpbsc150V0422111PkRep1.broadPeak","wgEncodeHaibTfbsEcc1Cebpbsc150V0422111PkRep1.broadPeak",1,"0"
"2","wgEncodeHaibTfbsEcc1Cebpbsc150V0422111PkRep1.broadPeak","wgEncodeHaibTfbsEcc1Creb1sc240V0422111PkRep1.broadPeak",0.0481865686278184,"0.951813431372182"
"3","wgEncodeHaibTfbsEcc1Cebpbsc150V0422111PkRep1.broadPeak","wgEncodeHaibTfbsEcc1CtcfcV0416102Dm002p1hPkRep1.broadPeak",0.0147632813737838,"0.985236718626216"
"4","wgEncodeHaibTfbsEcc1Cebpbsc150V0422111PkRep1.broadPeak","wgEncodeHaibTfbsEcc1Egr1V0422111PkRep1.broadPeak",0.0543149181091584,"0.945685081890842"
"5","wgEncodeHaibTfbsEcc1Cebpbsc150V0422111PkRep1.broadPeak","wgEncodeHaibTfbsEcc1EraaV0416102Bpa1hPkRep1.broadPeak",0.0593061315317941,"0.940693868468206"
"6","wgEncodeHaibTfbsEcc1Cebpbsc150V0422111PkRep1.broadPeak","wgEncodeHaibTfbsEcc1EralphaaV0416102Est10nm1hPkRep1.broadPeak",0.114355748867685,"0.885644251132315"
"7","wgEncodeHaibTfbsEcc1Cebpbsc150V0422111PkRep1.broadPeak","wgEncodeHaibTfbsEcc1EralphaaV0416102Gen1hPkRep1.broadPeak",0.0858684970832337,"0.914131502916766"
"8","wgEncodeHaibTfbsEcc1Cebpbsc150V0422111PkRep1.broadPeak","wgEncodeHaibTfbsEcc1Foxa1sc6553V0416102Dm002p1hPkRep1.broadPeak",0.048027356123934,"0.951972643876066"
"9","wgEncodeHaibTfbsEcc1Cebpbsc150V0422111PkRep1.broadPeak","wgEncodeHaibTfbsEcc1Foxm1sc502V0422111PkRep1.broadPeak",0.181337835499278,"0.818662164500722"
"10","wgEncodeHaibTfbsEcc1Cebpbsc150V0422111PkRep1.broadPeak","wgEncodeHaibTfbsEcc1GrV0416102Dex100nmPkRep1.broadPeak",0.138740831974001,"0.861259168025999"
"11","wgEncodeHaibTfbsEcc1Cebpbsc150V0422111PkRep1.broadPeak","wgEncodeHaibTfbsEcc1MaxV0422111PkRep1.broadPeak",0.117161533315673,"0.882838466684327"
"12","wgEncodeHaibTfbsEcc1Cebpbsc150V0422111PkRep1.broadPeak","wgEncodeHaibTfbsEcc1Nficsc81335V0422111PkRep1.broadPeak",0.138098696560804,"0.861901303439196"
"13","wgEncodeHaibTfbsEcc1Cebpbsc150V0422111PkRep1.broadPeak","wgEncodeHaibTfbsEcc1NrsfV0422111PkRep1.broadPeak",0.0197535273508496,"0.98024647264915"
"14","wgEncodeHaibTfbsEcc1Cebpbsc150V0422111PkRep1.broadPeak","wgEncodeHaibTfbsEcc1P300V0422111PkRep1.broadPeak",0.152105320422152,"0.847894679577848"
"15","wgEncodeHaibTfbsEcc1Cebpbsc150V0422111PkRep1.broadPeak","wgEncodeHaibTfbsEcc1Pol2V0416102Dm002p1hPkRep1.broadPeak",0.066161401809763,"0.933838598190237"
"16","wgEncodeHaibTfbsEcc1Cebpbsc150V0422111PkRep1.broadPeak","wgEncodeHaibTfbsEcc1Rad21V0422111PkRep1.broadPeak",0.0658660979757834,"0.934133902024217"
"17","wgEncodeHaibTfbsEcc1Cebpbsc150V0422111PkRep1.broadPeak","wgEncodeHaibTfbsEcc1SrfV0422111PkRep1.broadPeak",0.12728661280939,"0.87271338719061"
"18","wgEncodeHaibTfbsEcc1Cebpbsc150V0422111PkRep1.broadPeak","wgEncodeHaibTfbsEcc1Taf1V0422111PkRep1.broadPeak",0.0669533163404693,"0.933046683659531"
"19","wgEncodeHaibTfbsEcc1Cebpbsc150V0422111PkRep1.broadPeak","wgEncodeHaibTfbsEcc1Tcf12V0422111PkRep1.broadPeak",0.130364114903765,"0.869635885096235"
"20","wgEncodeHaibTfbsEcc1Cebpbsc150V0422111PkRep1.broadPeak","wgEncodeHaibTfbsEcc1Tead4sc101184V0422111PkRep1.broadPeak",0.173998801582066,"0.826001198417934"
"21","wgEncodeHaibTfbsEcc1Cebpbsc150V0422111PkRep1.broadPeak","wgEncodeHaibTfbsEcc1Usf1V0422111PkRep1.broadPeak",0.0919136556219101,"0.90808634437809"
"22","wgEncodeHaibTfbsEcc1Cebpbsc150V0422111PkRep1.broadPeak","wgEncodeHaibTfbsEcc1Yy1sc281V0422111PkRep1.broadPeak",0.117893853884695,"0.882106146115305"
"23","wgEncodeHaibTfbsEcc1Cebpbsc150V0422111PkRep1.broadPeak","wgEncodeHaibTfbsEcc1Zbtb7aV0422111PkRep1.broadPeak",0.0548251407425467,"0.945174859257453"
"24","wgEncodeHaibTfbsEcc1Creb1sc240V0422111PkRep1.broadPeak","wgEncodeHaibTfbsEcc1Creb1sc240V0422111PkRep1.broadPeak",1,"0"
"25","wgEncodeHaibTfbsEcc1Creb1sc240V0422111PkRep1.broadPeak","wgEncodeHaibTfbsEcc1CtcfcV0416102Dm002p1hPkRep1.broadPeak",0.00900048291860139,"0.990999517081399"
"26","wgEncodeHaibTfbsEcc1Creb1sc240V0422111PkRep1.broadPeak","wgEncodeHaibTfbsEcc1Egr1V0422111PkRep1.broadPeak",0.0890257126930808,"0.910974287306919"
"27","wgEncodeHaibTfbsEcc1Creb1sc240V0422111PkRep1.broadPeak","wgEncodeHaibTfbsEcc1EraaV0416102Bpa1hPkRep1.broadPeak",0.0102607500726878,"0.989739249927312"
"28","wgEncodeHaibTfbsEcc1Creb1sc240V0422111PkRep1.broadPeak","wgEncodeHaibTfbsEcc1EralphaaV0416102Est10nm1hPkRep1.broadPeak",0.00960965703452194,"0.990390342965478"
"29","wgEncodeHaibTfbsEcc1Creb1sc240V0422111PkRep1.broadPeak","wgEncodeHaibTfbsEcc1EralphaaV0416102Gen1hPkRep1.broadPeak",0.010505478027873,"0.989494521972127"
"30","wgEncodeHaibTfbsEcc1Creb1sc240V0422111PkRep1.broadPeak","wgEncodeHaibTfbsEcc1Foxa1sc6553V0416102Dm002p1hPkRep1.broadPeak",0.0203754956768331,"0.979624504323167"
"31","wgEncodeHaibTfbsEcc1Creb1sc240V0422111PkRep1.broadPeak","wgEncodeHaibTfbsEcc1Foxm1sc502V0422111PkRep1.broadPeak",0.0410941890793853,"0.958905810920615"
"32","wgEncodeHaibTfbsEcc1Creb1sc240V0422111PkRep1.broadPeak","wgEncodeHaibTfbsEcc1GrV0416102Dex100nmPkRep1.broadPeak",0.0182406507058915,"0.981759349294108"
"33","wgEncodeHaibTfbsEcc1Creb1sc240V0422111PkRep1.broadPeak","wgEncodeHaibTfbsEcc1MaxV0422111PkRep1.broadPeak",0.0761075813918813,"0.923892418608119"
"34","wgEncodeHaibTfbsEcc1Creb1sc240V0422111PkRep1.broadPeak","wgEncodeHaibTfbsEcc1Nficsc81335V0422111PkRep1.broadPeak",0.0176603132769148,"0.982339686723085"
"35","wgEncodeHaibTfbsEcc1Creb1sc240V0422111PkRep1.broadPeak","wgEncodeHaibTfbsEcc1NrsfV0422111PkRep1.broadPeak",0.0215960605273445,"0.978403939472655"
"36","wgEncodeHaibTfbsEcc1Creb1sc240V0422111PkRep1.broadPeak","wgEncodeHaibTfbsEcc1P300V0422111PkRep1.broadPeak",0.0441761918284549,"0.955823808171545"
"37","wgEncodeHaibTfbsEcc1Creb1sc240V0422111PkRep1.broadPeak","wgEncodeHaibTfbsEcc1Pol2V0416102Dm002p1hPkRep1.broadPeak",0.0940028787837974,"0.905997121216203"
"38","wgEncodeHaibTfbsEcc1Creb1sc240V0422111PkRep1.broadPeak","wgEncodeHaibTfbsEcc1Rad21V0422111PkRep1.broadPeak",0.013084452621738,"0.986915547378262"
"39","wgEncodeHaibTfbsEcc1Creb1sc240V0422111PkRep1.broadPeak","wgEncodeHaibTfbsEcc1SrfV0422111PkRep1.broadPeak",0.145286016393513,"0.854713983606487"
"40","wgEncodeHaibTfbsEcc1Creb1sc240V0422111PkRep1.broadPeak","wgEncodeHaibTfbsEcc1Taf1V0422111PkRep1.broadPeak",0.127302347990709,"0.872697652009291"
"41","wgEncodeHaibTfbsEcc1Creb1sc240V0422111PkRep1.broadPeak","wgEncodeHaibTfbsEcc1Tcf12V0422111PkRep1.broadPeak",0.0715721783264399,"0.92842782167356"
"42","wgEncodeHaibTfbsEcc1Creb1sc240V0422111PkRep1.broadPeak","wgEncodeHaibTfbsEcc1Tead4sc101184V0422111PkRep1.broadPeak",0.0402459612033413,"0.959754038796659"
"43","wgEncodeHaibTfbsEcc1Creb1sc240V0422111PkRep1.broadPeak","wgEncodeHaibTfbsEcc1Usf1V0422111PkRep1.broadPeak",0.0856640343033215,"0.914335965696679"
