"","wgEncodeHaibTfbsEcc1Cebpbsc150V0422111PkRep1.broadPeak","wgEncodeHaibTfbsEcc1Creb1sc240V0422111PkRep1.broadPeak","wgEncodeHaibTfbsEcc1CtcfcV0416102Dm002p1hPkRep1.broadPeak","wgEncodeHaibTfbsEcc1Egr1V0422111PkRep1.broadPeak","wgEncodeHaibTfbsEcc1EraaV0416102Bpa1hPkRep1.broadPeak","wgEncodeHaibTfbsEcc1EralphaaV0416102Est10nm1hPkRep1.broadPeak","wgEncodeHaibTfbsEcc1EralphaaV0416102Gen1hPkRep1.broadPeak","wgEncodeHaibTfbsEcc1Foxa1sc6553V0416102Dm002p1hPkRep1.broadPeak","wgEncodeHaibTfbsEcc1Foxm1sc502V0422111PkRep1.broadPeak","wgEncodeHaibTfbsEcc1GrV0416102Dex100nmPkRep1.broadPeak","wgEncodeHaibTfbsEcc1MaxV0422111PkRep1.broadPeak","wgEncodeHaibTfbsEcc1Nficsc81335V0422111PkRep1.broadPeak","wgEncodeHaibTfbsEcc1NrsfV0422111PkRep1.broadPeak","wgEncodeHaibTfbsEcc1P300V0422111PkRep1.broadPeak","wgEncodeHaibTfbsEcc1Pol2V0416102Dm002p1hPkRep1.broadPeak","wgEncodeHaibTfbsEcc1Rad21V0422111PkRep1.broadPeak","wgEncodeHaibTfbsEcc1SrfV0422111PkRep1.broadPeak","wgEncodeHaibTfbsEcc1Taf1V0422111PkRep1.broadPeak","wgEncodeHaibTfbsEcc1Tcf12V0422111PkRep1.broadPeak","wgEncodeHaibTfbsEcc1Tead4sc101184V0422111PkRep1.broadPeak","wgEncodeHaibTfbsEcc1Usf1V0422111PkRep1.broadPeak","wgEncodeHaibTfbsEcc1Yy1sc281V0422111PkRep1.broadPeak","wgEncodeHaibTfbsEcc1Zbtb7aV0422111PkRep1.broadPeak"
"wgEncodeHaibTfbsEcc1Cebpbsc150V0422111PkRep1.broadPeak",1,0.0481865686278184,0.0147632813737838,0.0543149181091584,0.0593061315317941,0.114355748867685,0.0858684970832337,0.048027356123934,0.181337835499278,0.138740831974001,0.117161533315673,0.138098696560804,0.0197535273508496,0.152105320422152,0.066161401809763,0.0658660979757834,0.12728661280939,0.0669533163404693,0.130364114903765,0.173998801582066,0.0919136556219101,0.117893853884695,0.0548251407425467
"wgEncodeHaibTfbsEcc1Creb1sc240V0422111PkRep1.broadPeak",0.0481865686278184,1,0.00900048291860139,0.0890257126930808,0.0102607500726878,0.00960965703452194,0.010505478027873,0.0203754956768331,0.0410941890793853,0.0182406507058915,0.0761075813918813,0.0176603132769148,0.0215960605273445,0.0441761918284549,0.0940028787837974,0.013084452621738,0.145286016393513,0.127302347990709,0.0715721783264399,0.0402459612033413,0.0856640343033215,0.137732936688042,0.0359594117445842
"wgEncodeHaibTfbsEcc1CtcfcV0416102Dm002p1hPkRep1.broadPeak",0.0147632813737838,0.00900048291860139,1,0.0158469698689695,0.00146326809554545,0.00386778530439469,0.00276687528192004,0.00581311597075608,0.00560573220123279,0.0044554568435374,0.0303438612492277,0.0108028510423005,0.0102068766272272,0.0142356199671449,0.0190982834918039,0.258088988230348,0.0181017922633552,0.0225201841719506,0.0314488771044124,0.0203785545673186,0.0214907313368584,0.0337450857440651,0.0310128714954948
"wgEncodeHaibTfbsEcc1Egr1V0422111PkRep1.broadPeak",0.0543149181091584,0.0890257126930808,0.0158469698689695,1,0.0178287268740812,0.0388236374453964,0.0298587258385566,0.0180599314425817,0.0496202513953572,0.0423018250876472,0.109204749264028,0.0405741375131015,0.0391453415369726,0.0834991681882394,0.123202505361256,0.0324302425237866,0.102451679543493,0.159746754048334,0.110237069851982,0.0737697105076109,0.097449199482154,0.15502367301542,0.115211228943387
"wgEncodeHaibTfbsEcc1EraaV0416102Bpa1hPkRep1.broadPeak",0.0593061315317941,0.0102607500726878,0.00146326809554545,0.0178287268740812,1,0.156534633805338,0.343158857851434,0.0614280909696128,0.0925561630187002,0.126591809419344,0.0248881336115011,0.0414617557560794,0.00490476601764214,0.040115420821018,0.0106404697124486,0.0183067070388239,0.0411909428992995,0.00501383928724476,0.0323046432785144,0.0466856611673305,0.020347245380032,0.0287899060921112,0.0141976829436956
"wgEncodeHaibTfbsEcc1EralphaaV0416102Est10nm1hPkRep1.broadPeak",0.114355748867685,0.00960965703452194,0.00386778530439469,0.0388236374453964,0.156534633805338,1,0.373700173986411,0.0485520698305638,0.187611595092936,0.195086913081687,0.0892866428556356,0.152236876305288,0.008804460336569,0.157860274723255,0.0333939440251733,0.0542628641237306,0.0719269424206736,0.019245324697121,0.128132613575906,0.154911011840726,0.0503155732457024,0.0643536722220733,0.0531194097042598
"wgEncodeHaibTfbsEcc1EralphaaV0416102Gen1hPkRep1.broadPeak",0.0858684970832337,0.010505478027873,0.00276687528192004,0.0298587258385566,0.343158857851434,0.373700173986411,1,0.0600886100685496,0.138432229025633,0.175503144509242,0.0467108804367359,0.0771712516705455,0.00699245329910904,0.0784503768104229,0.0190985208804624,0.0313845910530487,0.057236536507865,0.0106404236223069,0.0638525709326128,0.083908671717299,0.0337183744840951,0.045502708058699,0.0305384548132176
"wgEncodeHaibTfbsEcc1Foxa1sc6553V0416102Dm002p1hPkRep1.broadPeak",0.048027356123934,0.0203754956768331,0.00581311597075608,0.0180599314425817,0.0614280909696128,0.0485520698305638,0.0600886100685496,1,0.0608931488100683,0.0803465356490331,0.0219042495588833,0.0364052488534172,0.00601934827810026,0.0357132777502338,0.0103595361690307,0.0133063289357232,0.0356689516098127,0.0103352008891607,0.0285149474638783,0.0424194882879087,0.0194666074671776,0.0249266507280832,0.00908896911840919
"wgEncodeHaibTfbsEcc1Foxm1sc502V0422111PkRep1.broadPeak",0.181337835499278,0.0410941890793853,0.00560573220123279,0.0496202513953572,0.0925561630187002,0.187611595092936,0.138432229025633,0.0608931488100683,1,0.200419529282949,0.144117414075094,0.242882840187414,0.0130263257641629,0.257303243984082,0.0670142147508405,0.0754874903894199,0.148543646699884,0.0581147987885397,0.183731476799497,0.264675933537495,0.0774756466533788,0.113784434427898,0.0611367134520755
"wgEncodeHaibTfbsEcc1GrV0416102Dex100nmPkRep1.broadPeak",0.138740831974001,0.0182406507058915,0.0044554568435374,0.0423018250876472,0.126591809419344,0.195086913081687,0.175503144509242,0.0803465356490331,0.200419529282949,1,0.0778118681863263,0.123683168559345,0.0115866019594461,0.12102738913759,0.033353789502607,0.0520886703419713,0.0933786476773979,0.0204311399162932,0.0995627476497817,0.141916591696907,0.0569331791132587,0.0778521630677691,0.0396176672413608
