,infomap,walktrap,edge_betweenness,fast_greedy,label_prop,leading_eigen,louvain
CtcfcV0416102Dm002p1hPkRep1,3,4,1,2,1,1,2
EraaV0416102Bpa1hPkRep1,2,1,2,4,2,2,1
EralphaaV0416102Est10nm1hPkRep1,2,1,2,4,2,2,1
EralphaaV0416102Gen1hPkRep1,2,1,2,4,2,2,1
Foxm1sc502V0422111PkRep1,1,3,3,3,3,3,4
MaxV0422111PkRep1,1,2,4,1,3,4,3
Nficsc81335V0422111PkRep1,1,3,3,3,3,3,4
P300V0422111PkRep1,1,3,3,3,3,3,4
Pol2V0416102Dm002p1hPkRep1,1,2,4,1,3,4,3
Rad21V0422111PkRep1,3,4,1,2,1,1,2
Taf1V0422111PkRep1,1,2,4,1,3,4,3
Tcf12V0422111PkRep1,1,2,4,1,3,4,3
Tead4sc101184V0422111PkRep1,1,3,3,3,3,3,4
Yy1sc281V0422111PkRep1,1,2,4,1,3,4,3
Zbtb7aV0422111PkRep1,1,2,4,1,3,4,3
